slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
-0.2,-0.2,2.255567622275295,2.255567622275295,0.0102300466455587,33.00868727956021,15.866945190277612,-48.87563247030215,0.05,19.35126857012395,0.0073147593714561
-0.2,-0.1333333333333333,2.1030325431918073,2.1030325431918073,0.0101434338806204,23.35455029098939,25.938421485748087,-49.29297177740271,0.05,28.09478534678794,0.0046845182724967
-0.2,-0.05,2.0660700261093043,2.0660700261093043,0.0101446933188387,20.623982791612757,28.66286938706777,-49.28685217796028,0.2851425344246597,30.89289499717337,3.1317367575395543
-0.2,-0.15,2.106010303893304,2.106010303893304,0.0101450291146148,23.563605564610924,25.721615241647964,-49.285220806314136,0.05,27.90268418889961,0.0047349806676999
-0.2,-0.1666666666666666,2.1166646418653605,2.1166646418653605,0.0101507750773291,24.303266100881704,24.95405624064176,-49.25732234146304,0.05,27.22403778886197,0.0049143121119255
-0.2,0.2,1.9947200050307825,1.9947200050307825,0.0101915377470464,14.69372794503269,34.36658193243385,-49.06030987785963,0.5,31.412083892980085,10.295113029787917
-0.2,-0.0333333333333333,2.049302587832755,2.049302587832755,0.0101393233003115,19.33669038483128,29.9762652423548,-49.31295562758908,0.3086211724006994,32.09177533780427,4.493033079834332
-0.2,0.1833333333333333,1.9947206217429956,1.9947206217429956,0.0101915392950728,14.69378062848298,34.366521797127604,-49.06030242585261,0.5,31.41191579984927,10.295238808586564
-0.2,0.1666666666666666,1.9947219277331365,1.9947219277331365,0.0101915425865328,14.69389217502398,34.36639440608272,-49.06028658133095,0.5,31.411642126837936,10.295421544628327
-0.2,0.1499999999999999,1.9947253566940613,1.9947253566940613,0.0101915451613109,14.694193792860966,34.36608039380443,-49.06027418672454,0.5,31.41113235387915,10.295723445156158
-0.2,-0.0166666666666666,2.040444124305097,2.040444124305097,0.010135664985566,18.64003763732668,30.690716754041087,-49.330754392128064,0.3276662900484515,32.72066290314635,5.410156197782459
-0.2,0.1333333333333333,1.9947359189268703,1.9947359189268703,0.0101915567461032,14.69511757930428,34.365100840175096,-49.06021841980418,0.5,31.4099014426775,10.296331503491768
