slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
-0.2,-0.2,2.067261510264813,2.067261510264813,0.0110118717103725,19.083372905841745,26.32216878146958,-45.40554168719411,0.05,0.819458034350728,0.0286885164265769
-0.2,-0.1333333333333333,2.016801982281318,2.016801982281318,0.0108304696997346,15.623789905961544,30.542259569468825,-46.16604947541165,0.05,1.0378744384491316,0.0244721496386814
-0.2,-0.05,1.8565674118591375,1.8565674118591375,0.0111875964606396,-0.4771842265272994,44.69235208503381,-44.21516785775807,0.3056871740692494,13.069888069381983,18.190650026298236
-0.2,-0.15,2.0179038514705727,2.0179038514705727,0.0108339457690162,15.70580883963946,30.44542826812556,-46.15123710803519,0.05,1.0258419763399294,0.024557286724435
-0.2,-0.1666666666666666,2.021464539785117,2.021464539785117,0.0108470994204626,15.966106989297757,30.129165177105932,-46.095272165985904,0.05,1.0058103629541777,0.0248693164881767
-0.2,0.2,1.7078815026135024,1.7078815026135024,0.0100013878028009,-6.131392043822842,49.99306194881443,-43.86166990508291,0.5,15.91079468619139,30.997344586778436
-0.2,-0.0333333333333333,1.779727557919182,1.779727557919182,0.0105736634536941,-3.2337203876291767,47.28730039379711,-44.05358000659397,0.3218083830013453,14.7368354799545,21.95672799070112
-0.2,0.1833333333333333,1.707884119981832,1.707884119981832,0.0100014129211695,-6.131277529855794,49.99293639200005,-43.86165886251251,0.5,15.910394957671302,30.997663520837076
-0.2,0.1666666666666666,1.7078885330548133,1.7078885330548133,0.0100014514216258,-6.131086812410857,49.992743945192245,-43.86165713245751,0.5,15.909848463529784,30.998082007592856
-0.2,0.1499999999999999,1.7078971902333429,1.7078971902333429,0.0100015288772065,-6.130711502879876,49.992356782429454,-43.86164527973367,0.5,15.909067127967996,30.998587284185465
-0.2,-0.0166666666666666,1.7436886573592687,1.7436886573592687,0.0102831386025747,-4.64658128361981,48.623287046325814,-43.97670576073303,0.3375662601022835,15.559998800783472,24.895934293467604
-0.2,0.1333333333333333,1.707917624734041,1.707917624734041,0.010001707358321,-6.129828304704446,49.99146466581696,-43.861636360842496,0.5,15.907848206682004,30.99916604394107
-0.2,0.1166666666666666,1.7079750301796857,1.7079750301796857,0.0100022076465699,-6.127348043387627,49.98896420361665,-43.86161615992343,0.5,15.905531389113188,30.99975260502518
-0.2,0.0999999999999999,1.708157676081648,1.708157676081648,0.0100037927722412,-6.11946241867291,49.98104332879882,-43.86158090978272,0.5,15.899891886124342,31.000249518689365
-0.2,0.0833333333333333,1.7087822164779565,1.7087822164779565,0.0100092028412078,-6.092524124364772,49.95402810144309,-43.86150397653086,0.5,15.883237274844571,31.000473845542725
-0.2,0.0,1.7267837271143482,1.7267837271143482,0.0101456710037984,-5.339148226025586,49.28210266372298,-43.942954437391734,0.3538887441562478,15.933440905101133,27.080865574605355
-0.2,-0.1833333333333333,2.033341979005529,2.033341979005529,0.010891389519643,16.812837098421213,29.094987527752345,-45.90782462560136,0.05,0.9527010685438388,0.0259085034569967
-0.2,0.0666666666666666,1.7106171717605112,1.7106171717605112,0.0100171733546766,-6.018309986397753,49.91428043612972,-43.895970449201386,0.4547960267653307,16.050638057289458,30.733796924077897
-0.2,0.0499999999999999,1.7122088412860097,1.7122088412860097,0.0100263941396158,-5.952669895592166,49.86837671046508,-43.91570681448152,0.4136677149771174,16.15198916610635,30.2283633498811
-0.2,0.0166666666666666,1.718628506150558,1.718628506150558,0.0100787690315364,-5.680656462166965,49.60923287766353,-43.92857641437034,0.3713532570313134,16.091571316577838,28.59934790658929
-0.2,-0.1166666666666666,2.0158928720691405,2.0158928720691405,0.0108384324097245,15.540360068520812,30.59177243012627,-46.13213249808562,0.1123132552448713,1.183654614436804,0.0832083256010567
-0.2,-0.1,2.004155041157992,2.004155041157992,0.0109297293139307,14.47467735946816,31.272109742412766,-45.74678710086036,0.2062121529524543,2.6217974238812443,1.3304344367736998
-0.2,0.0333333333333333,1.7144926308817436,1.7144926308817436,0.010044712702158,-5.855744063660794,49.77743165280281,-43.92168758840253,0.3906217948180018,16.149379823725265,29.591449193229582
-0.2,-0.0833333333333333,1.9568348567264324,1.9568348567264324,0.0111063387039462,10.19919804049968,34.8201385146033,-45.01933655367642,0.2594873276016011,6.236639627170844,6.96843632883067
-0.2,-0.0666666666666666,1.9007507011642475,1.9007507011642475,0.0112319845758316,4.222645670790186,40.293084975830446,-44.515730645780216,0.2870418307706847,10.164819379328586,13.345703149612977
-0.1833333333333333,0.0666666666666666,1.709445057757805,1.709445057757805,0.0100282181862404,-6.055940671162759,49.8593060816311,-43.803365410240865,0.5,15.749979266343306,31.045471868502627
-0.1833333333333333,-0.1666666666666666,2.0214180858675808,2.0214180858675808,0.010847953403317,15.961221088562638,30.13042232221066,-46.09164341033531,0.05,1.001911123928351,0.0243295028650899
-0.1833333333333333,0.2,1.7063445831158284,1.7063445831158284,0.0100013802491394,-6.189601237786107,49.9930997064829,-43.80349846916091,0.5,15.831039077266828,31.043274359558556
-0.1833333333333333,-0.0833333333333333,1.9565438705486096,1.9565438705486096,0.0111051436632028,10.173381934881448,34.850799217090184,-45.024181150042,0.2596425586038128,6.170767822704389,6.837233700156148
-0.1833333333333333,-0.0333333333333333,1.779566053284805,1.779566053284805,0.0105727692746089,-3.2397458403273163,47.29129966005589,-44.05155381931933,0.3218218187067327,14.69931406248428,21.37059271552436
-0.1833333333333333,0.1833333333333333,1.706347193552667,1.706347193552667,0.0100014034633461,-6.18948800482768,49.99298366803968,-43.803495663104194,0.5,15.830618690545858,31.04362287122352
-0.1833333333333333,0.0333333333333333,1.714275673185932,1.714275673185932,0.0100447314048719,-5.86390898011463,49.77733897014759,-43.91342998915693,0.3913069119759292,16.136494653880714,29.454837353370845
-0.1833333333333333,0.1666666666666666,1.7063515939246523,1.7063515939246523,0.010001444804468,-6.189295764288389,49.99277702138513,-43.803481256803956,0.5,15.830049829473738,31.044050431968984
-0.1833333333333333,-0.1833333333333333,2.0332884098012824,2.0332884098012824,0.0108922747463295,16.80741347351244,29.09668017504964,-45.90409364830841,0.05,0.9488690856574528,0.0253142686269139
-0.1833333333333333,0.1499999999999999,1.706360222479136,1.706360222479136,0.010001521695112,-6.1889213935623815,49.992392682134486,-43.80347128838648,0.5,15.829266225555696,31.044560700418543
-0.1833333333333333,-0.1,2.0039533610655416,2.0039533610655416,0.0109298246544351,14.45822410056725,31.288163953322915,-45.74638805338406,0.2065945029321258,2.5789047910657774,1.365548248116589
-0.1833333333333333,0.1333333333333333,1.706380578930339,1.706380578930339,0.0100016976476664,-6.188041574003549,49.9915132022171,-43.803471628633034,0.5,15.82807289317734,31.04512575410131
-0.1833333333333333,-0.0166666666666666,1.7435466767207406,1.7435466767207406,0.010282836688081,-4.651931548096627,48.62471467486252,-43.97278312556984,0.3376112458951369,15.53346086778162,24.38886838675397
-0.1833333333333333,-0.0666666666666666,1.9006059297081623,1.9006059297081623,0.011230815356257,4.205313451475078,40.31505164598945,-44.52036509697067,0.287047834472613,10.10045395980838,12.90871715311568
-0.1833333333333333,0.1166666666666666,1.7064377406133115,1.7064377406133115,0.0100021969762256,-6.1855679341696685,49.98901753167261,-43.803449597545104,0.5,15.825811918637426,31.045660272752855
-0.1833333333333333,0.0,1.7266309938905202,1.7266309938905202,0.010145576747877,-5.344890290756439,49.282560511288885,-43.93767022069524,0.3539950147194545,15.914827144167973,26.69701362325519
-0.1833333333333333,0.0999999999999999,1.7066195610968526,1.7066195610968526,0.010003775075769,-6.177707748755495,49.98113174401208,-43.80342399536154,0.5,15.820279245934362,31.046078314967737
