,slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
0,-0.2,-0.2,0.0043213842810818,-2.7889781103913887,1.3944890550914515,-0.6869959608470246,-0.7074930944529122,0.0034388477020839,0.0008825365789978,0.2754999999999999
1,-0.2,-0.1959595959595959,0.0048786541052612,-2.7836787870852944,1.3918393937231643,-0.6843554616717391,-0.7074839316903904,0.0038831488255616,0.0009955052796995,0.279540404040404
2,-0.2,-0.1919191919191919,0.0055714475253517,-2.777319312284222,1.388659655772163,-0.6811684376458551,-0.7074912188662034,0.0044478355534314,0.0011236119719203,0.283580808080808
3,-0.2,-0.1878787878787879,0.0064342850311724,-2.769540940336544,1.3847704703967425,-0.6772874067042984,-0.7074830632355028,0.0051646359001057,0.0012696491310666,0.287621212121212
4,-0.2,-0.1838383838383838,0.0075109921276854,-2.7602168635101556,1.380108431373439,-0.6726105648198981,-0.7074978673168179,0.0060736133964597,0.0014373787312256,0.2916616161616161
5,-0.2,-0.1797979797979798,0.0088552696245617,-2.748873234695578,1.3744366175328642,-0.6669385937458188,-0.707498023416895,0.0072237371774545,0.0016315324471071,0.2957020202020202
6,-0.2,-0.1757575757575757,0.0105337522418509,-2.73515467266575,1.367577336530677,-0.6600873100118108,-0.7074900261232622,0.0086754406089165,0.0018583116329343,0.2997424242424242
7,-0.2,-0.1717171717171717,0.0126278258206049,-2.7186704383052356,1.3593352193026167,-0.6518488970818872,-0.7074863219207311,0.0105021746008936,0.0021256512197113,0.3037828282828282
8,-0.2,-0.1676767676767677,0.0152356695045662,-2.69900144404209,1.3495007217545636,-0.6419931924774325,-0.707507529810094,0.0127921143494857,0.0024435551550805,0.3078232323232323
9,-0.2,-0.1636363636363636,0.0184720576772865,-2.675441379916347,1.3377206900442795,-0.6302073534458685,-0.7075133364261987,0.0156479436021485,0.0028241140751379,0.3118636363636363
10,-0.2,-0.1595959595959596,0.0224709444524301,-2.647466142770437,1.3237330713144306,-0.6162110977793596,-0.7075219736766467,0.0191889210962903,0.0032820233561397,0.3159040404040403
11,-0.2,-0.1555555555555555,0.027382269289242,-2.614425827126793,1.3072129135434407,-0.5996888738904076,-0.7075240396929441,0.0235480676854739,0.003834201603768,0.3199444444444444
12,-0.2,-0.1515151515151515,0.0333694948956091,-2.575768221100874,1.2878841103589576,-0.5803512130468782,-0.7075328976950382,0.0288699604743499,0.0044995344212592,0.3239848484848484
