slopeL,slopeH,F,F_sc,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
0.0,-0.2,-2.732634197657833,328.32626362538286,-2.732634197657833,1.3663170987274746,-0.6751869981752421,-0.6911301007551166,0.275011045863387,0.0026228813861312,0.0004228694744852
0.0,-0.1916666666666666,-2.727704307916208,253.76751705272324,-2.727704307916208,1.3638521544620472,-0.6726234766910046,-0.6912286767631564,0.2750437789760984,0.0034629755958382,0.0004776390723197
0.0,-0.1833333333333333,-2.7201856283422954,185.6827035566642,-2.7201856283422954,1.3600928146894606,-0.6686870766572248,-0.6914057369956101,0.275084173744639,0.0048052103347848,0.0005803209012725
0.0,-0.175,-2.708299463462514,129.20344803854175,-2.708299463462514,1.3541497323588558,-0.662433387180986,-0.6917163439226721,0.2750406691868425,0.0069716623670409,0.000768069158558
0.0,-0.1666666666666666,-2.6890143474036323,86.06072533254722,-2.6890143474036323,1.3445071738904852,-0.652240115358552,-0.6922670581545951,0.2750565879872142,0.0105206106189719,0.001099091587068
0.0,-0.1583333333333333,-2.658001108393498,56.53811728984842,-2.658001108393498,1.3290005539657148,-0.6361094923010953,-0.6928910621266877,0.2801163624646453,0.0160472204676663,0.0016399620551155
0.0,-0.15,-2.611138404567571,36.77964765277719,-2.611138404567571,1.305569201840016,-0.6119233970126494,-0.6936458057149054,0.2864756504681408,0.024738737892128,0.0024502120793514
0.0,-0.1416666666666666,-2.540925960713414,23.828975685374953,-2.540925960713414,1.2704629802140754,-0.5759444673129828,-0.694518513186355,0.2938227129410565,0.0383630103806238,0.0036027045205731
0.0,-0.1333333333333333,-2.4370645002643028,15.557799387308194,-2.4370645002643028,1.2185322499714326,-0.5231995568703915,-0.6953326934224785,0.3035636485388435,0.0591187856490796,0.0051576569958733
0.0,-0.125,-2.288400141157,10.350474231043393,-2.288400141157,1.1442000703583153,-0.4481390577454363,-0.6960610130532486,0.315380211883093,0.0894588858062416,0.0071550448869797
0.0,-0.1166666666666666,-2.0929206363073103,7.248681271276163,-2.0929206363073103,1.0464603178920449,-0.3500222632546617,-0.6964380551606035,0.3319780985331996,0.1283784501601696,0.009577677661677
0.0,-0.1083333333333333,-1.8790392385114767,5.617324403127261,-1.8790392385114767,0.9395196193373688,-0.243188412521782,-0.696331206652326,0.3556341400345514,0.1658670996752665,0.0121535963420905
0.0,-0.1,-1.7096957862911668,5.166959920842049,-1.7096957862911668,0.854847892901514,-0.1593102686140781,-0.6955376247755746,0.3896256069652843,0.1795045267745205,0.0140328753574921
0.0,-0.0916666666666666,-2.818454547456625,1.0004070839207004,-2.818454547456625,-0.7050371558432218,1.409227273507188,-0.7041901181062153,0.2750011201795352,0.993632757883461,0.0059603238457238
0.0,-0.0833333333333333,-4.045611091883886,0.7673100815200247,-4.045611091883886,-1.317864209193984,2.0228055453756895,-0.7049413373142125,0.2750062895348421,1.2976666495394436,0.0055874378029534
0.0,-0.075,-5.13211105971347,0.6351834247534288,-5.13211105971347,-1.8609251983031707,2.5660555294081,-0.705130332002199,0.2827723290510492,1.5683953542133966,0.0059530324564681
0.0,-0.0666666666666666,-6.122501455135961,0.5486031477596681,-6.122501455135961,-2.3561694998518723,3.0612507273016156,-0.7050812279824732,0.292760677308523,1.81633571452018,0.0064755545797185
0.0,-0.0583333333333333,-6.956248836447707,0.4918105748501147,-6.956248836447707,-2.7731564448111894,3.4781244181864253,-0.7049679734500927,0.3015864687009518,2.026457785781256,0.0068453824248407
0.0,-0.05,-7.61489943582915,0.454366443248591,-7.61489943582915,-3.102694448615029,3.807449717933381,-0.7047552692807402,0.3096387917395316,2.1937134875462014,0.0071532684806829
0.0,-0.0416666666666666,-8.113030477423218,0.4294271572446668,-8.113030477423218,-3.352168136571602,4.05651523914705,-0.7043471017045658,0.3178550223677284,2.321153564239945,0.0075300858959695
0.0,-0.0333333333333333,-8.479777522795054,0.4125808658646811,-8.479777522795054,-3.536092758999575,4.239888761508293,-0.7037960022871848,0.3254714259886979,2.415859325730856,0.0079079469084468
0.0,-0.025,-8.746325905905227,0.4010462531665316,-8.746325905905227,-3.670420875452312,4.373162952823666,-0.702742077629249,0.3348488011979147,2.484959522976257,0.0085184539511503
0.0,-0.0166666666666666,-8.939837283965653,0.3929922666587295,-8.939837283965653,-3.7686235215492903,4.469918641904314,-0.7012951205120482,0.3436315117495569,2.535471307121626,0.0091080264671176
0.0,-0.0083333333333333,-9.083501526170997,0.3872498128797322,-9.083501526170997,-3.84328236996195,4.541750763126846,-0.6984683930822002,0.3549962551275037,2.572354379469455,0.0099580368068285
0.0,0.0,-9.198355672869832,0.3830110718557858,-9.198355672869832,-3.906964141366285,4.599177836779184,-0.6922136947243633,0.3701017954741121,2.5997512197471244,0.011139361443509
0.0083333333333333,-0.2,-2.7251474055216773,331.1244306440968,-2.7251474055216773,1.362573703576664,-0.6734094042818448,-0.6891642976631687,0.2750437789760984,0.0026169369659036,0.0004030757769037
0.0083333333333333,-0.1916666666666666,-2.720378998968206,255.8651513491239,-2.720378998968206,1.3601894999562472,-0.6709329397358239,-0.6892565592761352,0.2750437789760984,0.003460992563532,0.0004473161480185
0.0083333333333333,-0.1833333333333333,-2.71303375416317,187.17628472633928,-2.71303375416317,1.3565168770858271,-0.6671245786243638,-0.689392298452979,0.2750064673927664,0.0048118780817896,0.0005306790774255
0.0083333333333333,-0.175,-2.70157823712405,130.1555443179451,-2.70157823712405,1.3507891182274268,-0.6611005337060263,-0.6896885851905972,0.2750437789760984,0.0069975453348641,0.0006855695507929
