slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,potential_H1_ramp
-0.2,-0.2,0.012241034,2.3338742152457663,0.012241034,31.363087055025034,9.483137028595603,-40.84622415,0.050009208,0.1
-0.2,-0.133333333,0.011775256,1.9760485530861385,0.011775256,11.238344745961456,31.22357761675873,-42.46192239,0.05,0.166666667
-0.2,-0.05,0.01003467,1.5649415658624253,0.01003467,-11.54286593,49.827250254710194,-38.28438439,0.076768806,0.25
-0.2,-0.15,0.011596214,2.0930575318583924,0.011596214,19.79896580612612,23.318554663818645,-43.11752047,0.050060776,0.15
-0.2,-0.166666667,0.011559577,2.1583217897068243,0.011559577,23.835089300337188,19.41908772,-43.25417705,0.050008864,0.133333333
-0.2,0.2,0.009999291,1.429368870514478,0.009999291,-16.83808753,50.00354298954469,-33.16545552,0.3312879115879529,0.5
-0.2,-0.033333333,0.010011274,1.4816710366814678,0.010011274,-14.78180089,49.94369234723493,-35.16189149,0.1127130582331012,0.266666667
-0.2,0.1833333333333333,0.009999254,1.4293969605763726,0.009999254,-16.83705221,50.003732722854735,-33.16668054,0.3008251858162597,0.483333333
-0.2,0.1666666666666666,0.00999929,1.4294992684251957,0.00999929,-16.83298712,50.00354934336806,-33.17056226,0.2684831849418104,0.466666667
-0.2,0.1499999999999999,0.00999929,1.4298786728717034,0.00999929,-16.81814138,50.003549194360986,-33.18540784,0.2352257243838601,0.45
-0.2,-0.016666667,0.010002917,1.4449118220380253,0.010002917,-16.22472946,49.98542077470334,-33.76069138,0.1476255576130026,0.283333333
-0.2,0.1333333333333333,0.009999272,1.4311235552115738,0.009999272,-16.76946675,50.00363886027404,-33.23417213,0.2038882443529905,0.433333333
-0.2,0.1166666666666666,0.009999314,1.435817745859039,0.009999314,-16.58582649,50.003428138340006,-33.41760167,0.1702423181330983,0.416666667
-0.2,0.1,0.009999384,1.4395178504722026,0.009999384,-16.44111079,50.00307948477428,-33.56196874,0.1582911704474791,0.4
-0.2,0.083333333,0.009999404,1.4331228596134709,0.009999404,-16.69104571,50.00297937,-33.31193372,0.184321607,0.383333333
-0.2,0,0.010000418,1.4326827891002023,0.010000418,-16.70656227,49.997909489239625,-33.2913473,0.1885300615486928,0.3
-0.2,-0.183333333,0.011694006,2.213430117695511,0.011694006,26.63775947,16.11918624923513,-42.75694576,0.050008041,0.116666667
-0.2,0.066666667,0.009999435,1.4382548600910088,0.009999435,-16.4903757,50.00282633661603,-33.5124507,0.1618149511510222,0.366666667
-0.2,0.05,0.009999449,1.4294869353214317,0.009999449,-16.83320271,50.00275615388509,-33.16955351,0.2714665612309887,0.35
-0.2,0.016666667,0.009999727,1.430713766952609,0.009999727,-16.78473445,50.00136340249318,-33.21662902,0.2113508347474909,0.316666667
-0.2,-0.116666667,0.012017245,1.8757742621804705,0.012017245,0.7443073348245264,40.862566717587555,-41.60687408,0.050005111,0.183333333
-0.2,-0.1,0.010717749,1.7123388574962577,0.010717749,-5.564096716,46.65158759108716,-41.08749087,0.05,0.2
-0.2,0.033333333,0.009999531,1.429810835458461,0.009999531,-16.82039123,50.00234668918871,-33.18195553,0.239373649,0.333333333
-0.2,-0.083333333,0.0102383,1.6550871614440232,0.0102383,-7.947104327,48.83623230294962,-40.88912803,0.050033779,0.216666667
-0.2,-0.066666667,0.010091576,1.627085590044895,0.010091576,-9.120052665,49.54627452650901,-40.42622193,0.05484653,0.233333333
-0.183333333,0.066666667,0.009999845,1.4415888922942324,0.009999845,-16.35945615,50.00077406234699,-33.64131808,0.1532428279268665,0.366666667
-0.183333333,-0.166666667,0.011559851,2.1583488217827105,0.011559851,23.836100412505985,19.417053105199948,-43.2531535,0.050002411,0.133333333
-0.183333333,0.2,0.009999842,1.429310561695354,0.009999842,-16.83944227,50.00079042661096,-33.16134833,0.4234489940668451,0.5
-0.183333333,-0.083333333,0.010238295,1.6551070610181076,0.010238295,-7.946368209,48.836254325538505,-40.88988612,0.050007368,0.216666667
-0.183333333,-0.033333333,0.010011622,1.4853851021121411,0.010011622,-14.63728771,49.94195836231028,-35.30467087,0.1104452461297434,0.266666667
-0.183333333,0.1833333333333333,0.009999897,1.4293114120613668,0.009999897,-16.83931589,50.00051403567786,-33.16119829,0.3913713565449545,0.483333333
-0.183333333,0.033333333,0.00999996,1.4296099930646329,0.00999996,-16.82752687,50.00019851,-33.17267183,0.2503617914940153,0.333333333
-0.183333333,0.1666666666666666,0.009999881,1.4293375513060318,0.009999881,-16.83832108,50.00059706699464,-33.16227617,0.310842276,0.466666667
-0.183333333,-0.183333333,0.011694629,2.2135899232832115,0.011694629,26.64500229760654,16.10966738094472,-42.75466965,0.050006873,0.116666667
-0.183333333,0.1499999999999999,0.009999834,1.4293312532093578,0.009999834,-16.83864563,50.00082903257179,-33.16218357,0.3175937005318751,0.45
