eval_index,H1,F
0,0.5783780839613427,6.547035578820608e-06
1,0.6203400759423208,5.032478840391233e-06
2,0.6377351602594272,4.662151937383152e-06
3,0.6044690097688915,5.490476808356552e-06
4,0.29647946148202636,0.0013911671869891592
5,0.675,4.200579416343895e-06
6,0.5238730535622282,1.0179345869330592e-05
7,0.5459899584243213,8.455566262069313e-06
8,0.4785664428598306,1.5587586144660818e-05
9,0.6608788423169573,4.333534549945028e-06
10,0.4978967691482948,1.2824405750417903e-05
11,0.4380006127152154,2.718104488876417e-05
12,0.4059451507549516,5.169114130914148e-05
13,0.563863105062562,7.317335492424643e-06
14,0.6498286010962349,4.470565598568258e-06
15,0.592133513317389,5.93971984581168e-06
16,0.4588551134915081,1.9795087916734164e-05
17,0.6697089343615741,4.245491506943293e-06
18,0.3740073534023707,0.00011693828395741137
19,0.5116836783285612,1.1313982344959751e-05
20,0.6287171168762914,4.838615562972804e-06
21,0.5357632983190644,9.205915552682202e-06
22,0.6122185310063286,5.251068668576496e-06
23,0.555992399736823,7.792325876466768e-06
24,0.42308057076013655,3.5793029073266575e-05
25,0.6439567263154732,4.557583861972484e-06
26,0.5853988180074501,6.222517656099784e-06
27,0.3458832165361767,0.0002685245055032539
28,0.4890387034566542,1.3973034231204558e-05
29,0.6556101217672837,4.3947923127165195e-06
30,0.5709771348306888,6.9228089201179555e-06
31,0.598566601214621,5.694602061423648e-06
32,0.468323495973924,1.753799009538966e-05
33,0.6329760952184789,4.751295412541266e-06
34,0.665047275530776,4.289803306789354e-06
