slopeL,slopeH,F,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,dG
0.1,-0.1,0.0145578289027796,0.0145578289027796,1.1093032962816125,-0.4507333580445731,0.230006501116712,0.220726857247115,0.5,-0.00806902746187
0.1041666666666666,-0.1,0.011525726916907,0.011525726916907,1.1047198287695157,-0.4526034438092097,0.2299904045645924,0.222613041153874,0.5,-0.0144813926682343
0.1041666666666666,-0.1041666666666666,0.0110605984753599,0.0110605984753599,1.4982170790762424,-0.3337300091242099,0.1694751153886748,0.164254894442827,0.5,-0.0056470857361205
0.1083333333333333,-0.1083333333333333,0.0076686360220307,0.0076686360220307,2.0233211717922286,-0.2471184531484027,0.124899238283227,0.1222192166486699,0.5,-0.0035762449680701
0.1083333333333333,-0.1041666666666666,0.0084169232609766,0.0084169232609766,1.492780560411685,-0.3349454111337877,0.1694661889280055,0.1654792241623752,0.5,-0.0124504899083344
0.1083333333333333,-0.1,0.0090990471596745,0.0090990471596745,1.101046088010646,-0.4541135967910463,0.229978565018655,0.2241350331179745,0.5,-0.0213249885485538
0.1125,-0.1083333333333333,0.0052380624685562,0.0052380624685562,2.0165177040048947,-0.2479521988104664,0.1248944826601707,0.1230577174909761,0.5,-0.0106618681540464
0.1125,-0.1,0.0071011830303036,0.0071011830303036,1.098015582775828,-0.4553669431387419,0.2299700036795364,0.2253969404658704,0.5,-0.028479958471048
0.1125,-0.1041666666666666,0.0062342214000668,0.0062342214000668,1.488287021052479,-0.335956702982088,0.1694593356034595,0.1664973664596871,0.5,-0.0195798229245034
0.1125,-0.1125,0.0040207802606828,0.0040207802606828,2.7303806382490556,-0.1831246503009254,0.0920829708454533,0.0910416797720756,0.5,-0.0016962274302466
0.1166666666666666,-0.1166666666666666,1.1727724145127015e-06,1.1727724145127015e-06,3.495687706826861,-0.1430333723190529,0.0715168044063538,0.071516567179394,0.497593435903128,-4.422773300483138e-07
0.1166666666666666,-0.1041666666666666,0.0043636759361411,0.0043636759361411,1.4844263797463992,-0.3368304465792278,0.1694545419388937,0.1673759040960618,0.5,-0.0269422179817822
0.1166666666666666,-0.1083333333333333,0.0031340360034805,0.0031340360034805,2.0106175162702256,-0.2486798181499381,0.1248910087880723,0.1237888110378087,0.5,-0.0179904582201489
0.1166666666666666,-0.1,0.0054046267607411,0.0054046267607411,1.095435973266752,-0.4564392731591766,0.229963987441085,0.2264752867582409,0.5,-0.0358617732002767
0.1166666666666666,-0.1125,0.0016040495155815,0.0016040495155815,2.721167053926227,-0.1837446909708546,0.0920807552336171,0.0916639361754718,0.5,-0.0089746113769457
0.1208333333333333,-0.1041666666666666,0.0026947108439612,0.0026947108439612,1.480974000973315,-0.3376156504988756,0.1694511339407114,0.1681645155986224,0.5,-0.0344722619838839
0.1208333333333333,-0.1083333333333333,0.0012258658285284,0.0012258658285284,2.0052556793110057,-0.2493447615276807,0.1248885177203398,0.1244562446453088,0.5,-0.0254903468048722
0.1208333333333333,-0.1125,1.3391016224959948e-07,1.3391016224959948e-07,2.466479502498161,-0.2027180842304403,0.1013590231074665,0.1013590614959127,0.4955955590819556,-0.0166666161683553
0.1208333333333333,-0.1166666666666666,6.092015206137635e-08,6.092015206137635e-08,2.4552507205184164,-0.2036451898582782,0.1018225865183559,0.1018226040488947,0.4814151864921044,-0.0083333118123976
0.1208333333333333,-0.1,0.0039138102436964,0.0039138102436964,1.093165916459333,-0.4573871104234115,0.2299593659340821,0.2274277449600816,0.5,-0.0434097571727735
0.1208333333333333,-0.1208333333333333,4.375249909301093e-08,4.375249909301093e-08,2.444475251344851,-0.2045428753669966,0.1022714452243427,0.1022714328642706,0.4671797217483415,-1.409981455665252e-08
0.125,-0.1041666666666666,0.0011408866739806,0.0011408866739806,1.477753393343051,-0.3383514474313358,0.1694486818216418,0.1689027661724544,0.5,-0.042123076533478
0.125,-0.1208333333333333,2.6440654066585413e-08,2.6440654066585413e-08,1.795122797646839,-0.2785324780696498,0.139266243487949,0.1392662331690992,0.453282191126935,-0.0083333413602275
0.125,-0.1166666666666666,4.1647393074604616e-08,4.1647393074604616e-08,1.8016983333216083,-0.277515936259249,0.1387579600527715,0.1387579763968816,0.467512307930037,-0.0166666529246598
0.125,-0.1083333333333333,1.2458320929529016e-08,1.2458320929529016e-08,1.815807739273411,-0.27535954755065,0.1376797771448856,0.1376797731314987,0.495589207600205,-0.0333333372200208
0.125,-0.1125,1.5480398177577875e-08,1.5480398177577875e-08,1.8085623563637112,-0.2764626812155768,0.1382313444660319,0.1382313387556983,0.4815910390573443,-0.025000005163747
0.125,-0.1,0.0025538260865614,0.0025538260865614,1.091089759183118,-0.4582574395814163,0.2299562543417757,0.2283011863453978,0.5,-0.0510795975093928
0.1291666666666666,-0.1,0.0012628324033588,0.0012628324033588,1.0891167269152695,-0.4590876135797543,0.2299537533059563,0.2291338619828451,0.5,-0.0588384404216247
0.1291666666666666,-0.1041666666666666,8.487553288563047e-08,8.487553288563047e-08,1.3827614160758464,-0.3615952779493909,0.1807976616763333,0.1807976183216553,0.4971011801395328,-0.0500000319728898
0.1291666666666666,-0.1166666666666666,2.1974441770389972e-08,2.1974441770389972e-08,1.3685416442513558,-0.3653524177643987,0.1826762043745304,0.1826762155257206,0.4552213126904167,-0.0249999933869569
0.1291666666666666,-0.1083333333333333,1.1254620863176839e-09,1.1254620863176839e-09,1.3777225704222575,-0.3629177679631397,0.1814588836142014,0.1814588841600972,0.483256453941888,-0.0416666662906201
