slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
0.09090909090909088,-0.09494949494949496,-1.5690313268356e-08,0.48227392868491614,-1.0367551930333554,0.7026807067060368,0.3340744862083618,-60983246.326856285,-2750344.130944565,0.38055050505050503
0.09494949494949495,-0.09494949494949496,-1.5678573461123887e-08,0.3834442584750144,-1.3039704963588372,0.8072404164432889,0.4967300796567842,-61208958.84491185,-2572354.071060354,0.38055050505050503
0.09898989898989896,-0.09494949494949496,-1.5668853305156956e-08,0.3244578904014142,-1.5410320254880792,0.9000983097301827,0.6409337155675452,-61408791.166572,-2412088.4169313256,0.38055050505050503
0.10303030303030303,-0.09494949494949496,-1.5661166364431072e-08,0.28659135946638303,-1.7446443646165637,0.9796950784197875,0.7649492845161601,-61578450.88121497,-2273753.784151112,0.38055050505050503
0.10707070707070704,-0.09494949494949496,-1.5654271312703547e-08,0.26108380248545154,-1.9150939102944688,1.046056059992253,0.8690378486444172,-61721497.01297676,-2158831.8777390425,0.38055050505050503
0.1111111111111111,-0.09494949494949496,-1.564813639347636e-08,0.2433166121639406,-2.054935730542701,1.1001821876138465,0.9547535415291779,-61838949.87396184,-2066423.5746550593,0.38055050505050503
0.11515151515151512,-0.09494949494949496,-1.564283686273729e-08,0.23062729216318034,-2.168000133202745,1.143632799485875,1.0243673325898275,-61932758.76223344,-1994264.754971042,0.38055050505050503
0.11919191919191918,-0.09494949494949496,-1.563750964746793e-08,0.22136833125656213,-2.2586789959132014,1.1782277884259535,1.080451205955387,-62009223.162000686,-1939578.312403062,0.38055050505050503
0.1232323232323232,-0.09494949494949496,-1.5632700437417904e-08,0.21449740657817806,-2.33103051512449,1.2056284507241841,1.1254020630128991,-62069183.476003416,-1899291.0689596315,0.38055050505050503
0.12727272727272726,-0.09494949494949496,-1.562848567370281e-08,0.2093167699735145,-2.388724038034975,1.2273385484629564,1.1613854895761124,-62115137.42845748,-1870588.4363743747,0.38055050505050503
0.13131313131313133,-0.09494949494949496,-1.562384484871537e-08,0.20533626048259274,-2.4350302223296314,1.2447073245562628,1.1903228976247062,-62153598.134103894,-1851133.7153820787,0.38055050505050503
0.13535353535353534,-0.09494949494949496,-1.561928802198311e-08,0.2022315214333155,-2.4724137782284554,1.258721131251093,1.2136926471372536,-62184603.53325675,-1838801.2847199952,0.38055050505050503
0.1393939393939394,-0.09494949494949496,-1.561489421770689e-08,0.1997696690704494,-2.5028824562051435,1.2701794969696074,1.2327029592522047,-62209519.958502516,-1831900.115033785,0.38055050505050503
0.14343434343434341,-0.09494949494949496,-1.56104942162797e-08,0.19778153866643847,-2.5280418152319832,1.2797167218186445,1.2483250931132321,-62230363.722382225,-1829107.1787460144,0.38055050505050503
0.14747474747474748,-0.09494949494949496,-1.5606204631654607e-08,0.19614832516186922,-2.54909135536087,1.2877940566921389,1.2612972982748059,-62247726.864425324,-1829351.6823768443,0.38055050505050503
0.1515151515151515,-0.09494949494949496,-1.5602008290745914e-08,0.1947825032616162,-2.566965675521617,1.2947659142218022,1.2721997606350095,-62262501.04411621,-1831811.7754157642,0.38055050505050503
0.15555555555555556,-0.09494949494949496,-1.5597862435295725e-08,0.1936198000638493,-2.582380520439008,1.3008983553576705,1.2814821645010264,-62275494.056669734,-1835854.7995135018,0.38055050505050503
0.15959595959595957,-0.09494949494949496,-1.55942445476354e-08,0.19261934246263646,-2.5957933080438895,1.3063452831182296,1.2894480232194359,-62285289.62424799,-1840933.1591206926,0.38055050505050503
0.16363636363636364,-0.09494949494949496,-1.5590720654395904e-08,0.1917412394481681,-2.6076810678428286,1.3112850870873949,1.2963959804038507,-62293996.42717717,-1846720.488178741,0.38055050505050503
0.16767676767676765,-0.09494949494949496,-1.5586886891460973e-08,0.19095503287965704,-2.618417501304699,1.315855794231279,1.3025617065046136,-62303517.29646679,-1852975.719969608,0.38055050505050503
0.1717171717171717,-0.09494949494949496,-1.558309064052272e-08,0.19024607186355771,-2.628175158188583,1.3201037541763796,1.3080714038570123,-62312685.55966273,-1859436.8432944154,0.38055050505050503
0.17575757575757572,-0.09494949494949496,-1.557942031538141e-08,0.189601321526528,-2.6371124209104426,1.32407583301476,1.3130365876990433,-62321316.13216955,-1865924.4555119926,0.38055050505050503
0.1797979797979798,-0.09494949494949496,-1.5576798071514548e-08,0.1890214137194779,-2.645202943875338,1.3277322598418628,1.317470683755823,-62325847.32876143,-1872198.7272319589,0.38055050505050503
0.1838383838383838,-0.09494949494949496,-1.5573355517612617e-08,0.18847571695960422,-2.6528616422875073,1.3312596556048746,1.3216019864197768,-62333852.001530424,-1878385.2949889065,0.38055050505050503
0.18787878787878787,-0.09494949494949496,-1.5571000321709656e-08,0.18798135710236943,-2.6598382293419593,1.3345146940834702,1.3253235349981984,-62337770.80127024,-1884178.9347248028,0.38055050505050503
0.19191919191919193,-0.09494949494949496,-1.5567782920314758e-08,0.18751018945648767,-2.6665217579647527,1.3376781042190835,1.328843653470299,-62345465.675720125,-1889756.8423866187,0.38055050505050503
0.19595959595959594,-0.09494949494949496,-1.556559279363972e-08,0.18708144731150292,-2.67263273402304,1.3405978116626436,1.3320349222200365,-62349416.233075626,-1894844.3779697402,0.38055050505050503
0.2,-0.09494949494949496,-1.556351350343643e-08,0.1866812462551098,-2.6783622354027186,1.343360005719397,1.3350022293876167,-62353327.78072316,-1899515.8833504773,0.38055050505050503
-0.2,-0.09090909090909093,-1.7242990020608313e-08,0.33579342871944123,1.4890106753784145,-0.07410465189137838,-1.4149060229797676,-57592081.87865899,-402500.19816351036,0.38459090909090904
-0.19595959595959597,-0.09090909090909093,-1.7236476999032393e-08,0.33580357096870256,1.4889657026941552,-0.0740443101917947,-1.4149213924152808,-57593088.62649546,-423407.43915282167,0.38459090909090904
-0.19191919191919193,-0.09090909090909093,-1.7230238372406607e-08,0.3358241203467473,1.488874591534068,-0.07398279916982631,-1.4148917923133157,-57592318.43744449,-445183.91083708836,0.38459090909090904
-0.1878787878787879,-0.09090909090909093,-1.722313994981703e-08,0.3358332109766028,1.4888342895810385,-0.0739247038838684,-1.414909585208419,-57593538.99227005,-467883.1940266764,0.38459090909090904
-0.18383838383838386,-0.09090909090909093,-1.721629810905007e-08,0.3358528489729448,1.488747234280274,-0.07386494280571654,-1.4148822912743377,-57592995.38714942,-491500.6912689206,0.38459090909090904
