slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
0.00808080808080808,-0.0787878787878788,0.37485639870247806,0.7221718393440161,0.5209423993268079,0.17141359241163556,-0.6923559916426157,0.353014212870868,0.021842185831610083,0.3967121212121212
0.0101010101010101,-0.0787878787878788,0.3755682478943885,0.7238093043580556,0.5165229237483668,0.17426675955769966,-0.6907896829427511,0.3539577031671836,0.021610544727204875,0.3967121212121212
0.012121212121212121,-0.0787878787878788,0.3763502790611637,0.7256845532849543,0.5114896019558666,0.17751500452996893,-0.6890046062958101,0.354976514871356,0.021373764189807697,0.3967121212121212
0.014141414141414142,-0.0787878787878788,0.37721443997386267,0.7278345796293952,0.505749141592351,0.18122014249535923,-0.6869692838066432,0.3560823359121514,0.021132104061711305,0.3967121212121212
0.01616161616161616,-0.0787878787878788,0.37816984744807697,0.7303121413389887,0.4991875996582582,0.18545116197362432,-0.6846387614920694,0.35728422043577956,0.020885627012297396,0.3967121212121212
0.01818181818181818,-0.0787878787878788,0.3792323311346634,0.7331691243525694,0.4916809581704191,0.19028993147139062,-0.6819708896619184,0.35859759591926854,0.020634735215394866,0.3967121212121212
0.0202020202020202,-0.0787878787878788,0.38041491208501677,0.7364770191721134,0.48307998758079407,0.19582782231328366,-0.6789078095588109,0.360035270862796,0.020379641222220767,0.3967121212121212
0.022222222222222223,-0.0787878787878788,0.38173274357049847,0.7403198900458842,0.4732143765416259,0.20216934180229984,-0.6753837180652476,0.3616120921405547,0.020120651429943785,0.3967121212121212
0.024242424242424242,-0.0787878787878788,0.383208040963289,0.7447877733121379,0.4618959960612061,0.20943618472244552,-0.6713321805724842,0.36334961310204056,0.019858427861248425,0.3967121212121212
0.026262626262626262,-0.0787878787878788,0.38485792271449093,0.7500038386792712,0.44890105839659,0.2177621962499181,-0.666663254403049,0.3652645653132,0.01959335740129094,0.3967121212121212
0.028282828282828285,-0.0787878787878788,0.38670436699200755,0.7561094740603242,0.43398000570572126,0.22729989784339466,-0.6612799033396648,0.36737826874891183,0.01932609824309573,0.3967121212121212
0.030303030303030304,-0.0787878787878788,0.3887636427973084,0.7632903598348177,0.41684316645380637,0.23821554608526796,-0.6550587114729466,0.36970657053638045,0.019057072260927933,0.3967121212121212
0.03232323232323232,-0.0787878787878788,0.3910802020450571,0.771716763802156,0.39719524579038534,0.2507108564341145,-0.6479061010417865,0.37229203962547197,0.01878816241958514,0.3967121212121212
0.03434343434343434,-0.0787878787878788,0.39366736960751963,0.7816685694897969,0.3746694317546746,0.2649878604464675,-0.6396572907719335,0.3751475355341135,0.01851983407340612,0.3967121212121212
0.03636363636363636,-0.0787878787878788,0.39654884941082325,0.7934656409591094,0.34887335483068416,0.28127365443971897,-0.630147007734845,0.3782955887644863,0.018253260646336894,0.3967121212121212
0.03838383838383838,-0.0787878787878788,0.39974773139388936,0.8075049599003956,0.31937774999396495,0.2998134937175152,-0.6191912426615428,0.38175788263293875,0.01798984876095062,0.3967121212121212
0.0404040404040404,-0.0787878787878788,0.40328708218284726,0.824281030880502,0.2857189498225461,0.32087028573740284,-0.6065892345690966,0.3855557338424168,0.01773134834043044,0.3967121212121212
0.04242424242424243,-0.0787878787878788,0.40717610414097505,0.8444451362575655,0.24739320489398242,0.34471157389083373,-0.5921047773644759,0.3896967572969477,0.01747934684402735,0.3967121212121212
0.044444444444444446,-0.0787878787878788,0.411416988429966,0.8688379036857244,0.2038710801539425,0.37161025930011604,-0.5754813381154497,0.3941812684128233,0.017235720017142707,0.3967121212121212
0.046464646464646465,-0.0787878787878788,0.4160009734149953,0.8985672717325398,0.154605070067114,0.40183629648606356,-0.5564413651669378,0.3989983780521137,0.017002595362881602,0.3967121212121212
0.048484848484848485,-0.0787878787878788,0.4209041973332682,0.9351263446805782,0.09904076250716987,0.4356463453190216,-0.5346871063518739,0.40412187910549197,0.016782318227776264,0.3967121212121212
0.050505050505050504,-0.0787878787878788,0.4260772180146289,0.9805928056534036,0.03663114027819958,0.4732645039622163,-0.5098956434732084,0.4095000476370978,0.016577170377531106,0.3967121212121212
0.052525252525252523,-0.0787878787878788,0.4314505603542228,0.9711052762177025,-0.03314069598299341,0.5148772361635068,-0.48173653885672396,0.41506084544483723,0.01638971490938556,0.3967121212121212
0.05454545454545454,-0.0787878787878788,0.4369179243355095,0.891897597496133,-0.11073887748326783,0.5606024750890661,-0.44986359607574866,0.4206957043158194,0.016222220019690165,0.3967121212121212
0.05656565656565657,-0.0787878787878788,0.44234267839281344,0.8190247915693637,-0.1965454280083554,0.6104821314150648,-0.4139367023345947,0.42626574343649926,0.016076934956314168,0.3967121212121212
0.05858585858585859,-0.0787878787878788,0.4475596347764188,0.7524780929388438,-0.29083513083196966,0.6644711722437151,-0.3736360400753908,0.4316035693167586,0.015956065459660218,0.3967121212121212
0.06060606060606061,-0.0787878787878788,0.45236038234575704,0.6921357194192097,-0.393738753829286,0.7224016711836896,-0.32866291621485144,0.4364993239265964,0.015861058419160627,0.3967121212121212
0.06262626262626263,-0.0787878787878788,0.45651043848218004,0.6377629991896757,-0.5052197345331901,0.7839902927481326,-0.2787705568393814,0.4407175181557818,0.015792920326398206,0.3967121212121212
0.06464646464646465,-0.0787878787878788,0.4597533414063036,0.5890455675539824,-0.625051243175978,0.8488307661310053,-0.22377952162093806,0.44400142194617653,0.015751919460127033,0.3967121212121212
