slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,D_to_H1_flux,L1_to_D_flux
-0.195,-4.164155498642685e-06,4.061785967401921e-06,-1.2380482541596294e-05,1.649239221073406,48528.55593135413,1.8919812934818555e-10,7.695908974453054e-08
-0.19499199919992,-4.239088426061244e-06,4.065157503230221e-06,-1.2385491514610436e-05,1.6468537626024844,48333.14113876009,1.8936838786113603e-10,7.698710261931944e-08
-0.19498399839984,-4.245045062134523e-06,4.070185157911688e-06,-1.2373813793820077e-05,1.6464581059995975,48334.761109782376,1.894663257143039e-10,7.69838359045128e-08
-0.1949759975997599,-4.2519624798842415e-06,4.075249267265768e-06,-1.236747970190244e-05,1.646105012627122,48321.57089473239,1.896021342779953e-10,7.699428372003134e-08
-0.1949679967996799,-4.276072090192429e-06,4.0796631042838705e-06,-1.2360892991170049e-05,1.6452005032088433,48270.40341887569,1.8971895711807463e-10,7.699962130777076e-08
-0.1949599959995999,-4.298102354027833e-06,4.08631989484709e-06,-1.2349484830531663e-05,1.6442783731886212,48230.176597696045,1.8979907859485407e-10,7.698503715308606e-08
-0.1949519951995199,-4.306034384171653e-06,4.091426973884538e-06,-1.234112398962317e-05,1.6438647273895537,48219.29669913091,1.8991228823432527e-10,7.698700280471299e-08
-0.1949439943994399,-4.326375275809369e-06,4.0956363288602304e-06,-1.2333299801214892e-05,1.6430682662777418,48180.43827164562,1.8999304151723526e-10,7.697972317010845e-08
-0.1949359935993599,-4.366694085433664e-06,4.099078205310747e-06,-1.233035525505244e-05,1.6417094330799162,48085.875497628986,1.9017719350456268e-10,7.701236323849095e-08
-0.1949279927992799,-4.372624232473754e-06,4.105314181879205e-06,-1.2320444837454758e-05,1.6413293715919628,48080.66030387645,1.9028403423357223e-10,7.70088074555171e-08
-0.1949199919991999,-4.380351825261641e-06,4.11183452947439e-06,-1.2307463265193164e-05,1.6408463872768086,48077.7329557441,1.9033833056184875e-10,7.698514400321595e-08
-0.1949119911991199,-4.398873528543845e-06,4.116120321528971e-06,-1.2301876882947482e-05,1.6401421509824534,48037.95982715943,1.9045263540469788e-10,7.698981248114114e-08
-0.1949039903990399,-4.4072583733623105e-06,4.121337104923128e-06,-1.2290962789762716e-05,1.6396782047522664,48031.75874940168,1.9052404131392254e-10,7.697615500459713e-08
-0.1948959895989599,-4.449928823646587e-06,4.125162375023805e-06,-1.2289822453714905e-05,1.638275773956248,47927.34907319777,1.9069809466113408e-10,7.70038643861258e-08
-0.1948879887988799,-4.443173097001818e-06,4.130243693722946e-06,-1.227946892989884e-05,1.638301388277218,47954.9935389036,1.9079853140842406e-10,7.70011255353401e-08
-0.1948799879987998,-4.463559406531203e-06,4.136116613484564e-06,-1.2263069171458696e-05,1.6373739806845584,47932.33061239941,1.9085989048871738e-10,7.698191837961743e-08
-0.1948719871987198,-4.472990639214913e-06,4.141622519937549e-06,-1.2258415052146532e-05,1.6369643914492036,47908.71692774696,1.9096393084601248e-10,7.697927715841843e-08
-0.1948639863986398,-4.493667702831772e-06,4.145501326990875e-06,-1.2254711385217831e-05,1.636226387137471,47860.90377353501,1.911299551668675e-10,7.700379853138768e-08
-0.1948559855985598,-4.512069040174538e-06,4.150905394351145e-06,-1.2245139205946389e-05,1.6354649900135296,47828.32240132313,1.9121533055830749e-10,7.699461861306045e-08
-0.1948479847984798,-4.5263168857445635e-06,4.157632674361977e-06,-1.223489539747824e-05,1.634814858506586,47803.78658705144,1.913120178177621e-10,7.698599907153787e-08
-0.1948399839983998,-4.548267995119204e-06,4.161815390868462e-06,-1.2229672172292538e-05,1.6340155297127794,47756.04935868366,1.9145750294144646e-10,7.700211501887319e-08
-0.1948319831983198,-4.566724868482197e-06,4.16540209058347e-06,-1.2222804877337625e-05,1.6333082299533386,47721.46279487207,1.9155519789976428e-10,7.70025881215229e-08
-0.1948239823982398,-4.578578383984677e-06,4.1711391651766405e-06,-1.2212528629707007e-05,1.6327422727733754,47704.81137694502,1.91674969923413e-10,7.700488836154522e-08
-0.1948159815981598,-4.615894056314573e-06,4.1745690984584805e-06,-1.2209413422281656e-05,1.631502444520046,47619.32749131675,1.9181879102029896e-10,7.702247192971878e-08
-0.1948079807980798,-4.6164150830918516e-06,4.180362793315684e-06,-1.21984515908391e-05,1.6312810779257012,47629.867611594265,1.91905862684798e-10,7.701270944909996e-08
-0.1947999799979998,-4.6519193688254745e-06,4.186085177493304e-06,-1.219216109404897e-05,1.6300374206354975,47550.742923321704,1.9200622157352304e-10,7.700797442270988e-08
-0.1947919791979198,-4.6499605730332405e-06,4.191726833691067e-06,-1.2180577233067424e-05,1.6298850650685333,47568.61437788022,1.921250728699988e-10,7.701013433715553e-08
