slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1,F_sc_inv
-0.2,-0.2,-1.250012533987962e-08,0.180879774605505,2.7642670445837596,-1.3520825202128748,-1.412184524661287,-79519625.97088043,-479571.8619334837,0.2754999999999999,-79999197.83281392
-0.2,-0.1353535353535353,-1.4458389465106102e-08,0.2173074853655729,2.300887146862513,-0.8876145077345896,-1.413272639177067,-68712273.38744245,-451723.2259702204,0.3401464646464646,-69163996.61341268
-0.2,-0.0303030303030303,-2.8428484036529537e-08,0.3417093359781912,-0.0479287324870529,1.463231897243638,-1.4153031648196064,-34879240.724312074,-296746.8068921126,0.4451969696969696,-35175987.53120418
-0.2,-0.1393939393939394,-1.4282321235491762e-08,0.2112245251994347,2.3671493614561516,-0.9540346610826304,-1.4131147008495963,-69560970.65090638,-455659.24500902416,0.3361060606060606,-70016629.8959154
-0.2,-0.0262626262626262,-3.0061808373700275e-08,0.3009985938297221,-0.2458129221359293,1.6611373282869517,-1.4153244063341863,-32981952.253821883,-282846.309489274,0.4492373737373737,-33264798.56331115
-0.2,0.0626262626262626,-3.117869126528258e-07,0.0953186701178813,-3.829948152440617,5.245562064307769,-1.415613912063864,-3179877.1408738215,-27441.573986729563,0.5381262626262626,-3207318.7148605506
-0.2,-0.1434343434343434,-1.4114724220516222e-08,0.2059708545742629,2.427527919208853,-1.0145584411850237,-1.4129694778070043,-70388748.2202061,-459253.08515889134,0.3320656565656565,-70848001.30536498
-0.2,0.0989898989898989,-7.888767889025664e-07,0.091965944018234,-4.021169694074459,5.436795167317321,-1.4156254733274498,-1253887.147662723,-13737.928987249816,0.574489898989899,-1267625.0766499727
-0.2,-0.1474747474747474,-1.3955255203937784e-08,0.2014820710592987,2.4816103857363045,-1.068790342877012,-1.41282004206105,-71195116.69803405,-462476.47287607327,0.3280252525252525,-71657593.17091012
-0.2,-0.0222222222222222,-3.193193880316045e-08,0.2668700448654217,-0.4582331334348559,1.8735710869035775,-1.4153379533149788,-31048712.237054057,-267895.4441878202,0.4532777777777778,-31316607.681241874
-0.2,-0.1515151515151515,-1.3803134441374257e-08,0.1976753188835794,2.529400245084042,-1.1166953725377766,-1.412704872230679,-71981975.81603503,-465337.0930203436,0.3239848484848484,-72447312.90905537
-0.2,0.103030303030303,-8.553823824421525e-07,0.0918162255564444,-4.030036622703258,5.445660578769939,-1.4156239559756667,-1155964.493652774,-13103.30634675148,0.5785303030303031,-1169067.7999995255
-0.2,-0.0181818181818181,-3.4081343113310945e-08,0.2382197132589647,-0.6835337589208694,2.09890270272588,-1.4153689437896866,-29089554.700868912,-252011.93502567033,0.4573181818181818,-29341566.63589458
-0.2,-0.1959595959595959,-1.2574261224714894e-08,0.1812715531702942,2.758292689763119,-1.3461145072492826,-1.4121781828268556,-79048332.62005313,-479202.4079678768,0.279540404040404,-79527535.02802101
-0.2,-0.1555555555555555,-1.3658134639692112e-08,0.1944706120413676,2.5710825648819373,-1.1584660701517038,-1.4126164947150173,-72748597.73542044,-467842.6043815213,0.3199444444444444,-73216440.33980195
-0.2,-0.0747474747474747,-1.8899728519315546e-08,0.3533319886740641,1.2343284053231989,0.1807713193187439,-1.4150997253219937,-52525065.600189954,-385747.32381574326,0.4007525252525252,-52910812.924005695
-0.2,0.0585858585858585,-2.756304795525815e-07,0.0961068323836133,-3.786922310109782,5.2025437481887025,-1.415621438586963,-3597513.66671357,-30532.11988903938,0.5340858585858586,-3628045.7866026093
-0.2,-0.0141414141414141,-3.6561621604353655e-08,0.2141625797830274,-0.9192853060918668,2.3346749021358058,-1.4153895960804417,-27115726.91899544,-235357.52745927448,0.4613585858585858,-27351084.446454715
-0.2,-0.1636363636363636,-1.3389165710681372e-08,0.1895603341854665,2.637682625456363,-1.2252195330389135,-1.4124630928742214,-74215391.32663222,-471861.1585796088,0.3118636363636363,-74687252.4852118
-0.2,0.107070707070707,-9.238119537349346e-07,0.0916881004235252,-4.037636898958107,5.453270355655452,-1.4156334565671174,-1069909.6197547717,-12561.75979064367,0.582570707070707,-1082471.3795454153
-0.2,-0.0101010101010101,-3.9432859212228894e-08,0.1939666971397796,-1.1623574150655722,2.577762097122765,-1.415404682149842,-25141409.45768874,-218151.57789248176,0.4653989898989898,-25359561.035581224
-0.2,0.0707070707070707,-3.949845964473993e-07,0.0940936017006533,-3.8982353149326583,5.313857594586555,-1.4156222796747444,-2509200.3809292265,-22543.91744158733,0.5462070707070708,-2531744.298370814
-0.2,-0.1757575757575757,-1.3035906613435941e-08,0.1849201727934009,2.7038694180590395,-1.291568185634624,-1.412301232443128,-76235318.63644831,-475878.3407771096,0.2997424242424242,-76711196.97722542
-0.2,-0.1676767676767677,-1.3264816634266688e-08,0.1877104736949802,2.6636766190030103,-1.2512735181583992,-1.4124031016618437,-74913960.77996007,-473436.39044058434,0.3078232323232323,-75387397.17040065
-0.2,-0.1717171717171717,-1.3147025490103749e-08,0.1861802953130849,2.685568841487453,-1.2732117007490693,-1.4123571408269715,-75588065.37587154,-474767.2970199212,0.3037828282828282,-76062832.67289144
-0.2,-0.006060606060606,-4.2765532174014466e-08,0.17702400664498,-1.4090513974188097,2.8244756711925163,-1.415424273934493,-23182660.63909444,-200656.46616136096,0.4694393939393939,-23383317.105255805
-0.2,-0.0666666666666666,-1.9949860356326053e-08,0.3533258134191679,1.0905656883545634,0.3245587689722917,-1.415124457471935,-49749680.97023222,-375983.1767302121,0.4088333333333332,-50125664.146962434
-0.2,0.2,-3.3152714444902004e-06,0.0909685789545611,-4.080770215423975,5.496403326852324,-1.4156331113210994,-292154.93453256326,-9479.49171085802,0.6755,-301634.4262434213
-0.2,0.1959595959595959,-3.1522998369544326e-06,0.0909720146293934,-4.080563717128369,5.496195748063073,-1.415632030960996,-307734.7097830636,-9493.996787610013,0.6714595959595959,-317228.7065706736
-0.2,-0.002020202020202,-4.6642327287777594e-08,0.1628262580308078,-1.6553065960508095,3.0707577881380317,-1.4154511925604156,-21256592.770177577,-183160.73590541325,0.4734797979797979,-21439753.50608299
-0.2,-0.1313131313131313,-1.4643340095025874e-08,0.2242648505273931,2.2295067589573137,-0.8160414876807849,-1.4134652708540396,-67842936.77431622,-447493.7907490025,0.3441868686868686,-68290430.56506522
-0.2,0.0949494949494949,-7.244725195566174e-07,0.0921420090723855,-4.010780050732357,5.4264065330858,-1.4156264823090718,-1365833.051150149,-14481.554312053477,0.5704494949494949,-1380314.6054622023
-0.2,-0.0343434343434343,-2.6995595766022563e-08,0.3532871038027457,0.1344826628610613,1.2807968494072457,-1.41527951249117,-36733543.0402455,-309536.4556561536,0.4411565656565656,-37043079.49590166
-0.2,-0.1272727272727273,-1.4837993147527664e-08,0.2321198817973035,2.154059342291938,-0.7403716920730083,-1.4136876509325091,-66951529.922558926,-443028.7658996921,0.3482272727272727,-67394558.68845862
-0.2,-0.1919191919191919,-1.26543625516247e-08,0.181747352283868,2.751071714326822,-1.3388907076930288,-1.4121810063923403,-78545372.74444816,-478757.9393696079,0.283580808080808,-79024130.68381777
-0.2,0.0747474747474747,-4.419695267281257e-07,0.0936200249602977,-3.9251112444975966,5.3407377343455025,-1.4156264899369913,-2241981.6303745857,-20617.801316872807,0.5502474747474747,-2262599.4316914584
-0.2,-0.0787878787878788,-1.8436777780547045e-08,0.3533447714590992,1.299976287813165,0.1150722437175595,-1.4150485316594497,-53849273.30046185,-390139.45934896846,0.3967121212121212,-54239412.75981082
-0.2,-0.1878787878787879,-1.2740324987693812e-08,0.1823230114098964,2.742385593951211,-1.3301721676611855,-1.4122134269887612,-78012703.77067003,-478229.62121158966,0.287621212121212,-78490933.39188161
-0.2,-0.0828282828282828,-1.8008300128965992e-08,0.3533488620668654,1.3634509909219794,0.0515811593134714,-1.4150321498181508,-55135601.81858606,-394347.8623124827,0.3926717171717171,-55529949.680898525
-0.2,-0.1797979797979798,-1.2930907785149194e-08,0.1838784282110547,2.719187915876453,-1.3069034683059435,-1.4122844477678582,-76857274.53724733,-476816.51152447815,0.2957020202020202,-77334091.04877181
-0.2,-0.0868686868686868,-1.7611575294654876e-08,0.3506220537584195,1.4260369384869265,-0.0110638051999814,-1.4149731326728647,-56382399.265400544,-398438.52277281845,0.3886313131313131,-56780837.78817336
-0.2,-0.0626262626262626,-2.054774365345469e-08,0.3533190766266859,1.0094983845865428,0.4056530554601139,-1.4151514395699796,-48296717.766154744,-370426.2699676825,0.4128737373737373,-48667144.03612243
-0.2,0.0787878787878788,-4.924006438994274e-07,0.0932197037774261,-3.948046847256151,5.363672911889651,-1.415626064518552,-2011892.6651449015,-18973.89116335835,0.5542878787878788,-2030866.5563082602
-0.2,-0.0909090909090909,-1.7242990020608313e-08,0.3357934287194412,1.4890106753784145,-0.0741046518913783,-1.4149060229797676,-57592081.87865899,-402500.1981635104,0.384590909090909,-57994582.0768225
-0.2,-0.0585858585858586,-2.1203494108239065e-08,0.3533079066275064,0.9202792647969672,0.4949169156194308,-1.4151961805853126,-46797753.90968727,-364284.3324640038,0.4169141414141414,-47162038.242151275
-0.2,-0.0949494949494949,-1.6899458932450418e-08,0.3218556385546,1.5534915039800996,-0.1386292945682505,-1.4148622093953136,-58766881.86877081,-406610.2529086219,0.380550505050505,-59173492.12167943
-0.2,-0.098989898989899,-1.6579521084588495e-08,0.308591619218726,1.6202643527793534,-0.2054965216380573,-1.4147678299321784,-59904571.36997674,-410801.7278355211,0.3765101010101009,-60315373.09781226
-0.2,-0.0545454545454545,-2.1926753025207676e-08,0.3533060650421079,0.8213576723336402,0.5938458847394941,-1.4152035571687838,-45248948.1771629,-357439.54701900925,0.4209545454545454,-45606387.72418191
