slopeL,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,D_to_H1_flux,L1_to_D_flux,FeS_L2_pot
-0.07974797479747976,-0.03505910281820945,0.03505886117789336,1.7671770607535528e-07,0.7070983433279558,14.2616445590244,0.000969275493860243,8.674925337928344e-06,-1.0704959495949595
-0.07970797079707971,-0.03505905981496937,0.03505881708682412,1.7727058849346402e-07,0.707098310226086,14.261662161096858,0.0009692742523424096,8.67491442083169e-06,-1.0704159415941594
-0.07966796679667967,-0.035059049617188975,0.035058806149310895,1.7782537291029015e-07,0.7070982841144807,14.261666347070914,0.0009692739507151302,8.674911621092896e-06,-1.0703359335933593
-0.07962796279627964,-0.03505900112979532,0.03505875609097808,1.783816909422435e-07,0.7070982411980091,14.261686277666941,0.0009692725482283831,8.674898984459349e-06,-1.0702559255925592
-0.0795879587958796,-0.035059006482100585,0.03505876177832601,1.7894003672810575e-07,0.7070982366954673,14.261683918684263,0.0009692727013261191,8.674900272080861e-06,-1.0701759175917593
-0.07954795479547956,-0.035058983654536746,0.035058738143227686,1.794999789886033e-07,0.7070982091091913,14.261693255102925,0.0009692720392646048,8.674894185038207e-06,-1.0700959095909592
-0.07950795079507951,-0.035058945203772396,0.03505869888214885,1.8006158971645565e-07,0.7070981814293258,14.26170894716073,0.0009692709257181977,8.674884052023175e-06,-1.0700159015901591
-0.07946794679467947,-0.03505893463729137,0.035058687382552134,1.8062510694320097e-07,0.707098151241025,14.26171332070423,0.0009692706161571987,8.674881267171832e-06,-1.069935893589359
-0.07942794279427944,-0.03505893097360513,0.035058683799110923,1.8119042573033434e-07,0.7070981414566018,14.261714679760633,0.0009692705081157905,8.674880346251456e-06,-1.069855885588559
-0.0793879387938794,-0.03505887423466447,0.03505862539453086,1.8175722621950467e-07,0.7070980964163043,14.261737984303233,0.000969268867374338,8.674865406813043e-06,-1.0697758775877588
-0.07934793479347936,-0.035058859564742306,0.03505861008377964,1.823260275969255e-07,0.7070980720154767,14.261743966597283,0.000969268438004134,8.674861552786678e-06,-1.0696958695869587
-0.07930793079307931,-0.035058853627617736,0.03505860368336311,1.8289665737748494e-07,0.7070980511606896,14.26174635995616,0.0009692682658480441,8.674859858472773e-06,-1.0696158615861586
-0.07926792679267927,-0.035058845160762075,0.035058594917722896,1.834690594319743e-07,0.7070980335874855,14.261749748576884,0.0009692680213621348,8.674857631925701e-06,-1.0695358535853585
-0.07922792279227923,-0.03505881094679353,0.035058559441074943,1.8404311030184533e-07,0.7070979965336678,14.261763806727805,0.0009692670262763382,8.674848738379428e-06,-1.0694558455845584
-0.0791879187918792,-0.0350587901865822,0.03505853889208488,1.846190326568569e-07,0.7070979891727163,14.261772091796315,0.0009692664246122924,8.674843208284654e-06,-1.0693758375837583
-0.07914791479147916,-0.03505877334863783,0.03505852117143238,1.8519677842058074e-07,0.707097959712345,14.261779003441685,0.0009692659373798382,8.674838845706349e-06,-1.0692958295829584
-0.07910791079107911,-0.03505874465457737,0.03505849164548891,1.8577626634948026e-07,0.7070979312389142,14.261790727436615,0.0009692651058653887,8.674831370284456e-06,-1.0692158215821583
-0.07906790679067907,-0.03505870955103774,0.035058455185354886,1.8635753131338983e-07,0.7070978921449739,14.261805165179089,0.0009692640870467799,8.674822042136095e-06,-1.0691358135813582
-0.07902790279027903,-0.03505870554043611,0.035058451136923185,1.8694078884726115e-07,0.7070978796170825,14.261806685745219,0.0009692639691323416,8.67482100652743e-06,-1.0690558055805581
-0.078987898789879,-0.03505871797618454,0.035058463711855725,1.875259630860884e-07,0.7070978706249418,14.261801479572439,0.0009692643235546699,8.67482407453446e-06,-1.068975797579758
-0.07894789478947896,-0.03505866629430443,0.03505841083742778,1.8811261013626478e-07,0.7070978347268144,14.261822626926945,0.0009692628279233589,8.674810611005232e-06,-1.068895789578958
-0.07890789078907892,-0.03505865778011241,0.03505840206473154,1.887013351349837e-07,0.7070978176366524,14.261826023327224,0.0009692625799755869,8.674808275025e-06,-1.0688157815781578
-0.07886788678867887,-0.035058646852419884,0.035058390617073054,1.8929188867722874e-07,0.707097795235505,14.26183045434947,0.0009692622613026,8.674805354785836e-06,-1.0687357735773577
-0.07882788278827883,-0.03505859427890812,0.03505833611149578,1.8988405441244492e-07,0.7070977443101423,14.26185211380211,0.0009692607390654625,8.67479165176044e-06,-1.0686557655765576
-0.0787878787878788,-0.03505858521694449,0.035058327232954545,1.9047832006604826e-07,0.7070977360213591,14.261855642035423,0.0009692604737326246,8.6747891925026e-06,-1.0685757575757577
-0.07874787478747876,-0.0350585772730625,0.03505831894955569,1.9107445195879805e-07,0.707097717147924,14.261858821420057,0.0009692602429110973,8.674786942260371e-06,-1.0684957495749576
-0.07870787078707872,-0.03505853668706038,0.035058276923483955,1.91672262532112e-07,0.7070976760348098,14.261875503191325,0.0009692590671197562,8.674776504902335e-06,-1.0684157415741575
-0.07866786678667867,-0.03505852235721818,0.03505826225448383,1.9227209402437124e-07,0.7070976570922939,14.261881279583505,0.0009692586495627434,8.674772515489639e-06,-1.0683357335733574
-0.07862786278627863,-0.035058506485867724,0.035058245366727525,1.9287379335779535e-07,0.7070976244520731,14.261887820443619,0.000969258187189948,8.674768385634761e-06,-1.0682557255725573
-0.0785878587858786,-0.035058484683347046,0.03505822286882787,1.9347734217168286e-07,0.7070975982478555,14.261896708455929,0.000969257556368341,8.67476264228173e-06,-1.0681757175717572
