slopeL,slopeH,F_slip,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
-0.19191919191919193,0.1232323232323232,1.7062812432787753,0.30944891187964507,-0.2001252727850581,1.615775595977837,-1.4156503230827335,1.5131769409172204,0.0024829495286962317,0.5987323232323232
-0.1878787878787879,0.1232323232323232,1.7062808078647,0.3094496416421224,-0.20012533391092321,1.6157717854738323,-1.4156464516254093,1.5131697333002823,0.002482947134038593,0.5987323232323232
-0.18383838383838386,0.1232323232323232,1.7062803336398211,0.30945030098479825,-0.20012548792531792,1.6157683428241398,-1.4156428548429894,1.513162412323475,0.0024829451155899207,0.5987323232323232
-0.17979797979797982,0.1232323232323232,1.7062798162920634,0.3094509702641258,-0.2001256884068715,1.6157648482070357,-1.4156391598238502,1.5131545266385582,0.002482942747145308,0.5987323232323232
-0.17575757575757578,0.1232323232323232,1.7062792504830968,0.3094517895098185,-0.20012585113080017,1.6157605706589564,-1.4156347194646919,1.5131453251282179,0.002482938784658311,0.5987323232323232
-0.1717171717171717,0.1232323232323232,1.706278630318806,0.30945259705892797,-0.20012608802743748,1.6157563541370266,-1.4156302660955786,1.5131355235753878,0.0024829343509227652,0.5987323232323232
-0.1676767676767677,0.1232323232323232,1.7062779486611754,0.3094534851609186,-0.2001263479854993,1.6157517171499265,-1.4156253689913252,1.5131245861627636,0.002482928457652165,0.5987323232323232
-0.16363636363636364,0.1232323232323232,1.706277197494015,0.3094544224216279,-0.20012666136654458,1.6157468233976715,-1.415620161939957,1.5131125709887407,0.002482921007066538,0.5987323232323232
-0.15959595959595962,0.1232323232323232,1.7062763670517858,0.3094554276408092,-0.20012702780637467,1.615741574871798,-1.4156145470073418,1.5130992778765613,0.0024829113582756682,0.5987323232323232
-0.15555555555555556,0.1232323232323232,1.7062754459078826,0.3094565304395105,-0.2001274421481661,1.6157358169095097,-1.4156083747118051,1.5130844397125693,0.002482898591480551,0.5987323232323232
-0.15151515151515152,0.1232323232323232,1.7062744204876747,0.3094576932521286,-0.2001279453973963,1.6157297455699542,-1.4156018002829016,1.5130681018846117,0.00248288206242934,0.5987323232323232
-0.14747474747474748,0.1232323232323232,1.706273274258633,0.3094590437990126,-0.20012847500178674,1.6157226941898202,-1.4155942192633506,1.5130494831271553,0.002482859439007769,0.5987323232323232
-0.14343434343434344,0.1232323232323232,1.7062719874997747,0.3094604053752472,-0.20012916954648471,1.6157155852272886,-1.4155864158388756,1.5130292701751824,0.0024828303367874414,0.5987323232323232
-0.1393939393939394,0.1232323232323232,1.706270535885325,0.3094619294262675,-0.20012996069610203,1.6157076281367608,-1.4155776674927474,1.513006521411952,0.002482791060448235,0.5987323232323232
-0.13535353535353536,0.1232323232323232,1.7062688897744591,0.3094635973606237,-0.20013089689980154,1.6156989198741165,-1.4155680230006948,1.5129810999595756,0.0024827383524715038,0.5987323232323232
-0.13131313131313133,0.1232323232323232,1.7062670122794261,0.30946543393220066,-0.20013200723845556,1.6156893312789968,-1.4155573240154535,1.5129526261266104,0.002482667339773348,0.5987323232323232
-0.1272727272727273,0.1232323232323232,1.7062648573419543,0.30946747385264906,-0.2001333255346711,1.615678681249996,-1.4155453554308643,1.5129206364111485,0.002482571338156818,0.5987323232323232
-0.12323232323232325,0.1232323232323232,1.7062623672850352,0.30946979339119557,-0.20013487325368207,1.6156665714647893,-1.4155316978216044,1.5128844242075787,0.002482440967324967,0.5987323232323232
-0.11919191919191921,0.1232323232323232,1.7062594689226056,0.3094723838926097,-0.2001367456111204,1.615653047130749,-1.4155163012681564,1.5128436518065116,0.0024822643052767233,0.5987323232323232
-0.11515151515151516,0.1232323232323232,1.7062560688299058,0.309475477217457,-0.20013890688595717,1.6156368979773816,-1.4154979910159284,1.5127967524943557,0.002482023110925826,0.5987323232323232
-0.11111111111111112,0.1232323232323232,1.7062520471770464,0.30947902709073283,-0.20014153351202496,1.6156183658663004,-1.4154768322365148,1.5127434578826329,0.0024816954019199105,0.5987323232323232
-0.10707070707070708,0.1232323232323232,1.706247249595573,0.3094832256800272,-0.20014469019229292,1.6155964477262401,-1.4154517572786174,1.5126822631689982,0.002481249172939767,0.5987323232323232
-0.10303030303030304,0.1232323232323232,1.7062414761662543,0.30948838358027214,-0.2001484209765892,1.6155695222411062,-1.415421101264824,1.512611002461077,0.002480640475956659,0.5987323232323232
-0.098989898989899,0.1232323232323232,1.706234466206361,0.30949461075608486,-0.2001529733064599,1.6155370162977185,-1.4153840428548483,1.51252839369701,0.0024798121041792976,0.5987323232323232
-0.09494949494949496,0.1232323232323232,1.7062258802289145,0.30950229562282117,-0.2001585118508017,1.6154969027455408,-1.4153383910801827,1.5124316820197583,0.0024786845792231504,0.5987323232323232
-0.09090909090909093,0.1232323232323232,1.7062152732254832,0.30951202186151755,-0.20016520287886463,1.6154461369479378,-1.415280933712808,1.5123170251749325,0.002477149942879204,0.5987323232323232
-0.08686868686868687,0.1232323232323232,1.7062020638989026,0.3095243663933044,-0.20017338540974636,1.6153817091197205,-1.4152083237189264,1.5121804596571946,0.002475064316757797,0.5987323232323232
-0.08282828282828283,0.1232323232323232,1.7061854896705841,0.3095402097652593,-0.20018342197454692,1.615299028233398,-1.4151156060457246,1.5120163529022035,0.0024722335861381097,0.5987323232323232
-0.0787878787878788,0.1232323232323232,1.7061645547192061,0.3095607454533767,-0.20019575912968116,1.6151918722635763,-1.4149961129520383,1.5118173273515012,0.0024683981001562844,0.5987323232323232
