,slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
0,0.0,-0.2,0.003834293341231,-2.7260265325665913,1.3630132664978474,-0.671786451992098,-0.6912268140766454,0.0033327513341836,0.0005015420070474,0.2754999999999999
1,0.0,-0.1979797979797979,0.00407455966513,-2.723719289930137,1.3618596445698523,-0.6706000108618646,-0.6912596344984197,0.0035447345013196,0.0005298251638104,0.277520202020202
2,0.0,-0.1959595959595959,0.0043436718497825,-2.7210276414475087,1.3605138207747167,-0.6692556096324793,-0.6912582110403127,0.0037838264419415,0.000559845407841,0.279540404040404
3,0.0,-0.1939393939393939,0.0046454867385848,-2.7180888532301983,1.3590444262263244,-0.6677807218778078,-0.6912637051260662,0.0040537062827199,0.0005917804558648,0.281560606060606
4,0.0,-0.1919191919191919,0.0049839373787674,-2.7148005158592863,1.3574002583998563,-0.666143233926558,-0.6912570235328714,0.0043581591582597,0.0006257782205077,0.283580808080808
5,0.0,-0.1898989898989899,0.0053638338162667,-2.711274482367959,1.355637242605054,-0.6643629911947251,-0.6912742485681799,0.0047017786955885,0.0006620551206782,0.2856010101010101
6,0.0,-0.1878787878787879,0.0057899202654318,-2.707296268925022,1.3536481351600846,-0.6623791051373225,-0.6912690286276147,0.0050891463013409,0.0007007739640908,0.287621212121212
7,0.0,-0.1858585858585858,0.0062682788852433,-2.7030202503666807,1.3515101252284545,-0.6602203154307773,-0.6912898097074487,0.0055260650809822,0.000742213804261,0.2896414141414141
8,0.0,-0.1838383838383838,0.0068050525211568,-2.6983054053730227,1.3491527025209038,-0.6578422367582384,-0.6913104660938805,0.0060184435326523,0.0007866089885044,0.2916616161616161
9,0.0,-0.1818181818181818,0.0074071329734812,-2.6930475477646887,1.346523774575903,-0.6552087897080661,-0.6913149834807191,0.0065729015357471,0.000834231437734,0.2936818181818181
10,0.0,-0.1797979797979798,0.0080825642956172,-2.687283491148687,1.3436417462258463,-0.6523173875800907,-0.6913243573427497,0.0071971327156428,0.0008854315799743,0.2957020202020202
11,0.0,-0.1777777777777777,0.0088402056818219,-2.6810114865551977,1.3405057431243792,-0.6491550092421647,-0.6913507341886534,0.0078996115139469,0.000940594167875,0.2977222222222222
12,0.0,-0.1757575757575757,0.0096893582672139,-2.674078270521377,1.3370391357330176,-0.6456709720530434,-0.6913681627353162,0.0086892601104643,0.0010000981567495,0.2997424242424242
13,0.0,-0.1737373737373737,0.0106410080180229,-2.6665375302509036,1.3332687656350464,-0.6418637257119606,-0.6914050389038966,0.0095765606610336,0.0010644473569893,0.3017626262626262
14,0.0,-0.1717171717171717,0.0117062046745342,-2.6581792760488985,1.3290896382834383,-0.63766715120477,-0.6914224865606897,0.0105721026786188,0.0011341019959154,0.3037828282828282
15,0.0,-0.1696969696969697,0.012897910956119,-2.649011800766334,1.3245059009278526,-0.6330668479850594,-0.691439051853422,0.0116882425610405,0.0012096683950785,0.3058030303030302
16,0.0,-0.1676767676767677,0.0142303139072247,-2.6390339805526963,1.3195169916807885,-0.6280450124255736,-0.6914719764463345,0.0129384878467982,0.0012918260604264,0.3078232323232323
17,0.0,-0.1656565656565656,0.0157181378002233,-2.6281120154489055,1.3140560078983992,-0.6225512776784932,-0.6915047298720128,0.0143368676142021,0.0013812701860211,0.3098434343434343
18,0.0,-0.1636363636363636,0.017377792843432,-2.616208828709927,1.3081044144909262,-0.6165575795250433,-0.6915468346939575,0.015898968513411,0.0014788243300209,0.3118636363636363
19,0.0,-0.1616161616161616,0.0192259993254662,-2.6031568554779314,1.3015784281177565,-0.6100044781405778,-0.6915739492195973,0.0176406716719874,0.0015853276534788,0.3138838383838384
20,0.0,-0.1595959595959596,0.0212832327231207,-2.5891447833975203,1.2945723914951124,-0.6029155813216356,-0.6916568105807723,0.019581301451614,0.0017019312715067,0.3159040404040403
21,0.0,-0.1575757575757576,0.0235656062129282,-2.5736681717283307,1.2868340863311645,-0.5951523594039649,-0.6916817259932011,0.0217361577519754,0.0018294484609527,0.3179242424242424
22,0.0,-0.1555555555555555,0.0260963384395822,-2.5569941185979523,1.2784970591897196,-0.5867562855020978,-0.6917407739061345,0.0241270422103068,0.0019692962292753,0.3199444444444444
23,0.0,-0.1535353535353535,0.0288950472699865,-2.538884525760132,1.26944226292557,-0.5776519040998416,-0.6917903587347205,0.0267723896296585,0.002122657640328,0.3219646464646464
24,0.0,-0.1515151515151515,0.0319853535515515,-2.5194422218055172,1.2597211101590575,-0.5678427754441202,-0.6918783362023387,0.0296942644146567,0.0022910891368948,0.3239848484848484
25,0.0,-0.1494949494949495,0.0353870163908411,-2.498419913325972,1.2492099568251795,-0.5572541859570386,-0.6919557705437531,0.0329110582381483,0.0024759581526928,0.3260050505050504
26,0.0,-0.1474747474747474,0.0391230105655729,-2.4758585975132785,1.2379292984349055,-0.5458786462224943,-0.6920506528558786,0.0364440289509409,0.0026789816146319,0.3280252525252525
27,0.0,-0.1454545454545454,0.0432136983716492,-2.4516552650395393,1.2258276319291983,-0.5336788448507264,-0.6921487882596145,0.0403118698515357,0.0029018285201134,0.3300454545454545
28,0.0,-0.1434343434343434,0.0476777883113634,-2.4257073093047783,1.212853654511404,-0.5206213792862115,-0.6922322755071627,0.0445315730806575,0.0031462152307058,0.3320656565656565
29,0.0,-0.1414141414141414,0.0525376514985802,-2.3981920548985816,1.1990960274843845,-0.5067367845016371,-0.6923592429125598,0.0491233839777816,0.0034142675207986,0.3340858585858585
