point,alpha,F,F_slip,F_yield,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L2,potential_H2,success,message
[-0.33249042 -0.41349096  0.1936341 ],0,0.010091184058510012,1.3392588794074092,0.010091184058510012,20.205569408385756,49.548199429635275,-29.342629979190946,-0.4134884992161408,-0.33248429935082335,0.19363507029255966,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.3099426  -0.46656218  0.37026088],0,0.01000034423831303,1.2262614781698995,0.01000034423831303,24.9372390930327,49.99827888740738,-25.06103975492556,-0.46656204828568365,-0.30993095602809506,0.37026071607464267,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.38360925 -0.49923098  0.08033371],0,0.012432067219918906,2.0265881429753665,0.012432067219918906,14.27775127494553,25.94082140895114,-40.21857282942392,-0.3,-0.3999999401838778,0.05000005981344627,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
[-0.27931653 -0.30638416  0.24503108],0,0.0072880966678727024,0.3214422904328812,0.0072880966678727024,68.60501759198921,49.89601924947343,18.708998311911166,-0.3000001876787103,-0.05000110900898039,0.21352840060625103,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.16650897 -0.37822007  0.39806334],0,0.0072795912427541095,0.3223532295066858,0.0072795912427541095,68.68517520542713,49.99855969130683,18.686615532676548,-0.3,-0.05,0.394988390378182,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.19492222 -0.32944352  0.06273719],0,0.013972998185567643,0.7254413517061109,0.013972998185567643,34.88822547201421,35.78330103636654,-0.8950754992595726,-0.329443519256139,-0.19492222003379378,0.06273718848545834,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.23139336 -0.37097463  0.34396952],0,0.009999805742489364,0.832274990495336,0.009999805742489364,42.573406855778316,50.00097129550606,-7.427564461558692,-0.3709746540877407,-0.23139338238669563,0.3439695110717478,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.33937369 -0.4933183   0.2564581 ],0,0.010017844579043372,1.2467506574951324,0.010017844579043372,24.061308656832722,49.91093597067374,-25.849627443850075,-0.49331193304899856,-0.33939486007797887,0.25642657991379214,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.26084328 -0.3845057   0.14436946],0,0.010423337690186156,1.091383095033129,0.010423337690186156,29.319083163550943,47.969279560159094,-18.65019647134761,-0.384505684009574,-0.2608433014465778,0.14436944977328123,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.11947851 -0.41709626  0.16571121],0,0.006783826569895328,0.25129755617548044,0.006783826569895328,73.70471447129904,49.949257904425906,23.755456461638403,-0.450373875178674,-0.10831850363284704,0.26495794781465165,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.08457197 -0.356721    0.24538378],0,0.006906637366450541,0.26881285728689663,0.006906637366450541,72.39412952601084,49.95769703722209,22.4364324609874,-0.3567102153836205,-0.08456508637265492,0.24538787651369942,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.28317003 -0.48171735  0.06791474],0,0.02020775067776223,1.8880508592327048,0.02020775067776223,1.4352545719336973,23.30772684547114,-24.74298146615635,-0.48171734355958823,-0.2831700268323832,0.06791473640485576,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.06873468 -0.3387759   0.33204568],0,0.006771485300690157,0.250513657516391,0.006771485300690157,73.83904384495087,49.9993632070803,23.839680634001184,-0.37094196055055356,-0.06498741334746706,0.32887676354962425,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.33742724 -0.44343682  0.37093313],0,0.009999867324243041,1.296992689682591,0.009999867324243041,22.077681151761126,50.000663324652365,-27.922982298759194,-0.4434385792824137,-0.33743068767366696,0.37093417525288774,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.09782377 -0.43902415  0.30018762],0,0.006746185400416149,0.24673203956900788,0.006746185400416149,74.11595886069179,49.98868683119448,24.127272146943575,-0.43902416602505856,-0.09782383991547415,0.30018761178375636,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.09118977 -0.43164153  0.24726499],0,0.006740779827932532,0.24461921837990852,0.006740779827932532,74.17539410182111,49.91795646152928,24.257437554099585,-0.4316445433369828,-0.09123728784571224,0.2472658102167207,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.06598368 -0.41465897  0.29790063],0,0.006706410740890434,0.24117834073482813,0.006706410740890434,74.55552896978352,49.992377885447404,24.56315100210906,-0.41465864624927445,-0.0659836134606175,0.29790070574220484,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
[-0.32567942 -0.42093744  0.24651864],0,0.01001192634881487,1.3117546594122174,0.01001192634881487,21.460683695837048,49.940439245488776,-28.479755638885848,-0.4209367737126035,-0.32568777418006634,0.24651706094852963,False,ABNORMAL_TERMINATION_IN_LNSRCH
[-0.24959495 -0.47265359  0.06582352],0,0.010253962133645766,1.4217056359949183,0.010253962133645766,16.712490304470066,48.76163895449157,-32.04914876434553,-0.30541667848613063,-0.32917817732404064,0.1574145962512798,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
