slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,slopeH_rounded
-0.15550005,-0.000529494,0.000234117,0.000248409,0.065562409,988.1222667221704,-0.1555
-0.155492049,-0.000529363,0.000233939,0.000248338,0.06577014,988.4934787751176,-0.155492
-0.155484048,-0.0005292,0.000233842,0.000248266,0.065809759,988.8180564638852,-0.155484
-0.155476048,-0.000529142,0.000233736,0.000248237,0.065945062,989.0067956091812,-0.155476
-0.155468047,-0.000529149,0.000233699,0.000248247,0.066005573,989.0259308,-0.155468
-0.155460046,-0.000529062,0.000233451,0.000248198,0.066364277,989.4027661237689,-0.15546
-0.155452045,-0.000528848,0.000233317,0.000248101,0.066426859,989.8392777,-0.155452
-0.155444044,-0.000528765,0.000233359,0.000248069,0.066288624,989.9089330752846,-0.155444
-0.155436044,-0.000528611,0.000233011,0.000247985,0.066767539,990.4838432521808,-0.155436
-0.155428043,-0.000528525,0.00023296,0.000247951,0.06678506,990.6524770073224,-0.155428
-0.155420042,-0.000528464,0.000232861,0.000247917,0.066910275,990.8425458,-0.15542
-0.155412041,-0.00052835,0.000232685,0.000247861,0.067124609,991.1824446988162,-0.155412
-0.15540404,-0.000528353,0.000232613,0.000247858,0.067250699,991.2530962817052,-0.155404
-0.15539604,-0.00052822,0.000232539,0.000247802,0.067270798,991.5115074,-0.155396
-0.155388039,-0.000528078,0.000232422,0.000247738,0.067361292,991.8299595811172,-0.155388
-0.155380038,-0.000527932,0.000232269,0.000247669,0.067510645,992.1905855412158,-0.15538
-0.155372037,-0.000527924,0.000232145,0.000247662,0.067715568,992.3275174807612,-0.155372
-0.155364036,-0.000527726,0.00023204,0.00024757,0.067746542,992.7168561,-0.155364
-0.155356036,-0.000527666,0.000232012,0.000247545,0.06774536,992.8279962935226,-0.155356
-0.155348035,-0.000527497,0.000231843,0.000247463,0.067908612,993.2430876860184,-0.155348
-0.155340034,-0.000527497,0.0002317,0.000247465,0.068148477,993.3819691778348,-0.15534
-0.155332033,-0.000527234,0.000231484,0.000247339,0.068320103,993.9791125,-0.155332
-0.155324032,-0.000527099,0.000231403,0.000247277,0.06835519,994.2542023753124,-0.155324
-0.155316032,-0.000527094,0.000231206,0.000247265,0.068694302,994.4662885264332,-0.155316
-0.155308031,-0.000527037,0.000231235,0.000247245,0.068597051,994.5132350136846,-0.155308
-0.15530003,-0.000526897,0.000231165,0.000247178,0.068612695,994.7877143911372,-0.1553
-0.155292029,-0.000526711,0.000230986,0.000247084,0.06878424,995.2416120862364,-0.155292
-0.155284028,-0.000526723,0.000230912,0.000247094,0.068915311,995.2942930715266,-0.155284
-0.155276028,-0.000526617,0.00023075,0.000247041,0.069113174,995.6106722386172,-0.155276
-0.155268027,-0.000526528,0.000230616,0.000246998,0.069276642,995.8757081697646,-0.155268
-0.155260026,-0.000526203,0.000230492,0.000246857,0.069234763,996.4606616870456,-0.15526
-0.155252025,-0.000526186,0.000230272,0.000246837,0.069605774,996.7148710559442,-0.155252
-0.155244024,-0.000526091,0.000230228,0.00024679,0.0696131,996.9009754382554,-0.155244
-0.155236024,-0.000525916,0.000230073,0.000246704,0.069750461,997.3142811751676,-0.155236
-0.155228023,-0.000525799,0.000229976,0.000246652,0.06982426,997.5784561,-0.155228
-0.155220022,-0.000525754,0.000229929,0.000246633,0.069871594,997.689387,-0.15522
-0.155212021,-0.000525489,0.000229742,0.000246512,0.069988257,998.2601833,-0.155212
-0.15520402,-0.000525599,0.00022967,0.000246558,0.070198339,998.1765704634204,-0.155204
-0.15519602,-0.000525532,0.000229648,0.00024653,0.070184566,998.2933425231764,-0.155196
-0.155188019,-0.000525196,0.000229531,0.000246376,0.07012983,998.8993345004905,-0.155188
-0.155180018,-0.000525258,0.000229375,0.000246396,0.070450937,998.9733911,-0.15518
-0.155172017,-0.000525172,0.000229219,0.000246354,0.070653937,999.2560950608874,-0.155172
-0.155164016,-0.000524938,0.000229046,0.000246239,0.070780141,999.7778373079198,-0.155164
-0.155156016,-0.000524912,0.000228941,0.000246224,0.070942683,999.9229015729596,-0.155156
-0.155148015,-0.000524757,0.000228862,0.000246156,0.070958665,1000.2250046163372,-0.155148
-0.155140014,-0.000524484,0.000228714,0.000246034,0.071004042,1000.7684609121936,-0.15514
-0.155132013,-0.000524487,0.000228597,0.000246032,0.071208925,1000.8845761280868,-0.155132
-0.155124012,-0.000524476,0.000228502,0.000246019,0.071370506,1001.0033953099968,-0.155124
-0.155116012,-0.000524255,0.000228321,0.000245915,0.071516866,1001.5117638933842,-0.155116
-0.155108011,-0.000524081,0.00022826,0.000245841,0.071484647,1001.8204668272516,-0.155108
-0.15510001,-0.000524013,0.000228118,0.000245801,0.071685903,1002.071964024398,-0.1551
-0.155092009,-0.0005238,0.000228016,0.000245705,0.071697527,1002.4855126738532,-0.155092
-0.155084008,-0.000523749,0.00022788,0.00024568,0.071894972,1002.6991997617408,-0.155084
-0.155076008,-0.000523558,0.000227691,0.000245588,0.072080151,1003.1726099947492,-0.155076
-0.155068007,-0.000523475,0.000227608,0.000245546,0.072162311,1003.3827341139888,-0.155068
-0.155060006,-0.000523436,0.000227521,0.000245527,0.07228387,1003.5275692127263,-0.15506
-0.155052005,-0.000523348,0.000227358,0.000245487,0.072498303,1003.8215802774664,-0.155052
