slopeL,slopeH,F,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1
0.1875,-0.2,0.160774929550009,0.6978008034787561,0.160774929550009,-3.1099376819578737,0.020464312041816868,3.0894732241010914,0.0500154500908999
0.19166666666666665,-0.2,0.14525756574066295,0.7368044024335344,0.14525756574066295,-3.305422916888034,-0.1367386095252563,3.442161468406546,0.05
0.19583333333333333,-0.2,0.12940724061875064,0.7733350399464735,0.12940724061875064,-3.539402376128109,-0.3243690443834133,3.863771452812859,0.05000421606813746
0.2,-0.2,0.1088007189765351,0.777980555431144,0.1088007189765351,-4.185158448225778,-0.41039945750635454,4.595557827755517,0.49999980952374884
0.1,-0.19583333333333333,0.7194819344559952,0.19724772931575105,0.7194819344559952,-0.694944471005357,0.4443997700794924,0.2505447222233208,0.05000241126676501
0.10416666666666667,-0.19583333333333333,0.4002464138884711,0.002193944122481375,0.4002464138884711,-1.2492304192779073,0.6226772239740228,0.6265532181079685,0.05000241126676501
0.10833333333333334,-0.19583333333333333,0.2981080998126637,0.06682240181150444,0.2981080998126637,-1.6772439338064231,0.7593712223976858,0.9178726977938787,0.05000241126676501
0.1125,-0.19583333333333333,0.24935939794254433,0.09926025360185033,0.24935939794254433,-2.0051379227456465,0.861833205387633,1.1433048360010787,0.05000241126676501
0.11666666666666667,-0.19583333333333333,0.22170534658165084,0.11958152874991447,0.22170534658165084,-2.255245556821535,0.9369261930117041,1.3183193836393343,0.050001313750060894
0.12083333333333333,-0.19583333333333333,0.2044233139715925,0.13438961432139804,0.2044233139715925,-2.445904983683704,0.990523491766627,1.4553814681990715,0.05000241126676501
0.125,-0.19583333333333333,0.19290557560190685,0.14654670710517143,0.19290557560190685,-2.59194167331718,1.027383028987586,1.5645586399977311,0.05000241126676501
0.12916666666666668,-0.19583333333333333,0.18484872557761034,0.1575390817591552,0.18484872557761034,-2.70491448520589,1.0511380357451365,1.6537764993747928,0.05000812321193291
0.13333333333333333,-0.19583333333333333,0.17894962911431087,0.16834581572229654,0.17894962911431087,-2.794082341335681,1.064437896902291,1.729644458997651,0.05
0.1375,-0.19583333333333333,0.17443694308885863,0.1795889948233599,0.17443694308885863,-2.8663652510058455,1.0691869714006152,1.7971783694762316,0.05000241126676501
0.14166666666666666,-0.19583333333333333,0.17078814632387102,0.19185418601401072,0.17078814632387102,-2.9276036194449375,1.0666390432885748,1.8609646307730756,0.05000369236998247
0.14583333333333334,-0.19583333333333333,0.16766083212441193,0.20565428892786178,0.16766083212441193,-2.982211140020425,1.0574337832505663,1.9247773411846367,0.05000241126676501
0.15000000000000002,-0.19583333333333333,0.16480979257144115,0.22148253214439195,0.16480979257144115,-3.033800294500935,1.0417712378411679,1.9920290901544249,0.05000011256921205
0.15416666666666667,-0.19583333333333333,0.162042273520365,0.23983524599946074,0.162042273520365,-3.0856145308479768,1.0195206236299157,2.0660939839131025,0.05
0.15833333333333333,-0.19583333333333333,0.15921465351350833,0.26118273102644746,0.15921465351350833,-3.1404144364415885,0.9902226891550967,2.150191792673432,0.05002303056108531
0.1625,-0.19583333333333333,0.15619543247735626,0.2861880087911983,0.15619543247735626,-3.201117932460761,0.9527631946369581,2.2483547394662438,0.0500122239341573
0.16666666666666669,-0.19583333333333333,0.1528937386012059,0.31529831133614433,0.1528937386012059,-3.2702450907103042,0.9060228080492756,2.364222308025859,0.050003824833931676
