slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
-0.2,-0.2,2.2525199196132717,2.2525199196132717,0.0102409850119953,32.79183918593612,16.031589362343748,-48.823428548834336,0.05,19.027929273111653,0.0076398255451594
-0.2,-0.1333333333333333,2.1015593990364643,2.1015593990364643,0.0101543221410066,23.224006248933417,26.016109738764104,-49.24011598777401,0.05,27.59516105976389,0.0050221295432476
-0.2,-0.05,2.0612665340617724,2.0612665340617724,0.0101566346980868,20.23266501239615,28.99623952772263,-49.22890453992677,0.2866217054875761,30.63312860066861,3.396313167118371
-0.2,-0.15,2.1045060412877965,2.1045060412877965,0.0101559205334777,23.43110835565304,25.80125796197793,-49.23236631823642,0.05,27.406985527837964,0.005072441978395
-0.2,-0.1666666666666666,2.115043632796248,2.115043632796248,0.0101616786530979,24.16350374952014,25.04096502680673,-49.20446877604592,0.05,26.742558895634,0.0052510552600825
-0.2,0.2,1.9884606052501737,1.9884606052501737,0.0102047316339055,14.113095041854049,34.883783850898524,-48.99687889284812,0.5,31.20725652763876,10.726630351118398
-0.2,-0.0333333333333333,2.0437246535528213,2.0437246535528213,0.0101511575815824,18.873255167900457,30.382211115491423,-49.25546628397635,0.3096964535433492,31.888222846094912,4.792571891693153
-0.2,0.1833333333333333,1.9884612391581116,1.9884612391581116,0.010204731917939,14.11315204308704,34.88372548575361,-48.99687752925006,0.5,31.207084144440252,10.726764088713168
-0.2,0.1666666666666666,1.9884625689937432,1.9884625689937432,0.0102047343800923,14.113269040654211,34.883596666501276,-48.99686570743388,0.5,31.20680237384025,10.72695551743142
-0.2,0.1499999999999999,1.9884660328924753,1.9884660328924753,0.0102047380147254,14.113577631703452,34.88327062398129,-48.99684825636652,0.5,31.20627616949366,10.727263464576014
-0.2,-0.0166666666666666,2.034498975142414,2.034498975142414,0.0101474155188716,18.139434020461305,31.134196202970415,-49.27363022335369,0.3285923743910034,32.54526974405154,5.732481074669164
-0.2,0.1333333333333333,1.9884766483941616,1.9884766483941616,0.0102047476790567,14.11452536067596,34.882276493172505,-48.996801853992416,0.5,31.205037709032293,10.727871718438465
-0.2,0.1166666666666666,1.9885123990639295,1.9885123990639295,0.0102047846533833,14.117710745939922,34.87891358104477,-48.996624327062605,0.5,31.20144078562809,10.729434597548323
-0.2,0.0999999999999999,1.9886385493054464,1.9886385493054464,0.0102049141799851,14.128949145348386,34.867053288725735,-48.99600243366885,0.5,31.189637244656165,10.734355512783106
-0.2,0.0833333333333333,1.9890928755368096,1.9890928755368096,0.0102053677383819,14.16940458884726,34.824420309884175,-48.993824898447734,0.5,31.148619570592626,10.75138505754304
-0.2,0.0,2.029882590431304,2.029882590431304,0.0101454696117859,17.766607809322302,31.51647312558972,-49.28308093484577,0.3478254683361806,32.85513309796894,6.436963730546452
-0.2,-0.1833333333333333,2.1509426533730283,2.1509426533730283,0.010181590582021,26.570542696766225,22.537697903986626,-49.10824060070373,0.05,24.568610474194593,0.0058620509130022
-0.2,0.0666666666666666,1.9907368371462943,1.9907368371462943,0.0102069941113356,14.315328867449647,34.6706894007523,-48.986018267944,0.5,31.003572399320237,10.811651878974123
-0.2,0.0499999999999999,1.9966015666887615,1.9966015666887615,0.0102126875470203,14.830057815118789,34.1286514082399,-48.958709222656736,0.5,30.502137787495528,11.017543040205018
-0.2,0.0166666666666666,2.027347225560979,2.027347225560979,0.0101451654777036,17.55881582414284,31.725742530065126,-49.28455835440919,0.3741034598615422,32.96825417252328,7.042887665945599
-0.2,-0.1166666666666666,2.100720636816942,2.100720636816942,0.0101538777473113,23.164843752708023,26.077427272899552,-49.242271026791315,0.05,27.649082427169212,0.0050074463288202
-0.2,-0.1,2.1004420632290057,2.1004420632290057,0.0101537500036842,23.14513076231508,26.09775977744303,-49.24289053985771,0.05,27.667289003494897,0.0050026046753045
-0.2,0.0333333333333333,2.0160925556134734,2.0160925556134734,0.0102202960365691,16.49703481109245,32.42522714784198,-48.92226195915072,0.4936182571608463,29.49732435125126,11.125670498234312
-0.2,-0.0833333333333333,2.099111681156152,2.099111681156152,0.010155212501748,23.04615691563936,26.1896419329988,-49.23579884839299,0.1667752372500309,27.819910845050188,0.0894728125008196
-0.2,-0.0666666666666666,2.085973326005986,2.085973326005986,0.0101592135369795,22.082017054027187,27.134391104538196,-49.21640815738291,0.2473822016437903,28.857150470236306,1.284776554847955
-0.1833333333333333,0.0666666666666666,1.9907251894328115,1.9907251894328115,0.0102072387519272,14.313938378596552,34.670905824004194,-48.98484420222748,0.5,31.002498499689725,10.810212051544095
-0.1833333333333333,-0.1666666666666666,2.1150349722843433,2.1150349722843433,0.0101618705728321,24.162439305672375,25.041100182008,-49.20353948786881,0.05,26.731019493991692,0.0051759153913093
-0.1833333333333333,0.2,1.9884492556255735,1.9884492556255735,0.0102049715270794,14.1117356907558,34.88399140926175,-48.99572709918802,0.5,31.206092907167527,10.725286115157944
-0.1833333333333333,-0.0833333333333333,2.0990846866626343,2.0990846866626343,0.0101552204649548,23.04419617270721,26.191564067447604,-49.2357602404639,0.1670041695931033,27.80077076723213,0.0934923451685073
-0.1833333333333333,-0.0333333333333333,2.0437073937519323,2.0437073937519323,0.0101511695079275,18.871860947105404,30.383547467692622,-49.2554084146369,0.3096720695264626,31.86868257245438,4.642877491286495
-0.1833333333333333,0.1833333333333333,1.9884498894735625,1.9884498894735625,0.0102049715675317,14.111793024259365,34.88393388100441,-48.99572690550542,0.5,31.20591383866534,10.7254275354642
