slopeL,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,dG
-0.12323232323232325,2.489815805568046,0.012953653627843995,38.59914850105863,-7.118416041296303,-31.4807324578436,0.19999999999999998,2.65894789806384
-0.11919191919191921,2.48935902781655,0.013039366215302549,38.34542198989045,-7.140910788820317,-31.20451120007362,0.19999999999999998,2.5896239322834815
-0.11515151515151516,2.4888709921457344,0.013134966152795408,38.06633334162262,-7.162852899008829,-30.90348044212038,0.19999999999999998,2.5193853684017826
-0.11111111111111112,2.4883513721854507,0.013241501631092582,37.76006784943267,-7.1837789533982,-30.576288893250908,0.19999999999999998,2.4483618922416275
-0.10707070707070708,2.4878004141003034,0.013360120117901737,37.42481321925126,-7.203108207744602,-30.22170501162138,0.19999999999999998,2.376721065171024
-0.10303030303030304,2.487219030950141,0.013492085600262365,37.05876280543024,-7.220126873310846,-29.83863593053567,0.19999999999999998,2.30466814411942
-0.098989898989899,2.4866088754330136,0.013638791850563114,36.66013863091723,-7.233980382830897,-29.426158248105704,0.19999999999999998,2.2324434451449005
-0.09494949494949496,2.4859723782377854,0.013801780957855156,36.22720875972164,-7.243670822577204,-28.983537934801298,0.19999999999999998,2.160317050596637
-0.09090909090909093,2.485312744481408,0.013982839961798775,35.75811504391251,-7.248023850192997,-28.51009119448935,0.19999999999999998,2.0885809656664773
-0.08686868686868687,2.4846339013810455,0.014183966549997888,35.251070159580976,-7.245737189723219,-28.005332970545112,0.19999999999999998,2.0175391914504437
-0.08282828282828283,2.4839403989499704,0.014407520083194545,34.70409877034355,-7.23534608233442,-27.46875268760771,0.19999999999999998,1.9474964889486774
-0.0787878787878788,2.4832372695580838,0.014656316724349076,34.114983279632,-7.215235100221925,-26.89974818047998,0.19999999999999998,1.8787468823942972
-0.07474747474747476,2.4825298596365935,0.014933693165375933,33.48133609605023,-7.183681662365494,-26.297654430304476,0.19999999999999998,1.8115630079656748
-0.07070707070707072,2.481823652125756,0.015243687529194541,32.800462424413524,-7.138858145474632,-25.661604277515806,0.19999999999999998,1.746187354349924
-0.06666666666666668,2.4811240979631863,0.015591227446563815,32.06931601286114,-7.078851786469972,-24.990464224819902,0.19999999999999998,1.6828261967633376
-0.06262626262626264,2.480436477729579,0.015982338715788417,31.284532814669163,-7.001698181883132,-24.282834631629747,0.19999999999999998,1.621646674738927
-0.0585858585858586,2.479765807246749,0.016424314921400972,30.442670054466035,-6.905456804967606,-23.537213246715602,0.19999999999999998,1.562777081377732
-0.054545454545454564,2.4791167984061375,0.016926193834879963,29.540013830769297,-6.788185306412931,-22.751828526171764,0.19999999999999998,1.5063100880476572
-0.050505050505050525,2.4784938781962693,0.01749898896592863,28.573079334963907,-6.648065061242935,-21.92501427313389,0.19999999999999998,1.4523083806248136
-0.046464646464646486,2.4779012657681103,0.018156249403395785,27.53872723893558,-6.4834396103021135,-21.055287628390754,0.19999999999999998,1.400812017527517
-0.04242424242424245,2.477343099927937,0.018914661849327306,26.43451963280215,-6.2929082033275705,-20.1416114290668,0.19999999999999998,1.351846851766578
-0.03838383838383841,2.476823610590497,0.019794834552628714,25.259114879659293,-6.075432869948177,-19.18368201085304,0.19999999999999998,1.305433390500502
-0.03434343434343434,2.4763473250333803,0.02082233476429678,24.012677044012534,-5.830455512412652,-18.182221531852164,0.19999999999999998,1.261595660474979
-0.030303030303030304,2.475919304280934,0.022029005557572225,22.69734776389241,-5.558038157806958,-17.139309603095267,0.19999999999999998,1.2203698595880574
-0.026262626262626265,2.475545409336895,0.02345475159885477,21.31764209542301,-5.258993001926655,-16.05864909166844,0.19999999999999998,1.1818128742060316
-0.022222222222222227,2.4752326066887718,0.02514995461371317,19.880751583929595,-4.934995182538316,-14.945756399615089,0.19999999999999998,1.146011121415589
-0.018181818181818188,2.474989340294683,0.027178672588488623,18.396777782292816,-4.588679188783129,-13.808098591440544,0.19999999999999998,1.1130907315022962
-0.01414141414141415,2.4748260202492727,0.02962297829757199,16.878788992562875,-4.223685385193619,-12.655103606289892,0.19999999999999998,1.0832308920816074
-0.01010101010101011,2.4747557197759296,0.03258919679338822,15.34250761652774,-3.8445993752508585,-11.497908240105932,0.19999999999999998,1.0566834145819728
-0.006060606060606072,2.474795236592678,0.036216458288339214,13.805877870512148,-3.456837731604743,-10.34904013717843,0.19999999999999998,1.0338036369572698
-0.002020202020202033,2.4749667776313427,0.04068911296186018,12.288299342672232,-3.0664206502813087,-9.221878689287259,0.19999999999999998,1.0151012586252304
0.0020202020202020055,2.475300701855838,0.04625501563060782,10.809638548750144,-2.6796585328243765,-8.129980014470412,0.19999999999999998,1.001326050411467
0.006060606060606044,2.4758400670293055,0.0532528863722356,9.389162429409609,-2.3027942506951753,-7.086368179322346,0.19999999999999998,0.9936159294424989
0.010101010101010083,2.4766483163385384,0.06215523113928443,8.044375200967238,-1.9416091884914657,-6.102766012886153,0.19999999999999998,0.993761451383923
0.014141414141414121,2.4778226411367057,0.07363725238351014,6.790041504816983,-1.6010804737222912,-5.188961031509777,0.19999999999999998,1.0047026682545057
0.01818181818181816,2.47951818034214,0.08869349534474857,5.637391988056194,-1.2851056595007257,-4.352286327446368,0.19999999999999998,1.0315326462975298
0.0222222222222222,2.4819944392345534,0.10884607564214276,4.593642876359638,-0.9963401420180062,-3.597302734466002,0.19999999999999998,1.0837392756895097
0.026262626262626265,2.485711404065086,0.13654274509311096,3.6618569495454807,-0.7361582206678214,-2.925698728449582,0.19999999999999998,1.1809618616130815
0.030303030303030304,2.491549317468034,0.17598511125389196,2.841149438597043,-0.5047324964187183,-2.3364169417188165,0.19999999999999998,1.371061414795169
0.03434343434343434,2.5013806496432687,0.23505511940707602,2.1271606469517224,-0.3011999635571456,-1.8259606845239276,0.19999999999999998,1.8085153560435718
0.03838383838383838,2.5198460021680034,0.33052613574376816,1.5127396777898952,-0.12388555037265547,-1.388854126895847,0.19999999999999998,3.4236877078638903
0.04242424242424242,2.521319051155014,0.49105630319010035,0.9887616654621212,0.029451514111670463,-1.0182131803030607,0.19999999999999998,-11.095583340912038
0.04646464646464646,2.337091449516842,0.7078848917998041,0.5449456656882035,0.1613838601290567,-0.7063295259354767,0.19999999999999998,-1.543957857870529
0.0505050505050505,2.043760675706361,1.1229944116501378,0.17062814536767235,0.2746100456764111,-0.445238190339321,0.19999999999999998,-0.6847663938443972
