slopeL,slopeH,F,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1
0.1,-0.2,0.9887433341160334,0.9887433341160334,21149220580.85927,-5.9827698351000436e-12,3.284128524683183e-11,8.459011269223993e-12,0.4680201463334522
0.1,-0.1833333333333333,0.0142511944657558,0.0142511944657558,19.72304367047991,-0.0253510556750171,0.0129309944792908,0.0124200634092659,0.3092345814431324
0.1,-0.1625,0.013826825512234,0.013826825512234,5.324541524397581,-0.0939047989895414,0.0478705103732046,0.0460342880303628,0.3456176027357722
0.1,-0.1875,0.0144227991390149,0.0144227991390149,29.63444112345766,-0.0168722605279896,0.0086082009433248,0.0082640588263345,0.3039863065794264
0.1,-0.1916666666666666,0.0146308441853869,0.0146308441853869,50.65880916097562,-0.0098699513884099,0.0050370862782003,0.0048328657492469,0.3000218894880492
0.1,-0.1,0.0145578289027796,0.0145578289027796,1.1093032962816125,-0.4507333580445731,0.230006501116712,0.220726857247115,0.5
0.1,-0.1583333333333333,0.0138103942733662,0.0138103942733662,4.490349150993277,-0.1113499156927133,0.0567623370582452,0.0545875789044032,0.3551469973602575
0.1,-0.1041666666666666,0.0143741910265575,0.0143741910265575,1.505018274453367,-0.3322218786860418,0.1694876726696144,0.1627342078825542,0.5
0.1,-0.1083333333333333,0.0142897218449492,0.0142897218449492,1.8690370604198117,-0.2675174351889211,0.1364618094946657,0.1310556249703012,0.4959968379853749
0.1,-0.1125,0.0142283754975057,0.0142283754975057,1.948695342232323,-0.2565819226545045,0.130872428367553,0.125709496772874,0.4840371114228806
0.1,-0.1541666666666666,0.0138101376129752,0.0138101376129752,3.902406238891016,-0.1281260755662998,0.0653142207691104,0.0628118565117468,0.3656730984337265
0.1,-0.1166666666666666,0.0141691566425847,0.0141691566425847,2.0354166431182654,-0.2456499516993062,0.1252861689034219,0.1203637827271357,0.4720659412860761
0.1,-0.1208333333333333,0.0141123091956955,0.0141123091956955,2.1332391602662915,-0.234385346913811,0.1195315833341048,0.1148537629898598,0.4601173274550478
0.1,-0.125,0.0140581307524493,0.0140581307524493,2.2476178840688736,-0.2224577419409854,0.1134402346477578,0.1090175079729363,0.4482410450677803
0.1,-0.1291666666666666,0.0140070027804485,0.0140070027804485,2.3659500172731507,-0.2113315992485951,0.1077589217972878,0.103572676696789,0.43611878369671
0.1,-0.15,0.0138230395977684,0.0138230395977684,3.4664309187162705,-0.1442405773598523,0.0735301495744913,0.0707104294621991,0.3767661515182763
0.1,-0.1958333333333333,0.0148937570970509,0.0148937570970509,120.7047430596792,-0.0041423387169885,0.0021147948777091,0.0020275449908453,0.3000198063805863
0.1,-0.1333333333333333,0.0139594448580111,0.0139594448580111,2.510981834746162,-0.1991252949610356,0.1015281776534067,0.0975971185138249,0.4241265454670267
0.1,-0.1375,0.0139161339631183,0.0139161339631183,2.678519003154788,-0.1866703187287157,0.0951720327492466,0.0914982889364566,0.4120818392931784
0.1,-0.1458333333333333,0.0138464160079056,0.0138464160079056,3.1462085530990556,-0.158921441142823,0.0810167044881318,0.077904738311048,0.3884362509095164
0.1,-0.1791666666666666,0.0141120292039946,0.0141120292039946,14.014887882431562,-0.0356763463348102,0.0181941775691107,0.0174821696308988,0.3149109682260038
0.1,-0.175,0.01400249265031,0.01400249265031,10.477324699780356,-0.047722104875973,0.0243335624188425,0.0233885447205821,0.3215399379139126
0.1,-0.1416666666666666,0.0138780237536549,0.0138780237536549,2.880359601772869,-0.1735894362882533,0.0884981939068332,0.0850912426735988,0.4000770009356039
0.1,-0.1708333333333333,0.0139201225010043,0.0139201225010043,8.124589244702813,-0.0615415729969157,0.0313765407473241,0.0301650317393296,0.3288962380559666
0.1,-0.1666666666666666,0.0138624310614055,0.0138624310614055,6.4963443147926565,-0.0769663635337707,0.0392376231996891,0.0377287408965898,0.3369749222998929
0.1041666666666666,-0.1333333333333333,0.0048389547750189,0.0048389547750189,12.437116327389766,-0.040202244491823,0.020238681260885,0.0199635646192071,0.5
0.1041666666666666,-0.1916666666666666,0.0142434332101896,0.0142434332101896,37.70441121910669,-0.0132610479279264,0.006496963506283,0.0067640841951011,0.3
0.1041666666666666,-0.1,0.011525726916907,0.011525726916907,1.1047198287695157,-0.4526034438092097,0.2299904045645924,0.222613041153874,0.5
0.1041666666666666,-0.1708333333333333,6.617978612737617e-08,6.617978612737617e-08,18.320131075021624,-0.027292380190417,0.0136461902099114,0.0136461918977666,0.377636475880405
0.1041666666666666,-0.1583333333333333,8.04478448218881e-08,8.04478448218881e-08,19.42961843482273,-0.0257339074688758,0.0128669550381772,0.0128669521262878,0.4305919506875743
0.1041666666666666,-0.1041666666666666,0.0110605984753599,0.0110605984753599,1.4982170790762424,-0.3337300091242099,0.1694751153886748,0.164254894442827,0.5
0.1041666666666666,-0.1416666666666666,5.528676879259291e-07,5.528676879259291e-07,21.234107992401203,-0.0235470226542986,0.0117735194410784,0.0117735011466493,0.4968350489800204
0.1041666666666666,-0.1083333333333333,0.0106032970308597,0.0106032970308597,2.031523364147284,-0.2461207235786275,0.1249056919167941,0.1212150313164599,0.5
0.1041666666666666,-0.1958333333333333,0.034201202047214,0.034201202047214,66.50010558002776,-0.0075187849546125,0.0035775590201367,0.0039412261355202,0.3
0.1041666666666666,-0.1125,0.0101078358504279,0.0101078358504279,2.75353983679407,-0.1815844444685694,0.0920900636577997,0.0894943796585607,0.5
0.1041666666666666,-0.175,2.748856135104404e-08,2.748856135104404e-08,17.936809381524256,-0.0278756378950788,0.0139378182534812,0.0139378192722539,0.3574664123074723
0.1041666666666666,-0.1166666666666666,0.0095236153816372,0.0095236153816372,3.7298832906268338,-0.1340524513221908,0.0679289638919087,0.0661234883663937,0.5
0.1041666666666666,-0.1541666666666666,4.9496527355720295e-08,4.9496527355720295e-08,19.82768085623284,-0.0252172712754088,0.012608634478223,0.0126086360997916,0.4471124252653418
0.1041666666666666,-0.1666666666666666,2.2878053980392778e-08,2.2878053980392778e-08,18.68693139147302,-0.0267566665454239,0.0133783336373944,0.0133783337643649,0.3961842588770089
0.1041666666666666,-0.1208333333333333,0.0087907850421216,0.0087907850421216,5.0483896587904225,-0.0990414837551867,0.0501363856177832,0.0489050971941544,0.5
0.1041666666666666,-0.15,1.6899326029166206e-08,1.6899326029166206e-08,20.25541629945434,-0.0246847552882059,0.012342377782506,0.0123423780376299,0.4635005950484078
0.1041666666666666,-0.125,0.0078347419799094,0.0078347419799094,6.826393442375713,-0.0732451184336184,0.0370283376754123,0.0362167818828744,0.5
0.1041666666666666,-0.1375,0.0025072522016993,0.0025072522016993,16.75164790059151,-0.0298478095212431,0.0149768220503609,0.0148709879838122,0.5
0.1041666666666666,-0.1875,0.0045454677256753,0.0045454677256753,23.581600860248106,-0.0212029708013545,0.0105333365075175,0.010669634761232,0.3
0.1041666666666666,-0.1291666666666666,0.0065594083216946,0.0065594083216946,9.220155436227673,-0.0542290207269502,0.0273660354936922,0.0268629851775337,0.5
0.1041666666666666,-0.1833333333333333,1.3104985210979502e-07,1.3104985210979502e-07,17.030254856112904,-0.0293595128768373,0.0146797546098973,0.0146797598237142,0.3068965339104194
0.1041666666666666,-0.1458333333333333,1.8488363390890045e-08,1.8488363390890045e-08,20.721708962912988,-0.0241292838810096,0.0120646417325254,0.0120646423351686,0.4799860658734635
0.1041666666666666,-0.1791666666666666,3.4066910523695386e-08,3.4066910523695386e-08,17.516473980882356,-0.0285445581219221,0.0142722780983639,0.0142722789230589,0.33461703402942
0.1041666666666666,-0.2,0.0915633909325946,0.0915633909325946,148.51494088069333,-0.0033666643133898,0.0014653574838945,0.001901307483056,0.3
0.1041666666666666,-0.1625,1.143825361740291e-07,1.143825361740291e-07,19.05273014296416,-0.0262429580366614,0.0131214812618374,0.0131214770240646,0.4137084179440952
0.1083333333333333,-0.1958333333333333,0.0515111099995609,0.0515111099995609,50.04589038214469,-0.0099908307037566,0.0046315104169245,0.0053593195584298,0.3
0.1083333333333333,-0.1833333333333333,0.0079601515006912,0.0079601515006912,14.406177837523986,-0.0347073320938591,0.0171583097917427,0.0175490225228358,0.3
0.1083333333333333,-0.1125,0.0067832988512573,0.0067832988512573,2.740895784092489,-0.182422112575594,0.0920860472433311,0.0903360658549452,0.5
0.1083333333333333,-0.1875,0.0160840315397537,0.0160840315397537,21.096002395746332,-0.023701172764504,0.0115810300382932,0.0121201429706196,0.3
0.1083333333333333,-0.175,4.8146027120877086e-08,4.8146027120877086e-08,7.897547391532639,-0.0633107940550843,0.0316553995854711,0.0316553953697429,0.3084916060434163
0.1083333333333333,-0.1541666666666666,2.7625184385537058e-08,2.7625184385537058e-08,8.43034848946635,-0.0593095286110525,0.0296547639153317,0.0296547658968222,0.4062803486321871
0.1083333333333333,-0.1083333333333333,0.0076686360220307,0.0076686360220307,2.0233211717922286,-0.2471184531484027,0.124899238283227,0.1222192166486699,0.5
0.1083333333333333,-0.1333333333333333,7.485697136262549e-08,7.485697136262549e-08,8.882707607562372,-0.0562891422708418,0.0281445748550375,0.0281445691557316,0.4837949185613496
0.1083333333333333,-0.1041666666666666,0.0084169232609766,0.0084169232609766,1.492780560411685,-0.3349454111337877,0.1694661889280055,0.1654792241623752,0.5
0.1083333333333333,-0.1291666666666666,2.1890688822206097e-07,2.1890688822206097e-07,8.988500420983067,-0.0556266325971108,0.0278133065978956,0.0278133236591138,0.4992051234771084
