slopesL,slopeH,F_t,F_slip_best,F_yield_best,fluxD,fluxHR,fluxLR,potential_H1
0.2,0.04999999999999999,0.22569127526316454,0.22569127526316454,0.006596168118322683,-75.80158522285744,49.997803233729236,25.803782060281023,0.10858503880581707
-0.2,0.06666666666666665,1.429362147819851,1.429362147819851,0.009999768585982519,-16.837547127433083,50.00115709345165,-33.16360997284376,0.3838781812895069
-0.18333333333333335,0.06666666666666665,1.4293157515233597,1.4293157515233597,0.01000003959299982,-16.838906298150917,49.99980194973015,-33.160895823688314,0.38399784169433615
-0.16666666666666669,0.06666666666666665,1.4292718029625782,1.4292718029625782,0.00999984592229821,-16.84095206901013,50.00077034147443,-33.159818390273635,0.38373682975794116
-0.15000000000000002,0.06666666666666665,1.4292275888254047,1.4292275888254047,0.00999997439817652,-16.842465764564395,50.000127940755505,-33.157662313570356,0.38421777663748463
-0.13333333333333336,0.06666666666666665,1.4291774342196704,1.4291774342196704,0.010000031918339237,-16.844331371197825,49.99984035681539,-33.15550908961318,0.3844560774533512
-0.11666666666666668,0.06666666666666665,1.4291091273336707,1.4291091273336707,0.010000015837038533,-16.847031268771246,49.99992076329297,-33.15288959780124,0.38557674363852024
-0.1,0.06666666666666665,1.4289922060198035,1.4289922060198035,0.009999826699527864,-16.851925147120596,50.00086645108768,-33.14894143654665,0.38753650052806876
-0.08333333333333334,0.06666666666666665,1.428737866290461,1.428737866290461,0.009999825374106772,-16.861880175444952,50.00087308004558,-33.13899303393649,0.3921800600224225
-0.06666666666666668,0.06666666666666665,1.4280576715910083,1.4280576715910083,0.009999403462640097,-16.889212040274415,50.00298279146192,-33.11377089774075,0.4011082289386327
-0.05000000000000002,0.06666666666666665,1.425958601660016,1.425958601660016,0.01000004765013568,-16.970286892570527,49.99976169401541,-33.02947491432779,0.41550832530018766
-0.033333333333333354,0.06666666666666665,1.4189533651837816,1.4189533651837816,0.010000139534010305,-17.244529738599866,49.999302270906384,-32.754772669860166,0.43181566781112685
-0.01666666666666669,0.06666666666666665,1.3951204671270692,1.3951204671270692,0.010000519037565936,-18.17974467882135,49.99740487875432,-31.817660336150986,0.44872751028244795
0.0,0.06666666666666665,1.3193466574927142,1.3193466574927142,0.009999954789639803,-21.183095624868628,50.00022602057703,-28.81713046020029,0.46743673336905484
0.016666666666666663,0.06666666666666665,1.134029754302633,1.134029754302633,0.010000467805867034,-28.752849940018805,49.99766107108276,-21.244811149060197,0.49309992240279166
0.033333333333333326,0.06666666666666665,0.8828566339776214,0.8828566339776214,0.010000532039961998,-40.01354778885771,49.99733995444319,-9.983792140130571,0.5
0.04999999999999999,0.06666666666666665,0.7237260763463432,0.7237260763463432,0.010000556531050031,-48.86004157426798,49.997217552880585,-1.1371758720606913,0.5
0.06666666666666665,0.06666666666666665,0.59495120040014,0.59495120040014,0.009207198174493945,-54.305337062411496,49.998599508062576,4.306737496499952,0.5
0.08333333333333331,0.06666666666666665,0.49552696470577595,0.49552696470577595,0.008504315823382807,-58.793677303195,49.99758326265978,8.79609399245993,0.5
0.09999999999999998,0.06666666666666665,0.41048333705541684,0.41048333705541684,0.007903287493756005,-63.26481228462629,49.995369138230615,13.269443216263255,0.5
0.11666666666666664,0.06666666666666665,0.3438390576714564,0.3438390576714564,0.007431481378561343,-67.28133664472921,49.99884217261101,17.28249436446213,0.5
