slopeL,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,D_to_H1_flux,L1_to_D_flux,FeS_L2_pot
-0.18663866386638664,-0.0010192586193511488,0.001019252200686771,3.5630714760937937e-11,0.7071023035578002,490.55416958866203,1.3469979865501245e-07,2.3587205560824049e-07,-1.2842773277327733
-0.18659865986598662,-0.0010192583950043854,0.0010192514247414075,3.5742194183415013e-11,0.7071019208124657,490.55441027564507,1.346996301874882e-07,2.3587175970919303e-07,-1.2841973197319732
-0.18655865586558656,-0.0010192585556438871,0.0010192516682808739,3.585411061931887e-11,0.7071019782467387,490.5543129856386,1.3469979319078043e-07,2.3587204916883852e-07,-1.284117311731173
-0.18651865186518654,-0.0010192584940966753,0.0010192517941055301,3.5966318409077306e-11,0.7071021081562775,490.5542974906856,1.3469973463991227e-07,2.358719493565902e-07,-1.2840373037303732
-0.1864786478647865,-0.0010192585888262329,0.001019252358692213,3.6078924474639065e-11,0.7071024340381344,490.5541388034589,1.346998520515441e-07,2.358721479453485e-07,-1.283957295729573
-0.18643864386438644,-0.0010192586063766385,0.0010192519927929022,3.619183146843944e-11,0.7071021679447644,490.554222604155,1.346997774666711e-07,2.3587202122959906e-07,-1.283877287728773
-0.18639863986398642,-0.0010192584193333687,0.0010192513569441675,3.6305074964905546e-11,0.7071018565102916,490.5544206005507,1.3469964045226533e-07,2.3587177904935402e-07,-1.2837972797279729
-0.18635863586358636,-0.0010192586332635756,0.0010192519590165594,3.641874549533744e-11,0.7071021257028186,490.5542242074399,1.3469977214772498e-07,2.3587200757708136e-07,-1.2837172717271728
-0.18631863186318634,-0.0010192583692969492,0.0010192511354926437,3.6532687844559763e-11,0.7071017374343685,490.55448587763254,1.346995940250426e-07,2.358716957119643e-07,-1.2836372637263727
-0.1862786278627863,-0.001019258423994529,0.001019251193549342,3.664703878401457e-11,0.7071017396856677,490.55445871650915,1.3469960728631827e-07,2.3587172096059344e-07,-1.2835572557255726
-0.18623862386238624,-0.0010192584329331567,0.0010192514382922346,3.676175769428536e-11,0.7071019031933297,490.55439764205653,1.346996573034967e-07,2.358718084849551e-07,-1.2834772477247725
-0.18619861986198621,-0.0010192586360773248,0.0010192520896484258,3.687686258736699e-11,0.7071022140577705,490.55419198438625,1.34699805427552e-07,2.3587206522565586e-07,-1.2833972397239726
-0.18615861586158616,-0.0010192584398822646,0.001019251617233402,3.6992257186328104e-11,0.7071020223515058,490.5543528532841,1.3469969625063304e-07,2.3587187354708722e-07,-1.2833172317231725
-0.18611861186118614,-0.0010192585425699008,0.001019251755448508,3.710805244958456e-11,0.7071020469185371,490.554294853729,1.3469973065381042e-07,2.358719398499803e-07,-1.2832372237223724
-0.1860786078607861,-0.0010192585205999194,0.0010192513799761327,3.7224201163856844e-11,0.7071018015985615,490.5543904677234,1.346997326213941e-07,2.358719422214015e-07,-1.2831572157215723
-0.18603860386038604,-0.0010192586225912237,0.001019252175055052,3.734073006755782e-11,0.7071022823419193,490.5541745655595,1.346997941525938e-07,2.358720486866125e-07,-1.2830772077207722
-0.185998599859986,-0.0010192586127146797,0.0010192521241566277,3.74576038045297e-11,0.7071022538022008,490.5541891625299,1.346997842166958e-07,2.3587203180487995e-07,-1.282997199719972
-0.18595859585958596,-0.0010192587054831392,0.0010192525526578067,3.757487132940808e-11,0.7071024866330969,490.5540636942377,1.3469987451720533e-07,2.3587218814442087e-07,-1.282917191719172
-0.18591859185918594,-0.0010192585532706744,0.0010192520400722216,3.769244892744532e-11,0.707102236544936,490.5542236451851,1.3469976106394187e-07,2.3587198847482144e-07,-1.2828371837183719
-0.1858785878587859,-0.0010192584444013164,0.00101925160509167,3.781039952328121e-11,0.7071020102256597,490.55435449075253,1.346996656953088e-07,2.3587182712019495e-07,-1.2827571757175718
-0.18583858385838584,-0.0010192584356047973,0.0010192516948127894,3.792875232110562e-11,0.7071020784893066,490.55433498828734,1.3469968780996338e-07,2.3587185967160335e-07,-1.2826771677167716
-0.1857985798579858,-0.0010192584997383847,0.0010192511498027246,3.8047464798102154e-11,0.7071016558190152,490.55445067957254,1.3469967199618545e-07,2.3587183062487847e-07,-1.2825971597159715
-0.18575857585758576,-0.001019258602610762,0.0010192521481368066,3.816658428617112e-11,0.7071022769558635,490.5541856526875,1.3469978075566248e-07,2.3587202322924734e-07,-1.2825171517151714
-0.18571857185718574,-0.0010192587866413305,0.0010192530289630242,3.828610295676594e-11,0.7071027602701283,490.55392937329293,1.3469998204591797e-07,2.3587236789977426e-07,-1.2824371437143716
-0.1856785678567857,-0.0010192585964290402,0.001019252231768325,3.8405890705986625e-11,0.7071023390970221,490.55416695731765,1.3469981462413858e-07,2.358720753346485e-07,-1.2823571357135715
-0.18563856385638566,-0.001019258882848817,0.0010192531603990251,3.852615665596238e-11,0.7071027845434753,490.55387453468416,1.3470000851145507e-07,2.358724212095343e-07,-1.2822771277127714
-0.1855985598559856,-0.0010192585965995704,0.0010192515530037527,3.864667693373574e-11,0.707101867924408,490.5543301985996,1.346997767567833e-07,2.3587200910586063e-07,-1.2821971197119713
-0.18555855585558556,-0.0010192585508832508,0.0010192519809921197,3.8767636017278075e-11,0.7071021964689324,490.55423817820605,1.346997590324474e-07,2.3587197925590457e-07,-1.2821171117111712
-0.18551855185518554,-0.0010192587467656722,0.0010192528571709991,3.8889034373069234e-11,0.7071026683357418,490.55398016458656,1.346999516209718e-07,2.358723226961602e-07,-1.282037103710371
-0.18547854785478549,-0.0010192586745745302,0.0010192525098993432,3.9010735804113415e-11,0.7071024774160939,490.5540810761938,1.3469987824949738e-07,2.3587219646507623e-07,-1.281957095709571
-0.18543854385438546,-0.0010192583970507485,0.0010192513515549506,3.913276252367003e-11,0.7071018662681284,490.5544265791373,1.3469961369033604e-07,2.3587173446406044e-07,-1.281877087708771
-0.1853985398539854,-0.0010192585776422902,0.0010192519627306162,3.9255287621592195e-11,0.7071021648981136,490.5542360159793,1.346997492618125e-07,2.3587197731770346e-07,-1.281797079707971
-0.18535853585358536,-0.0010192586037049978,0.0010192519876271178,3.937815871588251e-11,0.7071021640039441,490.5542237234112,1.3469975619195466e-07,2.3587197906337737e-07,-1.2817170717071709
-0.18531853185318534,-0.00101925879295095,0.001019253011916993,3.9501475453674914e-11,0.7071027432241889,490.5539316644659,1.3469997114787677e-07,2.3587235613165415e-07,-1.2816370637063708
-0.18527852785278529,-0.0010192585086770123,0.0010192520078574074,3.9625050601908347e-11,0.7071022437917184,490.55424166357426,1.346997520697535e-07,2.358719735458183e-07,-1.2815570557055707
-0.18523852385238526,-0.0010192584150559014,0.001019251533212917,3.974904705873064e-11,0.7071019793734341,490.55437838317624,1.3469965057977932e-07,2.3587179641995333e-07,-1.2814770477047706
-0.1851985198519852,-0.0010192584859254339,0.0010192517458370298,3.9873475504287717e-11,0.7071020776285049,490.5543101323119,1.3469969754293464e-07,2.3587187963699662e-07,-1.2813970397039705
-0.18515851585158516,-0.0010192586056234632,0.0010192521626124496,3.999830690318254e-11,0.7071022836374404,490.55418100344093,1.3469978976682534e-07,2.3587204378477185e-07,-1.2813170317031704
-0.18511851185118514,-0.0010192584294514972,0.0010192516059458478,4.012346490759283e-11,0.7071020195847899,490.5543573261537,1.3469966658714615e-07,2.3587182226706208e-07,-1.2812370237023702
-0.18507850785078508,-0.0010192586885153787,0.0010192524900707045,4.024910945832658e-11,0.7071024531297204,490.5540821950447,1.3469986086457289e-07,2.3587215943322946e-07,-1.2811570157015701
-0.18503850385038506,-0.0010192587531037134,0.0010192527872213697,4.0375105734101796e-11,0.7071026143808372,490.55399511467067,1.346999160081822e-07,2.358722569499236e-07,-1.28107700770077
-0.184998499849985,-0.0010192586639306,0.0010192523667496567,4.0501455399694786e-11,0.7071023844570606,490.55411772686926,1.3469983481891443e-07,2.3587211662567508e-07,-1.28099699969997
-0.18495849584958496,-0.0010192585801718224,0.0010192520468425559,4.062820565079974e-11,0.7071022205427858,490.5542148358931,1.346997708090617e-07,2.3587200771583213e-07,-1.2809169916991698
-0.18491849184918493,-0.0010192583855399562,0.0010192512247035046,4.0755316490341585e-11,0.7071017851258218,490.55445948467565,1.346995876114209e-07,2.3587168701389816e-07,-1.28083698369837
