slopeL,slopeH,F,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,dG
0.1,-0.2,1.0879322067745003,1.0879322067745003,15081171062.508358,-1.9468870959826745e-12,3.82911480301118e-11,2.6069812975038076e-11,0.0501220341727736,0.2
0.1,-0.1974358974358974,0.0149830175803946,0.0149830175803946,186.73333197215493,-0.0026776151346297,0.0013671758331099,0.0013104393461986,0.2910347933063175,0.19465897927332637
0.1,-0.1076923076923077,0.0142993468012891,0.0142993468012891,1.8645378611000056,-0.2681629638751843,0.136792922424302,0.1313700424269157,0.4980123026642113,0.008065910157051
0.1,-0.1923076923076923,0.0146652987921712,0.0146652987921712,54.554767453084075,-0.0091651024740428,0.004677592102432,0.0044875091194711,0.2974563381432632,0.1839902010765092
0.1,-0.1512820512820513,0.0138178427534077,0.0138178427534077,3.583565012696164,-0.1395258616107639,0.0711261958962836,0.0683996679275722,0.3732443574325174,0.09882902723541695
0.1,-0.1794871794871795,0.0141216475432095,0.0141216475432095,14.427674675897372,-0.0346556192743463,0.0176738637245854,0.0169817554690787,0.3147648441112403,0.15736779544734691
0.1,-0.1692307692307692,0.0138951503755459,0.0138951503755459,7.418456109425837,-0.0673994675977951,0.034361958553724,0.0330375111542373,0.3318256831837072,0.13608959987644298
0.1,-0.1435897435897436,0.0138625374815628,0.0138625374815628,2.9989666228117846,-0.1667240959954199,0.0849963269436919,0.0817277696461111,0.3947371363768719,0.08284094310639344
0.1,-0.1641025641025641,0.013838082913612,0.013838082913612,5.716807001703795,-0.0874614094170738,0.044586515194247,0.0428748950154336,0.3420712371183573,0.12544901347483234
0.1,-0.1025641025641025,0.0144315317131756,0.0144315317131756,1.3383831166700169,-0.3735851068094149,0.190604852968157,0.1829802544493262,0.5,-0.002667080119802894
0.1,-0.1256410256410256,0.0140500541857697,0.0140500541857697,2.2620422578483703,-0.2210391952863375,0.1127155972552138,0.1083235976964758,0.4463224393644961,0.045487208500295584
0.1,-0.1179487179487179,0.0141513970909457,0.0141513970909457,2.069166397565011,-0.2416432045618677,0.1232396172556917,0.1184035881960561,0.4684948164736465,0.029457909498110987
0.1,-0.1897435897435897,0.0145297293360288,0.0145297293360288,38.30457929865306,-0.013053270268557,0.0066607446669948,0.0063925242383469,0.3009173206203663,0.17866115210048353
0.1,-0.1102564102564102,0.0142611552523681,0.0142611552523681,1.906325110637141,-0.2622847481289057,0.133787294537317,0.1284974520228416,0.4905080099890214,0.013416041135241091
0.1,-0.1358974358974359,0.0139322346258035,0.0139322346258035,2.611830035322852,-0.1914366533366518,0.0976042793098947,0.0938323732255135,0.416734607541497,0.0668403994444287
0.1,-0.182051282051282,0.0142050425811791,0.0142050425811791,17.661542599441525,-0.0283100970829366,0.014439409614166,0.0138706890966453,0.3109583839767251,0.1626886830044596
0.1,-0.1717948717948718,0.013936848737954,0.013936848737954,8.569963244140954,-0.0583433069246126,0.0297466179118615,0.0285966899729501,0.3269794456559472,0.14140906778722007
0.1,-0.1461538461538461,0.0138443018321181,0.0138443018321181,3.1723895014545658,-0.1576099019009404,0.0803478578717751,0.0772620452170222,0.3875974083554227,0.08817169796137367
0.1,-0.1282051282051282,0.0140185138813289,0.0140185138813289,2.340448465115332,-0.2136342699465672,0.1089348034403379,0.104699467196287,0.4389825998590147,0.05082755165389546
0.1,-0.1153846153846153,0.014187133929616,0.014187133929616,2.0105073585885296,-0.2486934441821375,0.126841569830308,0.1218518747886214,0.4758101038502044,0.02411202894445616
0.1,-0.1871794871794871,0.0144083718321813,0.0144083718321813,28.630378313903968,-0.0174639684218789,0.0089099108212664,0.0085540560092631,0.3043785507265529,0.1733348920149309
0.1,-0.1743589743589743,0.0139881237710459,0.0139881237710459,10.049453426221534,-0.0497539487570293,0.0253690964355257,0.0243848541515774,0.3225997544538841,0.14672836412995677
0.1,-0.158974358974359,0.0138117999933777,0.0138117999933777,4.6137888721285725,-0.1083708021836713,0.0552437953283373,0.0531270063444004,0.3537758819672543,0.11480474044080476
0.1,-0.1051282051282051,0.0143472033885197,0.0143472033885197,1.6147984330749596,-0.3096361689971587,0.1579593445995151,0.1516768237536681,0.5,0.0027097338571615394
0.1,-0.1487179487179487,0.0138292350495009,0.0138292350495009,3.350464892903825,-0.1492330201750604,0.0760758233737455,0.0731571998107192,0.380197081986971,0.09350105988581779
0.1,-0.1333333333333333,0.0139594450033108,0.0139594450033108,2.5063151131266963,-0.1994960642170582,0.1017172211928674,0.0977788424205101,0.4240398754178501,0.06150414685449085
0.1,-0.1769230769230769,0.014049527181659,0.014049527181659,11.964370771264832,-0.0417907481975134,0.0213105444311274,0.020480202722684,0.3186243018089396,0.15204782046286205
0.1,-0.1307692307692307,0.0139882618770986,0.0139882618770986,2.417025505208429,-0.2068658348880632,0.105479068100994,0.1013867675477691,0.4314672590548546,0.05616653096827476
0.1,-0.1128205128205128,0.0142237370568667,0.0142237370568667,1.9591912510023877,-0.2552073463477882,0.1301704722580758,0.1250368739303375,0.4832107464593526,0.0187647431503176
0.1,-0.1564102564102564,0.0138084580199643,0.0138084580199643,4.206315525068555,-0.118868876690243,0.0605950801627521,0.0582737958287182,0.3600539213931395,0.10948082951131818
0.1,-0.1846153846153846,0.0143003970089551,0.0143003970089551,22.0873092446333,-0.0226374326354488,0.0115476250733372,0.0110898098146527,0.3073201893802756,0.1680108973302982
0.1,-0.1615384615384615,0.0138214304115463,0.0138214304115463,5.1041279271651065,-0.0979599274802609,0.049937348052417,0.0480225788028327,0.347712035803804,0.12012742839969039
