,slopeL,slopeH,F,F_sc,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
24,0.0499999999999999,0.0999999999999999,2.015310398319098,2.015310398319098,-9.564351938390866,-4.782175969314954,4.428949734093429,0.3532262349824754,0.674999723976339,1.987194721082564,0.028115677236534
25,0.0499999999999999,0.1166666666666666,2.373632491558938,2.373632491558938,-10.568211810050377,-5.284105905457412,5.041417810785376,0.2426880938075791,0.6749999833395444,2.3494005883594946,0.0242319031994439
26,0.0666666666666666,-0.05,0.0069803007805043,0.0069803007805043,-1.2485628990644337,-0.6242814497486622,0.4209946723775211,0.2032867769382503,0.675,0.0009806159943172,0.0059996847861871
27,0.0666666666666666,-0.0333333333333333,0.0217480678249063,0.0217480678249063,-3.174264356046476,-1.5871321782163663,0.9385641956944326,0.6485679821356762,0.675,0.0043607950767861,0.0173872727481202
28,0.0666666666666666,-0.0166666666666666,0.0566234070002379,0.0566234070002379,-5.493135133883397,-2.7465675669616547,1.5694227844681876,1.1771447824535528,0.675,0.0177555251817146,0.0388678818185233
29,0.0666666666666666,0.0,0.1182618655262048,0.1182618655262048,-7.030067935885395,-3.5150339677225957,2.0080351236042446,1.5069988445585547,0.675,0.059206303663901,0.0590555618623038
30,0.0666666666666666,0.0166666666666666,0.2324268461800017,0.2324268461800017,-7.719244300231586,-3.859622149830564,2.2689098788259265,1.5907122715750943,0.675,0.1646389834849367,0.0677878626950649
31,0.0666666666666666,0.0333333333333333,0.4506094631518867,0.4506094631518867,-7.997334333837881,-3.9986671666243376,2.5244199638934965,1.474247203320048,0.675,0.3852015876939467,0.06540787545794
32,0.0666666666666666,0.0499999999999999,0.7880573946791007,0.7880573946791007,-8.142840865749832,-4.071420432476042,2.8702232027061,1.201197230567688,0.675,0.7329850414597467,0.0550723532193539
33,0.0666666666666666,0.0666666666666666,1.160459848152012,1.160459848152012,-8.316964421536499,-4.158482210554261,3.271492669875265,0.8869895411069716,0.675,1.117828996536271,0.0426308516157408
34,0.0666666666666666,0.0833333333333333,1.5048869791644863,1.5048869791644863,-8.72072871652873,-4.360364358068519,3.716030083761552,0.6443342746986593,0.6749998251005068,1.471528092125471,0.0333588870390156
35,0.0666666666666666,0.0999999999999999,1.8912664636684944,1.8912664636684944,-9.575202189574116,-4.787601094864765,4.322748763347246,0.4648523313621041,0.674999723976339,1.8640423497062344,0.0272241139622595
36,0.0666666666666666,0.1166666666666666,2.272110964405422,2.272110964405422,-10.580520513429265,-5.290260257115707,4.9614667387568225,0.3287935175567251,0.6749974895081603,2.2491157385978826,0.0229952258075392
37,0.0666666666666666,0.1833333333333333,2.4789625678503264,2.4789625678503264,-10.942677895188119,-5.4713389483280075,5.395893329088505,0.0754456177716021,0.3892082946536935,2.462814842401561,0.0161477254487657
38,0.0666666666666666,0.2,2.479397312284836,2.479397312284836,-10.952829591007161,-5.4764147961102605,5.398631815578003,0.0777829793188902,0.3897938341245665,2.463196062621517,0.0162012496633188
39,0.0833333333333333,-0.0666666666666666,0.0017773370987065,0.0017773370987065,-0.43498044599214986,-0.2174902233430424,0.1404132794947159,0.0770769431543914,0.675,7.728129920991874e-05,0.0017000557994966
40,0.0833333333333333,-0.05,0.0055011233828393,0.0055011233828393,-1.3794658552097432,-0.6897329277104545,0.3833657000108523,0.3063672274884365,0.675,0.0003131209142849,0.0051880024685543
41,0.0833333333333333,-0.0333333333333333,0.0168675838865135,0.0168675838865135,-3.30959653364773,-1.65479826683191,0.8849084223002919,0.7698898445155281,0.675,0.0013690058500273,0.0154985780364861
42,0.0833333333333333,-0.0166666666666666,0.0405490861592068,0.0405490861592068,-5.588466194679709,-2.7942330972948493,1.4857913094512083,1.3084417879336514,0.675,0.0055117001350032,0.0350373860242036
43,0.0833333333333333,0.0,0.0723048551768225,0.0723048551768225,-7.078468132111857,-3.539234065980283,1.890937112153292,1.6482969539782788,0.675,0.0185789626765684,0.0537258925002541
44,0.0833333333333333,0.0166666666666666,0.1177052916033184,0.1177052916033184,-7.74352691628657,-3.871763458033998,2.0977509357489055,1.7740125225036685,0.675,0.0545237830447103,0.0631815085586081
45,0.0833333333333333,0.0333333333333333,0.2097608682955669,0.2097608682955669,-8.009876949060596,-4.004938474233655,2.249750228941913,1.755188245885026,0.675,0.1451950050037738,0.064565863291793
46,0.0833333333333333,0.0499999999999999,0.4072694416644909,0.4072694416644909,-8.14768571924605,-4.073842859691517,2.47696316794892,1.5968796916056105,0.675,0.3478247223788377,0.0594447192856532
47,0.0833333333333333,0.0666666666666666,0.7549501191966262,0.7549501191966262,-8.31895244672513,-4.15947622307015,2.869016375051956,1.2904598486030223,0.675,0.7060615181212214,0.0488886010754047
48,0.0833333333333333,0.0833333333333333,1.2013903568060775,1.2013903568060775,-8.725696652872454,-4.362848326247759,3.4275340670989713,0.9353142595257216,0.6749999230191892,1.164146632306584,0.0372437244994934
49,0.0833333333333333,0.0999999999999999,1.6801018275323871,1.6801018275323871,-9.584738196050258,-4.792369098081888,4.1369429150851715,0.6554261828831964,0.675,1.6512679676400777,0.0288338598923096
50,0.0833333333333333,0.1166666666666666,2.1018378219948235,2.1018378219948235,-10.593501171586544,-5.296750586154564,4.823870994172793,0.4728795912591806,0.6749993150625547,2.078017046744735,0.0238207752500883
51,0.0833333333333333,0.1333333333333333,2.327491912628576,2.327491912628576,-11.174909212030656,-5.587454606734316,5.383193883284708,0.2042607220116229,0.3775129154555101,2.3123040733477778,0.0151878392807981
52,0.0833333333333333,0.1499999999999999,2.329238870907121,2.329238870907121,-11.166748145125908,-5.583374073176875,5.381702585810405,0.201671486138624,0.3766736821449206,2.3141640818166636,0.015074789090457
53,0.0833333333333333,0.1666666666666666,2.33048944429426,2.33048944429426,-11.168099470909016,-5.584049736245746,5.382458645872671,0.2015910887905896,0.3767720553591698,2.3154184381365113,0.0150710061577487
54,0.0833333333333333,0.1833333333333333,2.3314333433046657,2.3314333433046657,-11.169069977772365,-5.584534989674122,5.383062141240412,0.2014728468578233,0.3768251354860395,2.316367768674712,0.0150655746299538
55,0.0833333333333333,0.2,2.3321713765965955,2.3321713765965955,-11.169772050973764,-5.5848860262956155,5.383560124312346,0.2013259003657977,0.3768475428700611,2.3171122994376097,0.0150590771589856
