alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L2,potential_H2
0.014308617234468936,0.009995951222597393,0.23812582052456224,0.006684343718803572,74.80165909715681,49.99596149536964,24.805697559250113,-0.45623494528055186,-0.05,0.3248293431744886
0.01442885771543086,0.010023761719745408,0.23814995068078126,0.006683972048091367,74.80581855440708,50.00001796006847,24.80580051885912,-0.45624403118986495,-0.05,0.35351474966953594
0.014549098196392784,0.010051490703798854,0.23815588007527272,0.006683780395837533,74.80796357835628,50.00176531233894,24.806198141074297,-0.45668217146029383,-0.05,0.3640704363181895
0.014669338677354708,0.010079379820546987,0.23815589821224484,0.006683837771598021,74.8073214342175,50.001337035117906,24.805984221328313,-0.45670565468348917,-0.05,0.36415132618104
0.014789579158316633,0.010107021541819774,0.2381365446635994,0.006683934847546283,74.80623494595784,49.99958710309277,24.806647672599432,-0.45851597621350015,-0.05,0.33774347529372245
0.014909819639278557,0.0101350794517215,0.23812415710741106,0.006684353725953883,74.80154712753537,49.9957986584871,24.805748394529147,-0.45467760651819183,-0.05,0.31928329676143424
0.01503006012024048,0.01016264270786836,0.23815635074435473,0.00668359324647742,74.81005826120173,50.00319033762677,24.806867874753852,-0.45663346792861453,-0.05,0.3647379968391795
0.015150300601202404,0.010190465112882817,0.2381554218811142,0.006683597391151112,74.81001191893529,50.00311017732866,24.80690159396772,-0.4561093436276272,-0.05,0.36172181158574174
0.015270541082164328,0.010218337977911971,0.23815782653624423,0.00668360131216552,74.80996801770863,50.00320804970791,24.80675984644411,-0.4560743463258969,-0.05,0.3655873025869767
0.015390781563126251,0.01024617557464503,0.23815535370333654,0.006683645069010511,74.80947828418537,50.00274986533813,24.80672822453875,-0.4566251376824151,-0.05,0.36307529166876923
0.015511022044088175,0.01027423644260515,0.23815032329782657,0.006683956525128835,74.80599235513259,50.000153767810666,24.80583837163342,-0.457919985531245,-0.05,0.35653450159033884
0.0156312625250501,0.010301898214846374,0.23813573212624517,0.0066840156730937055,74.80533035572539,49.99893951246021,24.806390685090545,-0.4578318698573609,-0.05,0.33691751264893904
0.015751503006012024,0.010329772001995304,0.2381237040091686,0.006684252790413306,74.80267672275912,49.99652963583234,24.80614690306568,-0.45586872225847863,-0.05,0.32222570298507747
0.015871743486973948,0.010357664947513372,0.23813853240769275,0.006684079237884348,74.80461894525989,49.998612155912035,24.80600667269399,-0.4559240020693069,-0.05,0.33711927569660727
0.01599198396793587,0.010385705175662872,0.23815594762314124,0.006684009654643612,74.80539765802791,50.00005385763987,24.80534375080307,-0.45287495590835963,-0.05,0.34267903797827265
0.016112224448897795,0.010413130919903955,0.23813432719799588,0.006683950501792787,74.80605973626041,49.99935270889588,24.806706874365496,-0.4567710970637172,-0.05,0.33426412491549273
0.01623246492985972,0.010441154670568338,0.23814143865312112,0.006684030408480994,74.80516547974611,49.99913112222113,24.80603412470864,-0.455145392083508,-0.05,0.3378464410034973
