acq_index,H1,F
0,0.6287171168762914,4.838615562972804e-06
1,0.5357632983190644,9.205915552682202e-06
2,0.6122185310063286,5.251068668576496e-06
3,0.555992399736823,7.792325876466768e-06
4,0.42308057076013655,3.5793029073266575e-05
5,0.6439567263154732,4.557583861972484e-06
6,0.5853988180074501,6.222517656099784e-06
7,0.3458832165361767,0.0002685245055032539
8,0.4890387034566542,1.3973034231204558e-05
9,0.6556101217672837,4.3947923127165195e-06
10,0.5709771348306888,6.9228089201179555e-06
11,0.598566601214621,5.694602061423648e-06
12,0.468323495973924,1.753799009538966e-05
13,0.6329760952184789,4.751295412541266e-06
14,0.665047275530776,4.289803306789354e-06
