slopeL,slopeH,F_slip,F_yield,fluxD,fluxHR,fluxLR
0.066,-0.099,0.6906994285373212,0.0101777528317416,-49.12675801557762,48.556801585222786,0.5699563306601583
0.099,-0.099,0.3913543606397718,0.0079507570758983,-62.887093051750696,48.84624915665804,14.04084387902308
0.066,-0.066,0.66030636251997,0.009696383313854,-51.56561820639345,49.8591627055743,1.7064555121547649
0.099,-0.066,0.3753109257606789,0.0076705150576571,-65.18467098827335,49.89136288399018,15.293308014594206
0.066,-0.033,0.6354239102149936,0.0094960489692267,-52.65347737843943,49.98460722767252,2.6688702380168365
0.099,-0.033,0.3601806840851337,0.0075485522087305,-66.23786737803651,49.988804690787205,16.249062661262688
0.066,0.0,0.6166929187276858,0.0093607016380742,-53.41479937285183,49.999870786199025,3.4149285894596453
0.099,0.0,0.350854631441478,0.007481390199769,-66.83249860038472,49.99683675758302,16.835661828099575
0.066,0.033,0.6051129441600834,0.0092785932616512,-53.88747908913189,50.00108529284492,3.886393717871971
0.099,0.033,0.3457309499981915,0.0074448595222832,-67.16043450360426,49.99884126828685,17.161593145366197
0.066,0.066,0.5992207583868066,0.0092375253344446,-54.12705048547487,49.99786350883556,4.129186946687678
0.099,0.066,0.3431720799447053,0.0074268494969567,-67.32329778780428,49.9982734932334,17.325024211407523
0.066,0.099,0.5966957335440478,0.0092192693848112,-54.23423254930455,50.00003585164252,4.234196751779258
0.099,0.099,0.3420219033603466,0.007418347454928,-67.40045583477875,50.00075904277736,17.399696791212897
