slopeL,slopeH,F,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
0.19208333333333333,-0.16316666666666668,0.014203398837481064,0.014203398837481064,382.86201951578755,-0.0013059540104373157,0.0006660926229429265,0.0006398603958537308,0.3817981773412194,-64477675.673744135,-246043.33598163337
0.19287500000000002,-0.16316666666666668,0.012315063595996533,0.012315063595996533,352.6987648186638,-0.0014176408201254098,0.0007211648471674437,0.000696475030427024,0.38239320511214364,-64310461.11719498,-246230.78707392982
0.19366666666666668,-0.16316666666666668,0.010806020999471633,0.010806020999471633,328.49224101618404,-0.0015221066065563005,0.0007726830961125586,0.00074942223033303,0.38291855119227336,-64161230.04594961,-246416.71489664292
0.19445833333333334,-0.16316666666666668,0.009574126500037765,0.009574126500037765,308.1352417209816,-0.0016226645149648444,0.0008223171845678223,0.000800346534962193,0.38326634081526517,-64062183.565359294,-246603.06849984743
0.19525,-0.16316666666666668,0.008550341743017501,0.008550341743017501,291.0977180545692,-0.0017176367479004029,0.0008692027404215708,0.000848433060989251,0.3835583044336386,-63979295.26703629,-246793.46106768606
0.19604166666666667,-0.16316666666666668,0.007686895361246209,0.007686895361246209,278.806094518874,-0.0017933615698543792,0.0009064280370587596,0.000886932561860343,0.38436158704380347,-63751675.61926038,-247005.07249294993
0.19683333333333333,-0.16316666666666668,0.006949625978368157,0.006949625978368157,267.44659332030193,-0.0018695329389262771,0.0009439527867449726,0.000925578539777705,0.38487502774546234,-63606301.76655763,-247212.49550603286
0.197625,-0.16316666666666668,0.006313957311325525,0.006313957311325525,257.41667450809894,-0.001942376689172215,0.0009798597863515113,0.0009625157531767403,0.38528637327283266,-63488480.08940234,-247414.39987213028
0.19841666666666669,-0.16316666666666668,0.0057605997819415835,0.0057605997819415835,247.76569416838794,-0.0020180358909430984,0.0010172378746773347,0.001000797504683737,0.38540720474580764,-63453916.706892006,-247611.12585093966
0.19920833333333335,-0.16316666666666668,0.005274823547843464,0.005274823547843464,242.61119881104946,-0.0020609111901156996,0.0010381419581726448,0.0010227681233621055,0.3864848524417732,-63147102.03166958,-247845.2894635936
0.2,-0.16316666666666668,0.004845627516735183,0.004845627516735183,234.9064623165909,-0.002128507130956858,0.001071546290187797,0.0010569601583807486,0.3865480467466143,-63129036.007566,-248043.9967150255
0.181,-0.16233333333333333,1.8721108364690668,1.8721108364690668,17.853213818167465,0.00013313630416825206,0.027873025285106934,-0.028006162588593453,0.05,-1343506.9602482973,-242883.86556435938
0.18179166666666666,-0.16233333333333333,1.87165771600502,1.87165771600502,18.716278001045755,8.237825893650519e-05,0.026632334453417172,-0.026714713797774348,0.05000000676163366,-1342714.0913603671,-243197.39599051923
0.18258333333333332,-0.16233333333333333,1.8711828574371085,1.8711828574371085,19.62261862582198,3.3681148176423203e-05,0.025447117375026806,-0.02548079936893899,0.05,-1341964.4122274602,-243511.06527725962
0.183375,-0.16233333333333333,1.8701111810130375,1.8701111810130375,20.56362532838376,-1.3056289637186635e-05,0.024314778340169596,-0.02430172285487031,0.05,-1341246.3341810408,-243822.7156945542
0.18416666666666667,-0.16233333333333333,1.8665848359846449,1.8665848359846449,20.419624975916207,-7.777450394430563e-05,0.024486247797192107,-0.02440847357865783,0.08219143309869581,-5107166.040952072,-244119.43546308708
0.18495833333333334,-0.16233333333333333,0.8149446180460798,0.8149446180460798,12536.883024139815,-3.468855660138104e-05,3.988268069932133e-05,-5.19340579874239e-06,0.378893502679615,-65294897.085535616,-244519.08338862166
0.18575,-0.16233333333333333,0.12137078649874607,0.12137078649874607,2029.0799004515625,-0.0002464175488677278,0.00014435640612475709,0.00010206026005121771,0.37967489914397906,-65075110.608843476,-244620.70323667367
0.18654166666666666,-0.16233333333333333,0.06348590316206697,0.06348590316206697,1131.5564747485923,-0.0004418694606120044,0.00024077061022254043,0.0002010984100240254,0.3804938190311859,-64844014.577383086,-244735.94758035915
0.18733333333333332,-0.16233333333333333,0.04229594710177539,0.04229594710177539,800.207609087074,-0.0006248380908495943,0.00033110630409893815,0.00029373130001375536,0.3809899956706152,-64703642.681480095,-244861.7026896971
0.188125,-0.16233333333333333,0.03131604885209312,0.03131604885209312,625.7408237023644,-0.000799053295356067,0.00041722028940327505,0.0003818321518669343,0.381121174418931,-64667430.09650434,-244998.190821106
