slopeL,slopeH,F_slip,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
0.18790909090909091,-0.15425252525252525,0.022668586265827163,67.10116244679125,-0.007451435975300291,0.0038451576464488824,0.0036062778567138576,-79760239.48854157,-236948.36556522452,0.3212474747474747
0.1881010101010101,-0.15425252525252525,0.022186941295162542,66.32749775277176,-0.007538351052474218,0.0038874417884429135,0.003650910395007534,-79759145.70856385,-236920.62468000242,0.3212474747474747
0.1882929292929293,-0.15425252525252525,0.02172128689269194,65.58069577616331,-0.0076241949241957485,0.003929199404932859,0.0036949952795017893,-79757801.77898903,-236893.10903120338,0.3212474747474747
0.18848484848484848,-0.15425252525252525,0.02127125771829759,64.85713243096257,-0.007709252461433058,0.003970581366097292,0.003738670853731252,-79759018.34894909,-236874.1506092318,0.3212474747474747
0.18867676767676766,-0.15425252525252525,0.02083596154048915,64.15769693965639,-0.007793297357985923,0.004011469118225364,0.003781827926336412,-79760255.2270788,-236856.18868493743,0.3212474747474747
0.18886868686868688,-0.15425252525252525,0.02041467734708572,63.48130892346104,-0.00787633435662044,0.004051864646875458,0.0038244692536393288,-79761423.39413726,-236838.9439792984,0.3212474747474747
0.18906060606060607,-0.15425252525252525,0.02000693049176513,62.828702836314896,-0.007958145514571968,0.004091657572146801,0.003866489226449943,-79760206.64512677,-236815.52467150422,0.3212474747474747
0.18925252525252526,-0.15425252525252525,0.01961168811868077,62.19694767749261,-0.008038979760951886,0.004130970838396308,0.003908008807683494,-79759016.10410401,-236793.07610999633,0.3212474747474747
0.18944444444444444,-0.15425252525252525,0.019228745978471014,61.583273761520225,-0.008119087756211923,0.004169937236429888,0.003949150390376577,-79760184.41773136,-236778.50845872425,0.3212474747474747
0.18963636363636363,-0.15425252525252525,0.01885743965937484,60.988495952604765,-0.008198267473148835,0.0042084512243327765,0.003989816163406212,-79761553.12756638,-236765.39876321662,0.3212474747474747
0.18982828282828282,-0.15425252525252525,0.018497379628484353,60.413599927335085,-0.008276281487100828,0.004246392066164617,0.0040298907899087855,-79760706.02916649,-236746.560955136,0.3212474747474747
