slopeL,slopeH,F,F_sc,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
0.1333333333333333,0.06666666666666665,0.6272850190905404,0.6272850190905404,0.09805808155120499,-5.0990187868106265,4.430299774559174,0.6687190116762277,0.275,1.592065151188143,0.002106508530169481
0.14999999999999997,0.06666666666666665,0.7491715205781291,0.7491715205781291,0.09567802018386173,-5.225860642432661,4.162953874071981,1.0629067678439306,0.275,1.3332130628401477,0.0015947515683722377
0.16666666666666663,0.06666666666666665,0.8593065234074729,0.8593065234074729,0.09428631317551599,-5.302996619513297,3.9528046426216896,1.350191976125147,0.275,1.1626876076379864,0.0010414840889385391
0.1833333333333333,0.06666666666666665,0.9448879245934947,0.9448879245934947,0.0933130246389176,-5.358308788653929,3.821284110877386,1.537024677378041,0.275,1.0577047635901053,0.0006218103580327852
0.2,0.06666666666666665,1.0157410752162177,1.0157410752162177,0.09254586614948905,-5.402726462257902,3.7410415343715506,1.6616849274882273,0.275,0.9841314844555628,0.00037138187494667116
-0.2,0.08333333333333331,0.2948943091575517,0.2948943091575517,0.0822505872902339,-5.371146355195605,6.078983949788508,-0.7078375946412756,0.5620746906095652,3.365844506616624,0.025200925412160957
-0.18333333333333335,0.08333333333333331,0.29489353350514186,0.29489353350514186,0.0822497214089053,-5.371216293016615,6.079047946079321,-0.7078316531501926,0.5623346872693542,3.3658199245628975,0.02523442686310178
-0.16666666666666669,0.08333333333333331,0.2948894796040414,0.2948894796040414,0.08224750733363184,-5.371380497702788,6.079211592111076,-0.7078310942902212,0.5628154028533893,3.365803063057528,0.02529790582998747
-0.15000000000000002,0.08333333333333331,0.2948831228450372,0.2948831228450372,0.08224495001102612,-5.371587854108008,6.079400618695622,-0.7078127650345051,0.5625283343649573,3.3658257908831946,0.025348279548451542
-0.13333333333333336,0.08333333333333331,0.2948738203973111,0.2948738203973111,0.08224029986296726,-5.371980462560274,6.0797443688458515,-0.7077639066729927,0.5625526714049198,3.3658034602517866,0.0254775922763983
-0.11666666666666668,0.08333333333333331,0.29485921450827385,0.29485921450827385,0.08223214676308781,-5.372737874986589,6.080347159467301,-0.7076092847764791,0.5623121912410749,3.365743333483081,0.02570570658732759
-0.1,0.08333333333333331,0.29484708485220074,0.29484708485220074,0.0822184518625682,-5.374271252426021,6.081359946422829,-0.7070886936583041,0.5621676542489782,3.3654367238951512,0.02615183632844484
-0.08333333333333334,0.08333333333333331,0.29488819714895587,0.29488819714895587,0.08220144625483526,-5.377351701684614,6.082618041141316,-0.7052663395158454,0.5619225294745325,3.3641428492708614,0.026972867357408645
-0.06666666666666668,0.08333333333333331,0.2951833934163138,0.2951833934163138,0.08219870865739029,-5.383835320651284,6.082820620354024,-0.6989853000033187,0.5610369463392952,3.359335868870566,0.028388584143102354
-0.05000000000000002,0.08333333333333331,0.29644831097151464,0.29644831097151464,0.08228959709127615,-5.397811825171206,6.076102176428645,-0.6782903516526456,0.5595672646300418,3.3426237882357492,0.030645557515689082
-0.033333333333333354,0.08333333333333331,0.3006674809087162,0.3006674809087162,0.08271025700268989,-5.4272579674530945,6.045199448361455,-0.6179414807513058,0.5558765172884014,3.2925474721384567,0.03338587116049426
-0.01666666666666669,0.08333333333333331,0.31136423105732175,0.31136423105732175,0.08386928277647758,-5.480568477622653,5.961658230792036,-0.481089753765254,0.5481056245741343,3.1768401496704404,0.03483254826351466
0.0,0.08333333333333331,0.32977237575902363,0.32977237575902363,0.0858209407125287,-5.5502994045131695,5.826083888972303,-0.2757844839531833,0.5345826847025771,2.999674403287704,0.032720283193662957
0.016666666666666663,0.08333333333333331,0.3503325753040381,0.3503325753040381,0.08775204474089862,-5.617931274349428,5.69787292684207,-0.07994165239691065,0.5191482340460356,2.8263044480965234,0.028126085895767785
0.033333333333333326,0.08333333333333331,0.3677297843162356,0.3677297843162356,0.08813227910599492,-5.6732902525666296,5.614016083023234,0.05927416980385358,0.511834839640017,2.6955122903948534,0.02387581100525691
0.04999999999999999,0.08333333333333331,0.382588074803858,0.382588074803858,0.08770527846271416,-5.700911151208461,5.555117290831095,0.14579386019652407,0.5131740876997921,2.5928124592385706,0.02096477496474725
