slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield
-0.195,-4.16E-06,4.061785967401921e-06,-1.24E-05,1.649239221073406,48528.55593135413
-0.194991999,-4.24E-06,4.065157503230221e-06,-1.24E-05,1.6468537626024844,48333.14113876009
-0.194983998,-4.25E-06,4.070185157911688e-06,-1.24E-05,1.6464581059995975,48334.761109782376
-0.194975998,-4.25E-06,4.075249267265768e-06,-1.24E-05,1.646105012627122,48321.57089473239
-0.194967997,-4.28E-06,4.0796631042838705e-06,-1.24E-05,1.6452005032088433,48270.40341887569
-0.194959996,-4.30E-06,4.08631989484709e-06,-1.23E-05,1.6442783731886212,48230.176597696045
-0.194951995,-4.31E-06,4.091426973884538e-06,-1.23E-05,1.6438647273895537,48219.29669913091
-0.194943994,-4.33E-06,4.0956363288602304e-06,-1.23E-05,1.6430682662777418,48180.43827164562
-0.194935994,-4.37E-06,4.099078205310747e-06,-1.23E-05,1.6417094330799162,48085.875497628986
-0.194927993,-4.37E-06,4.105314181879205e-06,-1.23E-05,1.6413293715919628,48080.66030387645
-0.194919992,-4.38E-06,4.11183452947439e-06,-1.23E-05,1.6408463872768086,48077.73296
-0.194911991,-4.40E-06,4.116120321528971e-06,-1.23E-05,1.6401421509824534,48037.95982715943
-0.19490399,-4.41E-06,4.121337104923128e-06,-1.23E-05,1.6396782047522664,48031.75874940168
-0.19489599,-4.45E-06,4.125162375023805e-06,-1.23E-05,1.638275773956248,47927.34907319777
-0.194887989,-4.44E-06,4.130243693722946e-06,-1.23E-05,1.638301388277218,47954.99354
-0.194879988,-4.46E-06,4.136116613484564e-06,-1.23E-05,1.6373739806845584,47932.33061239941
-0.194871987,-4.47E-06,4.141622519937549e-06,-1.23E-05,1.6369643914492036,47908.71692774696
-0.194863986,-4.49E-06,4.145501326990875e-06,-1.23E-05,1.636226387137471,47860.90377353501
-0.194855986,-4.51E-06,4.150905394351145e-06,-1.22E-05,1.6354649900135296,47828.32240132313
-0.194847985,-4.53E-06,4.157632674361977e-06,-1.22E-05,1.634814858506586,47803.78658705144
-0.194839984,-4.55E-06,4.161815390868462e-06,-1.22E-05,1.6340155297127794,47756.04935868366
-0.194831983,-4.57E-06,4.16540209058347e-06,-1.22E-05,1.6333082299533386,47721.46279487207
-0.194823982,-4.58E-06,4.1711391651766405e-06,-1.22E-05,1.6327422727733754,47704.81137694502
-0.194815982,-4.62E-06,4.1745690984584805e-06,-1.22E-05,1.631502444520046,47619.32749131675
-0.194807981,-4.62E-06,4.180362793315684e-06,-1.22E-05,1.6312810779257012,47629.867611594265
-0.19479998,-4.65E-06,4.186085177493304e-06,-1.22E-05,1.6300374206354975,47550.742923321704
