slopeL,slopeH,F,F_sc,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
0.0,-0.2,0.0002572445045662,0.0002572445045662,-1.6583527365421775,0.8291763683111864,-0.1431061882245536,-0.6860701800064375,0.5498340888637836,1.3795814519866111e-05,0.0002434486900463
0.0,-0.1916666666666666,0.0002577127223525,0.0002577127223525,-1.6510454352344104,0.8255227177734623,-0.1393360362083875,-0.6861866812525605,0.5571562526335527,1.62300936703799e-05,0.0002414826286821
0.0,-0.1833333333333333,0.0002618823319281,0.0002618823319281,-1.6436466146676834,0.8218233076229051,-0.13563133619785,-0.6861919708469283,0.5655710837128034,1.8917857472494016e-05,0.0002429644744556
0.0,-0.175,0.0002700720198898,0.0002700720198898,-1.636041828006388,0.8180209144546371,-0.1319251172830498,-0.6860957962687011,0.5744490066371775,2.2158163368398786e-05,0.0002479138565214
0.0,-0.1666666666666666,0.0002828660315719,0.0002828660315719,-1.6278103173698089,0.8139051590702042,-0.1280385706197364,-0.6858665876798682,0.5837054146164034,2.5964489464901523e-05,0.000256901542107
0.0,-0.1583333333333333,0.0003012215028175,0.0003012215028175,-1.618669829082658,0.8093349149336273,-0.1238285264049139,-0.6855063877441168,0.5931021385827234,3.060793681014815e-05,0.0002706135660074
0.0,-0.15,0.000326554194027,0.000326554194027,-1.6079876009709004,0.8039938008846335,-0.1190194016903198,-0.6849743983959471,0.6027470004966577,3.603215260496465e-05,0.000290522041422
0.0,-0.1416666666666666,0.0003609002723329,0.0003609002723329,-1.5950761924560075,0.7975380965729579,-0.1132987641917893,-0.6842393316912606,0.6126343492206826,4.2309400651328904e-05,0.0003185908716815
0.0,-0.1333333333333333,0.0004070987984916,0.0004070987984916,-1.57910747126393,0.7895537360301148,-0.1063204010845488,-0.6832333341492662,0.622657598907162,4.975473440471239e-05,0.0003573440640869
0.0,-0.125,0.0004690947981111,0.0004690947981111,-1.558724318497318,0.7793621595172615,-0.0974971941330515,-0.681864964847005,0.6329223953624366,5.832010996067747e-05,0.0004107746881505
0.0,-0.1166666666666666,0.000552314481167,0.000552314481167,-1.5322829108113123,0.7661414556160437,-0.0861056065177194,-0.6800358486775491,0.643423276721268,6.817645490914968e-05,0.0004841380262578
0.0,-0.1083333333333333,0.0006640899084342,0.0006640899084342,-1.4961309129931677,0.748065457064512,-0.0705819667968477,-0.6774834891318078,0.6545850303741797,7.803827882196557e-05,0.0005860516296122
0.0,-0.1,0.0008141798789146,0.0008141798789146,-1.4485441413441291,0.7242720709908106,-0.0501882026765407,-0.6740838676767781,0.6658055009806237,8.993851404749014e-05,0.0007242413648671
0.0,-0.0916666666666666,0.001017044847278,0.001017044847278,-1.3960061211598245,0.6980030608200272,-0.0277283323965313,-0.6702747279432657,0.675,0.0001147452634651,0.0009022995838129
0.0,-0.0833333333333333,0.001356477016795,0.001356477016795,-1.377289204280559,0.6886446022131159,-0.0198801805671529,-0.6687644215002903,0.675,0.0002229470081257,0.0011335300086692
0.0,-0.075,0.0019791043590123,0.0019791043590123,-1.347147220917201,0.673573610557928,-0.0071351730453095,-0.6664384373139635,0.675,0.0004363797284171,0.0015427246305951
0.0,-0.0666666666666666,0.0031300403420547,0.0031300403420547,-1.32524317702257,0.6476025776696179,0.015019010529869,-0.6626215888230829,0.675,0.0008636779417419,0.0022663624003128
0.0,-0.0583333333333333,0.0052645760613551,0.0052645760613551,-1.312040246829517,0.6012774643401695,0.0547426592553463,-0.6560201232340009,0.675,0.0017400710580628,0.0035245050032922
0.0,-0.05,0.0092419158712215,0.0092419158712215,-1.288818066041002,0.5180781097963374,0.1263309229738531,-0.6444090332708113,0.675,0.003606160740803,0.0056357551304184
0.0,-0.0416666666666666,0.0167599001854914,0.0167599001854914,-1.247873337213326,0.3706314086509543,0.2533052596559244,-0.6239366689064472,0.675,0.0077818979937643,0.008978002191727
0.0,-0.0333333333333333,0.0314542290097596,0.0314542290097596,-1.1776960962911875,0.1188730280517935,0.469975019998941,-0.5888480482404531,0.675,0.0176037660781799,0.0138504629315796
0.0,-0.025,0.0615329159883661,0.0615329159883661,-1.6302815167383646,-0.2827028871382513,0.8151407583956924,-0.5324378712044209,0.675,0.0412675180302014,0.0202653979581647
0.0,-0.0166666666666666,0.1243119915998221,0.1243119915998221,-2.6174500492709374,-0.857512852956523,1.308725024546348,-0.4512121717680665,0.675,0.0965084917376914,0.0278034998621306
0.0,-0.0083333333333333,0.248376827923072,0.248376827923072,-3.832063139669084,-1.5643688313174282,1.9160315697672912,-0.3516627385843643,0.675,0.212779882484987,0.0355969454380849
0.0,0.0,0.4617282396164452,0.4617282396164452,-5.079747280939794,-2.2877611460471106,2.5398736407363884,-0.252112494156296,0.675,0.4192615084462575,0.0424667311701877
0.0083333333333333,-0.2,0.0002563559319779,0.0002563559319779,-1.674256974014741,0.8371284872380018,-0.1576635419223393,-0.6794649448544,0.5470971324004137,1.4884135777047856e-05,0.0002414717962008
0.0083333333333333,-0.1916666666666666,0.0002567579448148,0.0002567579448148,-1.6646265493006045,0.8323132748574711,-0.1526408209944172,-0.6796724534487159,0.5541835371216592,1.7759709775080456e-05,0.0002389982350397
0.0083333333333333,-0.1833333333333333,0.0002612009761618,0.0002612009761618,-1.6547166171715322,0.8273583087850893,-0.1476874673699697,-0.6796708410164731,0.5623215880407693,2.102749827218112e-05,0.0002401734778897
0.0083333333333333,-0.175,0.0002700674524466,0.0002700674524466,-1.6443206590262691,0.8221603300926486,-0.1426708559543215,-0.6794894729792992,0.5711136109510988,2.4811018499630545e-05,0.000245256433947
0.0083333333333333,-0.1666666666666666,0.0002839963076503,0.0002839963076503,-1.6329292727192923,0.816464636592352,-0.1373815106435962,-0.6790831254833442,0.5803607274707712,2.9189348520680385e-05,0.0002548069591296
0.0083333333333333,-0.1583333333333333,0.0003040125605734,0.0003040125605734,-1.6199499224170824,0.8099749615434293,-0.1315561389180537,-0.6784188219555994,0.5899664042188982,3.422088992414573e-05,0.0002697916706492
0.0083333333333333,-0.15,0.0003316194540048,0.0003316194540048,-1.6050288624501865,0.8025144314419732,-0.125038040003492,-0.677476391004721,0.5995707969363233,4.0503517604891906e-05,0.0002911159363999
0.0083333333333333,-0.1416666666666666,0.0003689652778849,0.0003689652778849,-1.5872243797713672,0.7936121902585542,-0.1174234969399776,-0.6761886925728352,0.6092926895916324,4.809191663970508e-05,0.0003208733612452
0.0083333333333333,-0.1333333333333333,0.0004190210053843,0.0004190210053843,-1.5646174004619304,0.7823087006374045,-0.1079234736805965,-0.6743852261439295,0.619506163456565,5.632683742003771e-05,0.0003626941679643
0.0083333333333333,-0.125,0.0004858691090939,0.0004858691090939,-1.5358577302583507,0.7679288652299983,-0.0959776467493576,-0.671951218278995,0.6299704192392329,6.576145507651911e-05,0.0004201076540173
0.0083333333333333,-0.1166666666666666,0.0005750230469713,0.0005750230469713,-1.498494892222057,0.7492474463769234,-0.080569259327504,-0.6686781865176294,0.6407565089402518,7.632487781536697e-05,0.000498698169156
0.0083333333333333,-0.1083333333333333,0.0006937709867158,0.0006937709867158,-1.4484924925738496,0.7242462466762856,-0.0600322090944906,-0.6642140368030733,0.6520911804305344,8.725017702979534e-05,0.000606520809686
0.0083333333333333,-0.1,0.0008513907572589,0.0008513907572589,-1.3811841982716873,0.690592099490515,-0.0324656538058576,-0.6581264449753145,0.6639754865475735,9.831175258360076e-05,0.0007530790046753
