slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1
-0.2,-0.2,2.4896952865494395,2.4896952865494395,0.030431212153455,16.430498972192808,-3.0379132238475464,-13.39258574769302,0.0870442406824471
-0.2,-0.1897435897435897,2.4955049888065783,2.4955049888065783,0.0334028852536025,14.96876680573611,-2.435389855723443,-12.533376950016343,0.1219425851338256
-0.2,0.1692307692307692,1.2882826627268744,1.2882826627268744,0.0100001891528337,-22.42663886795326,49.99905425382508,-27.572415385662595,0.3874917236909226
-0.2,-0.1692307692307692,2.354523380603141,2.354523380603141,0.0253049856556179,15.636060360041938,4.122891761298888,-19.758952121295582,0.05
-0.2,-0.0051282051282051,1.2898679033585632,1.2898679033585632,0.0100176307531206,-22.324011803824675,49.91200138237478,-27.587989578973804,0.2678786636666694
-0.2,-0.1179487179487179,1.901442786530644,1.901442786530644,0.0139677368157845,3.463688038732897,32.333091825597975,-35.796779864681966,0.0622036812684391
-0.2,-0.0769230769230769,1.4099500413780035,1.4099500413780035,0.0110729040918713,-15.892756183178264,45.1552723523636,-29.262516169176244,0.1721366186823346
-0.2,0.0256410256410256,1.288710869416395,1.288710869416395,0.0100051945911787,-22.39822122331384,49.9740405294739,-27.575819305192905,0.29675349002319
-0.2,-0.0564102564102564,1.3207092843989765,1.3207092843989765,0.0103084444008886,-20.496417258480037,48.50392363381136,-28.007506374537236,0.2057956927235182
-0.2,0.1897435897435897,1.2882780177586284,1.2882780177586284,0.0100001219094562,-22.426976329564923,49.99939045945178,-27.57241413128217,0.3961728665352279
-0.2,0.0974358974358974,1.2883317695609582,1.2883317695609582,0.0100008000072345,-22.4232958203432,49.996000283221285,-27.5727044640503,0.3478472957711359
-0.2,0.1282051282051282,1.2883009236293457,1.2883009236293457,0.0100004178037325,-22.425392310461778,49.997911068050925,-27.572518758714907,0.3661559908241833
-0.2,-0.158974358974359,2.181528132480729,2.181528132480729,0.0207038048728001,14.05260794608212,10.097542380167289,-24.150150325915387,0.05
-0.2,0.1589743589743589,1.2882858310373986,1.2882858310373986,0.0100002274824227,-22.426425591882307,49.99886261416226,-27.572437021475174,0.382545371245201
-0.2,0.0564102564102563,1.2884409973259812,1.2884409973259812,0.0100021061692576,-22.415979239827664,49.98947137089653,-27.57349213171411,0.320628539747721
-0.2,-0.1282051282051282,1.9361672858578831,1.9361672858578831,0.0141684741146315,6.432831114972856,28.85678412171179,-35.289615237210676,0.05
-0.2,-0.0871794871794871,1.5108890795899057,1.5108890795899057,0.0118548136375961,-11.528042413785954,42.176959949269005,-30.64891753566179,0.1488752623543732
-0.2,0.0153846153846153,1.2889165594806828,1.2889165594806828,0.0100074801694325,-22.384847162751072,49.962627108473534,-27.577779945562114,0.2877460790479796
-0.2,0.0871794871794871,1.2883485698690031,1.2883485698690031,0.0100009955795303,-22.42218227248169,49.99502259756133,-27.572840325733473,0.3413954648462943
-0.2,0.1384615384615384,1.2882947092831365,1.2882947092831365,0.0100003386179776,-22.42581959812584,49.99830696819989,-27.572487368556317,0.371834324988595
-0.2,-0.1487179487179487,2.0596915208238946,2.0596915208238946,0.0172434238075217,11.846027371393632,17.150534192454327,-28.996561563114092,0.05
-0.2,-0.0974358974358974,1.6587769728961064,1.6587769728961064,0.0129177586168992,-6.189997274838888,38.70640525476432,-32.51640797854336,0.1214097224592715
-0.2,-0.0358974358974359,1.2970849675943936,1.2970849675943936,0.0100891683721117,-21.87859929333301,49.55809850345782,-27.679499209513253,0.2328292520385958
-0.2,0.1794871794871794,1.288280101501922,1.288280101501922,0.0100001526961913,-22.42682354928634,49.99923653095104,-27.572412981164433,0.3920015395433467
-0.2,0.0051282051282051,1.289261886998228,1.289261886998228,0.0100112232482366,-22.36261863922921,49.94394666948,-27.581328029014166,0.2781304934205238
-0.2,0.0666666666666666,1.288400347658947,1.288400347658947,0.0100016315012035,-22.41867629306992,49.9918438244989,-27.57316753175798,0.327832570999468
-0.2,-0.1076923076923077,1.8374809484878905,1.8374809484878905,0.0142445528845338,-0.8769106741338817,35.101136837850675,-34.224226164556214,0.0946334931502471
-0.2,0.0769230769230769,1.2883706966075943,1.2883706966075943,0.0100012717227707,-22.4206741311137,49.99364219426896,-27.572968063983065,0.3347380349839777
-0.2,0.1487179487179487,1.2882897738977794,1.2882897738977794,0.0100002779687883,-22.42615393103381,49.99861019470837,-27.572456263638983,0.3773164358654666
-0.2,-0.0256410256410256,1.2930573374854843,1.2930573374854843,0.0100499146050706,-22.12485804512255,49.75166652183038,-27.626808475843056,0.2451960477314571
-0.2,-0.1384615384615384,1.9847582057116144,1.9847582057116144,0.0152116244821469,9.24166669843862,23.62793250775909,-32.869599205756714,0.05
-0.2,-0.0461538461538461,1.305007801265375,1.305007801265375,0.0101642367473363,-21.40466335791379,49.19208519334819,-27.78742183536922,0.2197775434897444
-0.2,-0.0666666666666666,1.3515605186635369,1.3515605186635369,0.0105816092858081,-18.80749105465162,47.251791905530446,-28.444300851136973,0.1903448679400449
-0.2,-0.1794871794871795,2.5018662044392372,2.5018662044392372,0.0374957229909122,13.33485422089906,-1.86563419543322,-11.4692200259444,0.1770266422933005
-0.2,0.1076923076923077,1.28831884416638,1.28831884416638,0.0100006394213094,-22.4241752586574,49.99680309867011,-27.572627838411893,0.3541945528583731
-0.2,0.1179487179487179,1.2883087975082643,1.2883087975082643,0.0100005099052132,-22.424869381070778,49.99745060365034,-27.57258122313647,0.3602651000881621
-0.2,-0.0153846153846153,1.290973602422944,1.290973602422944,0.0100290164536534,-22.254384707090196,49.8553374909108,-27.60095278406142,0.2568704648883306
