slopeH,NADPH_flux,NAD_flux,Fd_flux,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,FeS_H1_pot,S_FAD_mid_pot
-0.026622662266226615,2.1028276094625653e-05,3.6637388234339596e-08,-2.091008452365095e-05,-4.1974998006510944e-05,7.738564559927921e-08,1.2386674314388384e-09,7.614697816784037e-08,0.013377337733773385,-0.01324532453245323
-0.026602660266026618,2.0721245618915418e-05,3.596102260416956e-08,-2.0564663721689413e-05,-4.1321870363209e-05,7.610310542909239e-08,1.216948135633182e-09,7.488615729345921e-08,0.013397339733973383,-0.013205320532053234
-0.026582658265826592,2.10123765782555e-05,3.710466955908487e-08,-2.130291995716682e-05,-4.2352401204981405e-05,7.867452054385654e-08,1.2568373181025925e-09,7.741768322575395e-08,0.013417341734173409,-0.013165316531653183
-0.026562656265626566,2.0776150805090765e-05,3.600206355258706e-08,-2.0667769729643126e-05,-4.147992259828648e-05,7.648404499741286e-08,1.220650291801452e-09,7.52633947056114e-08,0.013437343734373434,-0.013125312531253132
-0.02654265426542654,2.093046659012998e-05,3.6793210256291786e-08,-2.1174467839113476e-05,-4.214172763949975e-05,7.831466240616964e-08,1.2486445201135212e-09,7.706601788605612e-08,0.01345734573457346,-0.01308530853085308
-0.026522652265226515,2.0739431533911556e-05,3.63791059498908e-08,-2.0966075572781406e-05,-4.1741886212642854e-05,7.758274145678578e-08,1.2357660203890526e-09,7.634697543639673e-08,0.013477347734773486,-0.01304530453045303
-0.026502650265026517,2.0819983973296985e-05,3.578824703254213e-08,-2.066619496776667e-05,-4.15219671880962e-05,7.646938860914144e-08,1.216841968868851e-09,7.525254664027259e-08,0.013497349734973484,-0.013005300530053034
-0.02648264826482649,2.054244468752131e-05,3.574469076284004e-08,-2.068041438985091e-05,-4.125860376813506e-05,7.652403468470865e-08,1.2165214964399262e-09,7.530751318826872e-08,0.01351735173517351,-0.012965296529652982
-0.026462646264626466,2.0841770790980263e-05,3.628608169492509e-08,-2.103882638460064e-05,-4.191688325727583e-05,7.78321661414798e-08,1.2361078666352636e-09,7.659605827484454e-08,0.013537353735373535,-0.012925292529252931
-0.02644264426442644,2.085446094213239e-05,3.630748324212618e-08,-2.108636168007827e-05,-4.197713010545279e-05,7.802782500897573e-08,1.2380043371890649e-09,7.678982067178667e-08,0.01355735573557356,-0.01288528852885288
