slopeL,slopeH,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,dG
0.1,-0.2,1.4431901638023714,13961818.334129917,9.286807767239225e-09,2.990444514239243e-08,3.2432655672209876e-08,0.0999999999999999,0.19999999999999998
0.101010101010101,-0.2,0.2443421050540027,1.8515664415948696,-0.2700416484357077,0.0883640901220736,0.1816774999019941,0.0999999999999999,0.19584644337060206
0.102020202020202,-0.2,0.2479808100935392,0.9354163928806478,-0.5345212912007327,0.1735329418991718,0.3609883960552942,0.0999999999999999,0.19159503113358023
0.103030303030303,-0.2,0.2518019358016399,0.6300628337248858,-0.7935716434363513,0.2554897135483038,0.5380819348804948,0.0999999999999999,0.1872358750168516
0.104040404040404,-0.2,0.2558039058840821,0.4774214465184944,-1.0472927195089312,0.3342113335186845,0.7130813647250029,0.0999999999999999,0.18275859291282454
0.105050505050505,-0.2,0.259984815370002,0.3858303758305318,-1.2959062524221563,0.4097175841474083,0.8861886868674951,0.0999999999999999,0.1781522657952878
0.106060606060606,-0.2,0.2643426094409076,0.3247848666223314,-1.5394805876302513,0.481982974213107,1.057497629913236,0.0999999999999999,0.17340538198307856
0.107070707070707,-0.2,0.2688751608386089,0.2811708530343356,-1.7782782169212084,0.5510467083259378,1.2272314859463125,0.0999999999999999,0.16850577559409982
0.108080808080808,-0.2,0.2735803252899793,0.2484485909677473,-2.01248879135278,0.6169274079675766,1.3955613467580434,0.0999999999999999,0.16344054985237944
0.1090909090909091,-0.2,0.2784557357488629,0.2229893830662665,-2.242259186513479,0.6796334135574966,1.5626258386514031,0.0999999999999999,0.1581960240361734
0.1101010101010101,-0.2,0.2834989977947365,0.202603941711781,-2.467869087783072,0.739215453869317,1.7286535863973285,0.0999999999999999,0.15275762365099677
0.1111111111111111,-0.2,0.2887077123160729,0.185909389238959,-2.689482248339047,0.7956908927860802,1.893791332340211,0.0999999999999999,0.14710979827552617
0.1121212121212121,-0.2,0.2940793383031916,0.1719799029681123,-2.9073164278652683,0.8490948786952082,2.0582215821754524,0.0999999999999999,0.14123591835027222
0.1131313131313131,-0.2,0.2996113904632367,0.1601759494587825,-3.1215672495803943,0.8994569968286505,2.2221102777120443,0.0999999999999999,0.13511813022339586
0.1141414141414141,-0.2,0.3053013185674979,0.1500318033835359,-3.3326267138235863,0.9468638209645484,2.3857629477927276,0.0999999999999999,0.12873724575597428
0.1151515151515151,-0.2,0.3111465967764734,0.141221202187929,-3.540544846460122,0.9913034575879074,2.5492413942910197,0.0999999999999999,0.1220725615051238
0.1161616161616161,-0.2,0.3171447304856898,0.1334904325826544,-3.7455868038843647,1.0328261028595662,2.712760660176837,0.0999999999999999,0.11510168767670725
0.1171717171717171,-0.2,0.323293193285391,0.1266499744905,-3.94788862645558,1.0714459311831313,2.876442792675796,0.0999999999999999,0.10780036461212611
0.1181818181818182,-0.2,0.3295895406884067,0.1205436766260565,-4.147874125580941,1.1072542842191204,3.0406198864970655,0.0999999999999999,0.10014218283147341
0.1191919191919192,-0.2,0.3360313410276723,0.1150603642055248,-4.345545074359848,1.1402274078578465,3.205317685146671,0.0999999999999999,0.0920983698973955
0.1202020202020202,-0.2,0.3426161973220186,0.1100967145587932,-4.541461576187714,1.1704879945517064,3.37097360283072,0.0999999999999999,0.08363746208102663
0.1212121212121212,-0.2,0.3493417535938587,0.1055849236203172,-4.7355245658247895,1.1979839025706802,3.537540671119885,0.0999999999999999,0.0747249585781869
0.1222222222222222,-0.2,0.356205641499916,0.1014593973799675,-4.928079739003692,1.222777687253359,3.705302040716518,0.0999999999999999,0.0653229508395583
0.1232323232323232,-0.2,0.3632055941198475,0.0976710310628214,-5.119225145646354,1.2448668836816132,3.874358298454542,0.0999999999999999,0.055389607535658913
0.1242424242424242,-0.2,0.3703392848925043,0.0941728713605371,-5.309384669212605,1.2643268581452247,4.045057822591573,0.0999999999999999,0.04487870808303601
0.1252525252525252,-0.2,0.3776044056447427,0.090933524834158,-5.498522151284078,1.2811191674079438,4.2174029707905625,0.0999999999999999,0.033739003007124735
0.1262626262626262,-0.2,0.3849986481300494,0.0879196351130507,-5.687011754510451,1.2953013705655607,4.391710421702346,0.0999999999999999,0.021913491207857183
0.1272727272727273,-0.2,0.3925196785178704,0.0851045584915001,-5.875125942042601,1.3069022299082818,4.568223726716514,0.0999999999999999,0.00933857641625574
0.1282828282828282,-0.2,0.4001650868337202,0.0824712462729578,-6.062719065778182,1.3158559362524578,4.746863198457643,0.0999999999999999,-0.0040568621917836944
0.1292929292929293,-0.2,0.4079324046795503,0.0799945129477318,-6.25042870400425,1.322267132840235,4.9281615738806295,0.0999999999999999,-0.01835268372394616
0.1303030303030303,-0.2,0.4158191019005277,0.07766065383557,-6.438266654065146,1.3260994237481611,5.112167283820348,0.0999999999999999,-0.033638831812339176
0.1313131313131313,-0.2,0.4238225346274011,0.0754575414056973,-6.6262429223531,1.327317379609852,5.298925551286647,0.0999999999999999,-0.05001699541479265
0.1323232323232323,-0.2,0.4319399216725947,0.0733671333048793,-6.815040680395882,1.326018522555593,5.489022210267571,0.0999999999999999,-0.06760250646864152
0.1333333333333333,-0.2,0.4401683854101488,0.071384393907343,-7.004332059427838,1.3220953589937814,5.6822367343902656,0.0999999999999999,-0.08652682252889288
0.1343434343434343,-0.2,0.4485048566430715,0.0694989173954921,-7.194356661258766,1.3155541298021234,5.878802551182666,0.0999999999999999,-0.10694026929157852
0.1353535353535353,-0.2,0.4569460994028811,0.0676987674050861,-7.385658840670942,1.306451515113622,6.079207325914773,0.0999999999999999,-0.12901561004276096
