alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L2,potential_H2,slopeL_eff,slopeH_eff
0.775510204,0.073713703,0.091010144,0.013962361,35.81056313,20.20983066,15.60073258,-0.376469217,-0.05,0.05,0.163234609,-0.163234609
0.795918367,0.075284761,0.090986463,0.014048123,35.59194376,20.0858559,15.50608782,-0.377257833,-0.05,0.05,0.163628916,-0.163628916
0.816326531,0.076854306,0.090977504,0.014084537,35.4999251,20.03370147,15.46622361,-0.377586429,-0.05,0.05,0.163793215,-0.163793215
0.836734694,0.078421701,0.090955638,0.014185271,35.24782832,19.89089057,15.35693784,-0.378487676,-0.05,0.05,0.164243838,-0.164243838
0.857142857,0.079987597,0.090946087,0.014236658,35.12060158,19.81885733,15.30174427,-0.378942489,-0.05,0.05,0.164471244,-0.164471244
0.87755102,0.081551814,0.090934778,0.014307238,34.94734669,19.72080864,15.22653805,-0.3795543,-0.05,0.05,0.16477715,-0.16477715
0.897959184,0.083114365,0.090920459,0.014420735,34.67229708,19.56524695,15.10705017,-0.380519757,-0.05,0.05,0.165259878,-0.165259878
0.918367347,0.084675148,0.090914551,0.01448186,34.52595109,19.48252108,15.04343009,-0.381035118,-0.05,0.05,0.165517559,-0.165517559
0.93877551,0.086234415,0.090909087,0.014556111,34.34983402,19.38300786,14.96682611,-0.38164617,-0.05,0.05,0.165823085,-0.165823085
0.959183673,0.087792025,0.09090522,0.014631955,34.17178399,19.2824439,14.88934003,-0.382265956,-0.05,0.05,0.166132978,-0.166132978
0.979591837,0.089348006,0.090903241,0.01469669,34.02126555,19.19746182,14.8238037,-0.3827915,-0.05,0.05,0.16639575,-0.16639575
1,0.090902431,0.090902431,0.014781819,33.82533571,19.08688357,14.73845227,-0.38346899,-0.05,0.05,0.166734495,-0.166734495
