pH1,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux
-0.11200600060006002,-0.009766451516725283,0.005094393274248432,0.0046719158521568716,0.030588045874681058,51.19604024593865,9.381430780697411e-06,8.982080954308152e-06,3.993498263892589e-07
-0.11196039603960398,-0.009738884692069405,0.005080128767943393,0.004658876582069205,0.030585667543897268,51.34026313114505,9.344302064921936e-06,8.945976677486185e-06,3.9832538743575095e-07
-0.11191479147914793,-0.009733115805616421,0.005076955064041044,0.0046562535279841555,0.030563790894684417,51.37076623058597,9.328122653949012e-06,8.929930990720777e-06,3.9819166322823535e-07
-0.11186918691869188,-0.009738231696488242,0.005079348161537212,0.00465883637677833,0.030533955825765725,51.344148119664304,9.322385668463589e-06,8.92388264117758e-06,3.985030272860089e-07
-0.11182358235823583,-0.00972316322187794,0.005071441112001196,0.004651767647803284,0.030520309840902378,51.423473794595395,9.297357359513386e-06,8.89936870391921e-06,3.979886555941761e-07
-0.11177797779777979,-0.009721075522051592,0.005070157107923023,0.004650908601193882,0.030495952996068228,51.434663914325384,9.284777732618442e-06,8.886772052025126e-06,3.980056805933166e-07
-0.11173237323732374,-0.009714725360225884,0.005066700823078918,0.004648008313202334,0.03047541769941812,51.46830187876913,9.268140364573131e-06,8.87029270999849e-06,3.978476545746408e-07
-0.11168676867686769,-0.009698735105430956,0.005058335460375929,0.004640494495158798,0.030463579463004858,51.552862271993654,9.242340536218411e-06,8.845046074325428e-06,3.972944618929825e-07
-0.11164116411641165,-0.009698870167198947,0.0050581683659842724,0.004640697725448728,0.030436155530917556,51.55240728438105,9.231949715614994e-06,8.834547366959255e-06,3.9740234865573844e-07
-0.11159555955595563,-0.009689190698040306,0.0050530088360574155,0.004636200154354064,0.030418252128457453,51.60384841251532,9.21222531568931e-06,8.815117996197837e-06,3.971073194914722e-07
-0.11154995499549958,-0.009689317474865788,0.0050528656113471015,0.004636398415547749,0.03039293340119251,51.60336425600321,9.201857246328579e-06,8.804642877826852e-06,3.972143685017262e-07
-0.11150435043504353,-0.009673984491627152,0.005044827681551567,0.004629201773817426,0.030379612430615998,51.68489141777024,9.176839607010756e-06,8.780151887207232e-06,3.966877198035234e-07
-0.11145874587458748,-0.009666941163871456,0.005041016201580817,0.004625970033748983,0.030359340822997783,51.72254862409968,9.159719838251963e-06,8.763219132220421e-06,3.96500706031542e-07
-0.11141314131413144,-0.009664544670769715,0.0050395795265600896,0.004624964287396116,0.030335339861738572,51.735497035476456,9.147034552138676e-06,8.750530034965736e-06,3.965045171729401e-07
-0.11136753675367539,-0.009646727061394245,0.005030276600756167,0.004616574507032123,0.03032443720568601,51.830717518085436,9.119780146484977e-06,8.723905076558153e-06,3.9587506992682427e-07
-0.11132193219321934,-0.009646904005080614,0.005030145256249341,0.004616788565519503,0.030298562074461965,51.83001997707227,9.109555536476449e-06,8.713572221523482e-06,3.9598331495296663e-07
-0.1112763276327633,-0.009644984922303479,0.005028955093813181,0.004616004275219021,0.030274834749433457,51.84048149113435,9.097371863711188e-06,8.701366156409097e-06,3.9600570730209065e-07
-0.11123072307230725,-0.009633966382665449,0.0050231301774701365,0.004610871904154656,0.030258629745594064,51.899607467872,9.076650302604249e-06,8.680995121961316e-06,3.9565518064293265e-07
-0.1111851185118512,-0.009628216364106379,0.0050199604882052995,0.004608251215114878,0.03023638105844495,51.93071095524523,9.060904477429036e-06,8.665384324876673e-06,3.95520152552363e-07
-0.11113951395139515,-0.009626177720988949,0.0050187015250884315,0.004607406181525553,0.030212379113202202,51.941885225026404,9.048670270374148e-06,8.653132959573086e-06,3.955373108010618e-07
-0.1110939093909391,-0.009622448970347364,0.005016594591033652,0.004605756104572922,0.030190514800889377,51.962089362203365,9.034871787517847e-06,8.639386591383046e-06,3.95485196134801e-07
-0.11104830483048306,-0.009599225511124132,0.005004555037025682,0.004594788896497892,0.030184563164194655,52.087214252246596,9.002837605365375e-06,8.608204824136297e-06,3.946327812290773e-07
-0.11100270027002701,-0.009600198547488503,0.005004832402981663,0.0045953791656558884,0.030158455515900292,52.08222084590366,8.99349037485548e-06,8.598717367922687e-06,3.9477300693279305e-07
-0.11095709570957096,-0.009600605896537218,0.0050048175393087035,0.004595702299740045,0.030132282243790227,52.08027975915354,8.983631038404296e-06,8.588740700717856e-06,3.9489033768643996e-07
-0.11091149114911492,-0.009579606555348619,0.004993912025696545,0.004585800181976074,0.03012427078086336,52.19392256942176,8.95381096144906e-06,8.559682522288389e-06,3.941284391606708e-07
-0.1108658865886589,-0.009580901331290193,0.004994348637097801,0.004586542238014024,0.030097655776542755,52.18718527100491,8.94482081827903e-06,8.55053894356086e-06,3.942818747181703e-07
-0.11082028202820285,-0.009579095366845536,0.00499319623324368,0.0045858124593256555,0.03007213359620463,52.19723188154257,8.93297004338637e-06,8.538661343257193e-06,3.943087001291763e-07
-0.1107746774677468,-0.009565446991075532,0.004986043426441711,0.0045794202185540644,0.030058817762995883,52.27142706497731,8.910110068220993e-06,8.516262102057119e-06,3.9384796616387385e-07
-0.11072907290729075,-0.009564620587866557,0.004985395595525688,0.004579143971783051,0.03003394448219908,52.27621034525424,8.899190374626645e-06,8.505276637793669e-06,3.9391373683297687e-07
-0.1106834683468347,-0.009546515570121983,0.004975976291682116,0.00457062178642742,0.030024454816247246,52.374904293969045,8.872263298624132e-06,8.478994023803232e-06,3.9326927482090054e-07
-0.11063786378637866,-0.009545148603237408,0.00497506681056592,0.004570098880878781,0.030000116436392048,52.382584412377376,8.860910810946775e-06,8.467597298382143e-06,3.933135125646313e-07
-0.11059225922592261,-0.009542417278908033,0.00497344633066632,0.004568908953767492,0.029976799111456735,52.397794979270884,8.848281220690773e-06,8.454980887832247e-06,3.9330033285852554e-07
-0.11054665466546656,-0.009529931622935806,0.0049668873461499174,0.004563078336930593,0.029962029218732047,52.46617985105024,8.826685623983684e-06,8.433798451952134e-06,3.9288717203155e-07
-0.11050105010501052,-0.009533235426374631,0.004968343781428075,0.0045647777732751305,0.029933622701866166,52.44840432770861,8.819686926137698e-06,8.426564249910522e-06,3.931226762271761e-07
-0.11045544554455447,-0.009516348520548945,0.004959536386181185,0.004556831887055246,0.029922725284172832,52.54110649755074,8.794075713774747e-06,8.401548465203699e-06,3.9252724857104823e-07
