slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
0.09999999999999998,-0.1,2.0361443648748034,2.0361443648748034,0.014495933367416976,12.791163355368038,21.701268924344696,-34.492432278766515,0.11913005615532013,22.370151196236115,0.008022616585734022
0.11666666666666664,-0.1,1.9759335482643152,1.9759335482643152,0.020160350016206335,6.558615056134712,18.242541650000582,-24.801156705890207,0.13381197125580171,16.51405813347641,0.004052969436682653
0.1333333333333333,-0.1,1.9197530480034821,1.9197530480034821,0.03516347131152711,2.047396845918728,12.171904643918495,-14.219301489390972,0.12959590808405408,9.657814794672456,0.0006699045575884582
0.14999999999999997,-0.1,1.8895347029937404,1.8895347029937404,0.07757846424573059,0.40296694927065346,6.042120677613941,-6.445087626295074,0.10224109652622058,4.477531435562597,3.668263566119069e-05
0.16666666666666663,-0.1,1.8775081110693819,1.8775081110693819,0.19739679523340825,0.06052475581970668,2.472444431366416,-2.5329691874342366,0.07777264665312295,1.7593667261824149,2.9924972656118698e-06
0.1833333333333333,-0.1,1.8731351144446835,1.8731351144446835,0.500358861869176,0.008484874709705534,0.9907979160586287,-0.9992827912707831,0.07988616787406096,0.6371654981471163,9.517785499357296e-07
0.2,-0.1,1.7759888387508924,1.7759888387508924,38.12028117271974,-0.0009338923805476892,0.01311637817962108,-0.012182484530725901,0.3981583098735796,0.0027827164493758865,7.959015177376398e-05
-0.2,-0.08333333333333334,2.100816126265763,2.100816126265763,0.010144031027605898,23.19419135718237,26.095878698552173,-49.290070056081625,0.16191314087227834,28.29687452244288,0.07213174545420092
-0.18333333333333335,-0.08333333333333334,2.100792061373735,2.100792061373735,0.010144057348918267,23.192402014202063,26.097540146454232,-49.28994216015122,0.16215588479321003,28.278287670970776,0.07548674510141694
-0.16666666666666669,-0.08333333333333334,2.10076815847151,2.10076815847151,0.010144245629443771,23.190254003800334,26.098773319343906,-49.28902732268278,0.1623776079646809,28.257424534611744,0.07826319099465155
-0.15000000000000002,-0.08333333333333334,2.1007416961344796,2.1007416961344796,0.010144686639770306,23.187344423656775,26.099540204164345,-49.28688462786894,0.16260392232441157,28.233018944035447,0.0806403885657231
-0.13333333333333336,-0.08333333333333334,2.100708181662699,2.100708181662699,0.010145570901613844,23.18291538849301,26.099673521737145,-49.282588909475514,0.16283677683161812,28.203460507076542,0.08276981164125745
-0.11666666666666668,-0.08333333333333334,2.100659845442822,2.100659845442822,0.010147226426735363,23.175660371248544,26.098888059422784,-49.274548430442756,0.16311397160462704,28.16690208719764,0.08490123594269004
-0.1,-0.08333333333333334,2.1005830624804793,2.1005830624804793,0.010150284718070378,23.163162180813245,26.09653977757339,-49.259701957418514,0.16346404134101938,28.121098668596904,0.08724533725960963
-0.08333333333333334,-0.08333333333333334,2.100454321952931,2.100454321952931,0.010155846108929074,23.141234048838196,26.091493055380646,-49.23272710552886,0.1639421022231051,28.063595943358408,0.09005252218282828
-0.06666666666666668,-0.08333333333333334,2.100235264334257,2.100235264334257,0.010165782469897622,23.10289735329842,26.081708109339843,-49.18460546245748,0.1645784082621869,27.991701522121602,0.09346035076666133
-0.05000000000000002,-0.08333333333333334,2.099870671326611,2.099870671326611,0.010182903437951973,23.03792548699903,26.063983712744033,-49.10190919972946,0.16546634777610852,27.902566314285146,0.09773665932604023
-0.033333333333333354,-0.08333333333333334,2.099299867562478,2.099299867562478,0.010210702633959692,22.934379497200915,26.03384707077991,-48.96822656836928,0.16671569682582324,27.792276932856392,0.10317992383351525
-0.01666666666666669,-0.08333333333333334,2.0984911847759693,2.0984911847759693,0.010252147996273811,22.783999648397383,25.986267829670737,-48.77026747748017,0.16846182557723122,27.654131253396855,0.11020920444418893
0.0,-0.08333333333333334,2.0974703739356344,2.0974703739356344,0.010309173971484063,22.585475631254823,25.915015424748304,-48.500491056246986,0.17088960378564655,27.47661836848086,0.11946839779241605
0.016666666666666663,-0.08333333333333334,2.096251131122876,2.096251131122876,0.010386768329345989,22.330662084298723,25.807506029886206,-48.138168113963694,0.1743254645100873,27.2442848193117,0.1319313349333527
