slopeL,slopeH,F,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,potential_H1_ramp,dG
-0.2,-0.2,2.3338553488996494,2.3338553488996494,0.012241252,31.36164375130106,9.483851316644852,-40.84549507,0.05,0.1,-2.3841081037392375
-0.2,-0.133333333,1.9760485530861385,1.9760485530861385,0.011775256,11.238344745961456,31.22357761675873,-42.46192239,0.05,0.166666667,-1.0639496666527475
-0.2,-0.05,1.4358665403453497,1.4358665403453497,0.010050826,-16.49892427,49.747153954280776,-33.24822971,0.2709920369376751,0.25,-1.0015099228892683
-0.2,-0.15,2.0929635992850693,2.0929635992850693,0.011596365,19.792731023434143,23.32422822,-43.11695923,0.05,0.15,-1.2940137258269375
-0.2,-0.166666667,2.158315582611802,2.158315582611802,0.01155975,23.834370775211283,19.419158760330312,-43.25352949,0.05,0.133333333,-1.4182424701206924
-0.2,0.2,1.4293567592313472,1.4293567592313472,0.0099996,-16.8380423,50.00200133715558,-33.16395908,0.4679473568484981,0.5,-2.3285536872600945
-0.2,-0.033333333,1.4311992834038705,1.4311992834038705,0.010014237,-16.74144856,49.92891392129083,-33.18746536,0.2912381633020099,0.266666667,-1.08704803139773
-0.2,0.1833333333333333,1.4293568540837225,1.4293568540837225,0.009999796,-16.83770778,50.001018981248414,-33.16331124,0.4577733187906753,0.483333333,-2.2397787008766885
-0.2,0.1666666666666666,1.429356992024035,1.429356992024035,0.00999975,-16.83777957,50.001248122677794,-33.16346863,0.4487637796313759,0.466666667,-2.15100375490984
-0.2,0.1499999999999999,1.4293571955784312,1.4293571955784312,0.009999785,-16.83771324,50.001074822693894,-33.16336165,0.4386045579486922,0.45,-2.0622288680369056
-0.2,-0.016666667,1.4298930740317697,1.4298930740317697,0.010003938,-16.80976491,49.980318948004346,-33.17055405,0.3101140513077164,0.283333333,-1.174883237398645
-0.2,0.1333333333333333,1.4293574999832923,1.4293574999832923,0.009999616,-16.8379858,50.00191959168739,-33.16393386,0.4278376142793991,0.433333333,-1.973454070677657
-0.2,0.1166666666666666,1.4293579640644938,1.4293579640644938,0.009999645,-16.8379188,50.001774637101526,-33.16385586,0.4178761684217666,0.416666667,-1.884679411031353
-0.2,0.1,1.4293586953145536,1.4293586953145536,0.009999608,-16.83795341,50.001962356280465,-33.16400899,0.4066422183693451,0.4,-1.795904978777325
-0.2,0.083333333,1.4293599140399318,1.4293599140399318,0.009999615,-16.83789371,50.00192667169376,-33.16403301,0.3954357389802904,0.383333333,-1.7071309513784136
-0.2,0.0,1.429521665026501,1.429521665026501,0.010000862,-16.82946521,49.99569015591229,-33.166225,0.3275588219551507,0.3,-1.2633816814323522
-0.2,-0.183333333,2.2134229347760903,2.2134229347760903,0.01169419,26.63695165,16.11932238868559,-42.75627402,0.05,0.116666667,-1.5465743540396657
-0.2,0.066666667,1.429362147819851,1.429362147819851,0.009999769,-16.83754713,50.00115709345165,-33.16360997,0.3838781812895069,0.366666667,-1.6183577655585817
-0.2,0.05,1.429366861688697,1.429366861688697,0.009999621,-16.83761071,50.00189360121871,-33.16428293,0.3714059486039942,0.35,-1.5295865935387465
-0.2,0.016666667,1.4294126142224284,1.4294126142224284,0.010000044,-16.83510822,49.99977834229143,-33.16467016,0.3434410102627649,0.316666667,-1.3520728902603154
-0.2,-0.116666667,1.8757703302262383,1.8757703302262383,0.01201734,0.7437286990805632,40.86281665085741,-41.60654539,0.05,0.183333333,-0.9139538093027965
-0.2,-0.1,1.7015049507884177,1.7015049507884177,0.01188316,-5.363735512,42.076348602043296,-36.71261308,0.127613235,0.2,-0.898018992612247
-0.2,0.033333333,1.4293786139554214,1.4293786139554214,0.009999889,-16.83669984,50.000554290966285,-33.16385445,0.3578698928984852,0.333333333,-1.4408210500767973
-0.2,-0.083333333,1.511560820326328,1.511560820326328,0.010639181,-12.82081925,46.99609952285763,-34.1752802,0.2220859562660948,0.216666667,-0.8726616437234338
-0.2,-0.066666667,1.452601560827514,1.452601560827514,0.010181836,-15.64498921,49.10705652403294,-33.4620673,0.2488423382259358,0.233333333,-0.9238891575190029
-0.183333333,0.066666667,1.4293157515233597,1.4293157515233597,0.01000004,-16.8389063,49.99980194973015,-33.16089582,0.3839978416943361,0.366666667,-1.596209265762167
-0.183333333,-0.166666667,2.1583471321185184,2.1583471321185184,0.011559881,23.83593888494329,19.417100176278804,-43.25303905,0.05,0.133333333,-1.3441305721629986
-0.183333333,0.2,1.4293103556969828,1.4293103556969828,0.010000031,-16.83913258,49.99984694568755,-33.16071453,0.4679473568484981,0.5,-2.3063956379330808
-0.183333333,-0.083333333,1.5115128996835356,1.5115128996835356,0.010639592,-12.82206534,46.99428237,-34.17221708,0.2220859562660948,0.216666667,-0.848392194709006
-0.183333333,-0.033333333,1.4311528961927176,1.4311528961927176,0.010014656,-16.74256094,49.92682755,-33.18426673,0.2912381633020099,0.266666667,-1.064858892953416
-0.183333333,0.1833333333333333,1.4293104509005212,1.4293104509005212,0.010000143,-16.83894029,49.999287079164525,-33.16034694,0.4585152008201869,0.483333333,-2.2176218598454973
-0.183333333,0.033333333,1.429332223763223,1.429332223763223,0.010000412,-16.8376348,49.997940334044266,-33.16030564,0.3580536327635206,0.333333333,-1.4186745458217151
-0.183333333,0.1666666666666666,1.4293105892474112,1.4293105892474112,0.010000087,-16.83902811,49.99956382680437,-33.16053592,0.4487637796313759,0.466666667,-2.128848121353332
-0.183333333,-0.183333333,2.2135837734196104,2.2135837734196104,0.011694856,26.644152891561845,16.109688630093487,-42.75384145,0.05,0.116666667,-1.45901928629211
