slopesL,slopeH,F_t,F_slip_best,F_yield_best,fluxD,fluxHR,fluxLR,potential_H1
0.12083333333333333,-0.1,0.01588161655935825,0.269503348394885,0.008037645471661546,-62.20727224582612,42.958329500427666,19.248942727711356,0.2940353969761184
0.125,-0.1,0.015465006193131379,0.2579623905928745,0.007965087087984685,-62.77395271301151,42.837381939703846,19.936570719028502,0.289804763056248
0.12916666666666668,-0.1,0.01509834682187796,0.24794397990141628,0.007896935489521105,-63.31570023861126,42.758540339550315,20.557159833676312,0.28356279378882576
0.13333333333333333,-0.1,0.014776642499017868,0.23912105659976376,0.007838155464974182,-63.79051836457894,42.68122286857816,21.109295462099844,0.27772512618642525
0.1375,-0.1,0.01449476195565795,0.23141604031552396,0.007785856439373434,-64.21901097358199,42.61803800712605,21.60097293592453,0.2713471890737298
0.14166666666666666,-0.1,0.014247853549109641,0.22466455921746728,0.007740120384108889,-64.59847849477194,42.56147194719218,22.03700650111949,0.2648544762873388
0.14583333333333334,-0.1,0.014030941317311757,0.21879500713520958,0.007698032065211824,-64.9516650458795,42.524597685642,22.427067305138124,0.25672332186221
0.15000000000000002,-0.1,0.013839649942262739,0.21349458864465373,0.007664754930848586,-65.23365779174414,42.46472829849645,22.76892943673964,0.25189164377995943
0.15416666666666667,-0.1,0.01366966423783936,0.2089122896402573,0.007631232524362519,-65.52021560054447,42.43897000928557,23.081245514175805,0.24303360759804188
0.15833333333333333,-0.1,0.013517407529134322,0.20470730290677966,0.007604317981372096,-65.75211630829001,42.39367181711637,23.35844439743765,0.2373790502937551
0.1625,-0.1,0.013379025402920696,0.2009433455252616,0.007578067048621493,-65.9798860269756,42.36491957723653,23.614966404127046,0.2293855345662243
0.16666666666666669,-0.1,0.013251235226139668,0.19739642650072284,0.007556023124863901,-66.17237558606567,42.32255123359543,23.849824311313245,0.2244146772381348
0.17083333333333334,-0.1,0.01313095337574604,0.19409611802999088,0.007534092613243622,-66.36499257192254,42.290871226678874,24.074121261865486,0.21751572020213578
0.175,-0.1,0.013015038282349263,0.1908279917011219,0.0075156685889851615,-66.52768072901858,42.24080394156835,24.286876693481638,0.21485733471509383
0.17916666666666667,-0.1,0.012900448554626201,0.18754451558404664,0.007499085656809075,-66.67479517334343,42.17940876935143,24.495386362626256,0.21483360975586188
0.18333333333333335,-0.1,0.012784093950548681,0.18423022408446676,0.007481636317540907,-66.8303000936099,42.12116265633349,24.709137359082455,0.21387070096149036
0.1875,-0.1,0.012662965735576483,0.1807190957956269,0.007465353465678018,-66.97606514857755,42.04674975926136,24.9293153693814,0.2158056490413714
0.19166666666666665,-0.1,0.012533767801539204,0.17705144654869653,0.007445592170183823,-67.15382589338793,41.9841876899274,25.169638131015823,0.2140218355571855
0.19583333333333333,-0.1,0.012393101388632637,0.17286363164513702,0.007430095298225286,-67.29388791668647,41.872480837996285,25.421407022413227,0.22180169921737808
0.2,-0.1,0.012237680620252992,0.16838533833716482,0.007408371618699018,-67.49121478639539,41.78154433594838,25.70967041398796,0.22294047233240555
