acq_index,H1,F_flow
0,0.6111445282707113,-0.002930299496396449
1,0.29785092911349614,-0.39257268164435133
2,0.2785242834002749,-0.4513506031180453
3,0.6515352616084568,-0.0012345166287881515
4,0.5588337234754214,-0.009067539893735654
5,0.37514027844737935,-0.20193048741483355
6,0.4964632122727544,-0.03179465305410267
7,0.45316647045618325,-0.06867266802505789
8,0.5799664061477243,-0.005772174752871839
9,0.38820086836730544,-0.17402598327580499
10,0.5426695983875003,-0.012713583984388488
11,0.5163169316470035,-0.021662663519923853
12,0.5811436700300978,-0.0056272131863408514
13,0.36055026025495357,-0.23487069903489455
14,0.5323724316289054,-0.01570223427387818
