eval_index,H1,F_flow
0,0.5283047504411991,-0.017051029987405153
1,0.3568787119424452,-0.24338939887375177
2,0.31665302402633455,-0.3417808710170612
3,0.35369489427316203,-0.2508484745576727
4,0.5962724511508395,-0.004052451511560307
5,0.275,-0.46294992204491703
6,0.27524331709801175,-0.4621396985696681
7,0.6734443070970489,-0.0007986698635397138
8,0.41534003559739885,-0.1225093631660854
9,0.3432791856604488,-0.2756298422930539
10,0.4355981138543506,-0.09095962264771917
11,0.6707932790597261,-0.0008400941345432233
12,0.6411992189953515,-0.0015325087183363229
13,0.30002231840008986,-0.38642387827595304
14,0.6654683281912737,-0.0009317452709257656
15,0.4007606656944478,-0.14897586229994275
16,0.4038012269716844,-0.1432071733218928
17,0.41136384844081525,-0.12942547502310608
18,0.44853553065982865,-0.07409657554758542
19,0.46784893430235613,-0.053498842763080035
20,0.6111445282707113,-0.002930299496396449
21,0.29785092911349614,-0.39257268164435133
22,0.2785242834002749,-0.4513506031180453
23,0.6515352616084568,-0.0012345166287881515
24,0.5588337234754214,-0.009067539893735654
25,0.37514027844737935,-0.20193048741483355
26,0.4964632122727544,-0.03179465305410267
27,0.45316647045618325,-0.06867266802505789
28,0.5799664061477243,-0.005772174752871839
29,0.38820086836730544,-0.17402598327580499
30,0.5426695983875003,-0.012713583984388488
31,0.5163169316470035,-0.021662663519923853
32,0.5811436700300978,-0.0056272131863408514
33,0.36055026025495357,-0.23487069903489455
34,0.5323724316289054,-0.01570223427387818
