alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L3,potential_H3,dG
0.0,0.061688016885704945,0.027331701856852318,0.061688016885704945,81.0530189415469,50.00169089106201,31.05132801470783,-0.47549753871757805,-0.05,0.42783084121161896,-0.377830841211619
0.02040816326530612,0.060987138647550454,0.027331953951759556,0.06168828832871276,81.05266229577731,50.0015145663429,31.05114768042362,-0.47526571326144,-0.05,0.4270193203477982,-0.3770193203477982
0.04081632653061224,0.06028665209916634,0.027332709312631258,0.06168894753689124,81.05179617952845,50.00111117363734,31.050684931656356,-0.4750308836447751,-0.05,0.4473946119796879,-0.3973946119796879
0.061224489795918366,0.05958528974790883,0.0273309938606677,0.061688830784033255,81.05194956904317,50.00090846371213,31.051041050841395,-0.4757844072778017,-0.05,0.4114625618948382,-0.3614625618948382
0.08163265306122448,0.05888426312235386,0.0273319167900999,0.061688916129665324,81.05183745761701,50.00099925563066,31.050838102188784,-0.4757360513238783,-0.05,0.45,-0.4
0.1020408163265306,0.05818467069977441,0.027334334495179698,0.06169039072302381,81.04990009240004,50.000223115153354,31.0496768228563,-0.47730018638114097,-0.05,0.45,-0.4
0.12244897959183673,0.057482682220325446,0.027330575104536917,0.06168995298066803,81.0504751660456,49.99992631435994,31.05054878508959,-0.4754535375525204,-0.05,0.40040559752314603,-0.35040559752314604
0.14285714285714285,0.05678159390719899,0.027330186316370606,0.061690161839003714,81.05020074189761,49.999689651382134,31.050511062912946,-0.47631302774603695,-0.05,0.3952482977300827,-0.3452482977300827
0.16326530612244897,0.05608057478198601,0.027331734540483266,0.06169010458520605,81.05027593045602,50.000004426961475,31.050271542086094,-0.4766657185838418,-0.05,0.41156968090845714,-0.36156968090845715
0.18367346938775508,0.05537893574651088,0.027332555231279233,0.061689371362438,81.05123936221732,50.00074093009669,31.050498289416076,-0.47494447901626496,-0.05,0.42751237200896586,-0.37751237200896587
0.2040816326530612,0.05467927453186535,0.027332495612617094,0.06169126912654439,81.04874597334347,49.99919248591158,31.04955348060878,-0.47741110197406006,-0.05,0.3923813119269498,-0.3423813119269498
0.22448979591836732,0.053975688741140844,0.027331433473377097,0.06168849947654614,81.0523849014782,50.00125319065273,31.05113159515873,-0.476459142787537,-0.05,0.41241009627970737,-0.3624100962797074
0.24489795918367346,0.0532751041353355,0.02733142269008424,0.06168927109055213,81.05137107655763,50.00062590812607,31.050745084050615,-0.474706247826399,-0.05,0.3930887831838644,-0.34308878318386443
0.26530612244897955,0.05257383811534688,0.02733053463704999,0.061689475482509644,81.05110251545676,50.00030632052827,31.050796147670965,-0.4752599862682143,-0.05,0.3966094147385092,-0.3466094147385092
0.2857142857142857,0.051874068109086124,0.027331049315622486,0.06169127562647158,81.04873741166973,49.99893654341474,31.049800905834502,-0.4764223512697926,-0.05,0.4057428924523736,-0.3557428924523736
0.3061224489795918,0.051172259167619506,0.027332257586625205,0.06168990692394051,81.05053564630231,50.000255284027304,31.05028035722031,-0.4764215593142671,-0.05,0.45,-0.4
0.32653061224489793,0.050470716971443425,0.02733150079019081,0.06168973087750528,81.05076695712728,50.00026678986723,31.050500134820957,-0.4755957322534599,-0.05,0.42310440091889423,-0.37310440091889424
0.3469387755102041,0.04976916035517686,0.027331757056375992,0.06168903085766481,81.05168668425338,50.00087859091523,31.050808063164656,-0.47531272031781563,-0.05,0.42218514072675395,-0.37218514072675396
0.36734693877551017,0.04906640179172169,0.027119948874996032,0.061809503485304326,80.89370923933818,49.866708860370686,31.02700027645678,-0.4759209365576509,-0.05,0.2774234814280137,-0.22742348142801372
0.3877551020408163,0.04832237630476761,0.025318434644379908,0.06289153935634649,79.5019497369813,48.69599261945109,30.80595709241902,-0.4717324924916471,-0.05,0.21673477282880588,-0.16673477282880586
0.4081632653061224,0.04748882741034282,0.02218670475514377,0.06493856717254906,76.99584723234445,46.607510077355464,30.388337231833127,-0.4653084200974637,-0.05,0.18795483410821995,-0.13795483410821993
0.42857142857142855,0.04661432755709174,0.022144291493033298,0.06496685460513557,76.96232224699807,46.579464849906444,30.382857412659142,-0.46372610654642865,-0.05,0.18704748557928647,-0.13704748557928648
0.44897959183673464,0.045609982504765154,0.018412992277383945,0.0677704930604091,73.77842148204603,43.96828626713661,29.810135183717733,-0.4575315745206504,-0.05,0.16802042597269182,-0.11802042597269181
0.4693877551020408,0.04456862018001695,0.01721370687070352,0.06876719733825574,72.70908505567692,43.099991839302575,29.609093207423665,-0.4463326152429179,-0.05,0.15920732358598683,-0.10920732358598681
0.4897959183673469,0.043486712262677474,0.016226441002547894,0.06965657267240187,71.78073526920846,42.35590371588733,29.42483147413092,-0.453565485550333,-0.05,0.159039394633884,-0.10903939463388398
0.5102040816326531,0.042352872397372975,0.013349872011873948,0.07256433113226779,68.90437660377673,40.0816952660211,28.822681328413857,-0.42855771534159504,-0.05,0.13996442087072697,-0.08996442087072695
0.5306122448979591,0.041113095540231334,0.01182938372669129,0.07421642193814616,67.37053433082791,38.8665351048485,28.503999169520604,-0.4335054453044407,-0.05569440862875827,0.13794850042522228,-0.08225409179646402
0.5510204081632653,0.039900671388539484,0.010453394364319902,0.07604051137280897,65.75442363354885,37.63098708860318,28.12343659440957,-0.43847865277648107,-0.05,0.13623682613418242,-0.0862368261341824
0.5714285714285714,0.038564538437364154,0.010400730825557097,0.07611628191977357,65.68896795557448,37.58154920215324,28.10741865027697,-0.4384947351670681,-0.05,0.13609353939476412,-0.08609353939476412
