alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L1,potential_L2,potential_H1,potential_H2,dist_DL1,dist_L1L2,dist_DH1,dist_H1H2
0.0,0.05055662612654414,6.568026960343964e-05,0.05055662612654414,98.89900499407695,50.01625583695081,48.882748374923246,-0.3,-0.05190838072761479,0.05,0.09151886136933808,0.2610458519948967,6.20543013635845,8.755070630302976,5.870845169121538,12.852521335984967
0.02040816326530612,0.0494768401436387,4.957529700454399e-05,0.05050657482794358,98.99701213948958,49.99138440386868,49.005627681530136,-0.30023953463964825,-0.07884866536156457,0.05,0.1227147111730284,0.4,5.0,5.0,10.969833348964077,6.149893007227612
0.04081632653061224,0.048659007465072276,7.045345434731696e-05,0.05072660550808185,98.56760335992156,49.86882253346089,48.69878352658917,-0.3,-0.08251162486602674,0.05,0.05,0.4,5.0,5.9978513949753,7.8666159297717275,19.972186315833703
0.061224489795918366,0.04748286061151476,6.575073644921652e-05,0.050575280820758156,98.86252589354542,49.99811127229822,48.86441423704631,-0.3,-0.06919081185683922,0.05,0.05,0.4,8.228905348615736,5.828322670189137,6.152989039362858,18.001561462326045
0.08163265306122448,0.046485803255832285,8.047279622301832e-05,0.05061072151890866,98.79329680113342,50.023315051811586,48.76998047144817,-0.3,-0.09535345208369823,0.05,0.28697421060891504,0.4,5.820428893304726,5.0,9.037237642402522,5.0
0.1020408163265306,0.045380204256007646,5.3664507583737526e-05,0.050530947409237637,98.94926271182999,49.98718733278351,48.962075763986036,-0.3,-0.06671852769410844,0.05,0.05,0.4,8.142087688025569,6.139395265655772,5.0,14.405519704326375
0.12244897959183673,0.044381139202954716,7.145093832284125e-05,0.050563886402670795,98.88480504235966,50.03344380669638,48.85135929308624,-0.3,-0.09452481957134361,0.05,0.05,0.4,5.048984987004424,5.0,10.97888226483522,9.580149385318995
0.14285714285714285,0.04329700777540881,4.726069572459378e-05,0.05050529895535618,98.9995126511684,49.981003751985575,49.01850957705914,-0.3555764512200169,-0.07510587827219566,0.05,0.05,0.4,5.074110890945342,9.078287534357072,5.0,5.16466828811658
0.16326530612244897,0.04244631148656775,9.128358440820369e-05,0.050710707174794006,98.5985062009407,49.96537236024172,48.63313479402761,-0.3,-0.10022304961605089,0.05,0.31608880555308466,0.4,5.0,5.0,9.8870901826103,12.33767015125599
0.18367346938775508,0.04117475905136454,3.75911036279181e-05,0.05043062183960528,99.14611051609411,50.002891564336274,49.143218701717096,-0.3,-0.08482060061117973,0.05,0.05,0.39809243271756023,6.885824301821672,8.11025447674419,5.700044679929545,14.755797038389433
0.2040816326530612,0.04017981979027332,2.9969696364839636e-05,0.05047465314768575,99.05961917972397,49.91327363061772,49.14634875711618,-0.3,-0.061694057780886116,0.05,0.05,0.4,5.0,5.0,5.0,5.575496485686141
0.22448979591836732,0.03992528188428836,0.0003084547821464276,0.05139331078227681,97.28892583279921,49.85267773342179,47.43624806050355,-0.3,-0.05925623979751294,0.05,0.4,0.4,9.705542912498666,5.0,18.355741674127785,10.294397570211565
0.24489795918367346,0.038521099472445315,0.00019048091349202847,0.05095265143751125,98.13032067124195,50.02282559641908,48.10749410871037,-0.3,-0.06152584769534888,0.05,0.07507959028494536,0.37998283324190557,9.494882159127954,10.188349314734202,5.0,6.173163593600772
0.26530612244897955,0.03740281268744448,8.908013064434766e-06,0.05090616715319282,98.21992738096314,49.31725130079468,48.90267446819204,-0.3279119892681621,-0.058608431112129385,0.04497200831080575,0.09562249147450207,0.052418946224482156,5.4603733637174585,8.11001558958633,5.0,8.91163051893648
0.2857142857142857,0.03670542788082527,0.0003122699720631985,0.0512626910443301,97.53682274750791,49.987172657490724,47.549649701778264,-0.3,-0.115218710779057,0.05,0.39996935384535426,0.4,5.0,5.457605220167942,15.665461504517726,5.0
0.3061224489795918,0.03493759497152847,2.1255871963931312e-05,0.050341862221336346,99.32091950644448,49.98425016525645,49.33666753394995,-0.3,-0.09068510752325855,0.05,0.05,0.4,5.0,12.037614168007309,5.0,19.725192576494692
0.32653061224489793,0.03412921263011813,8.517280539055582e-05,0.05063541375725877,98.74512018797789,50.01695320913572,48.728166298349805,-0.3,-0.05798977661332087,0.05,0.05,0.4,7.7157471993278435,7.84731291842766,7.247290887352239,5.887340576392188
0.3469387755102041,0.033112193774093,7.400593660478969e-05,0.05066373106275861,98.68992748750765,49.94529630489571,48.74463336049197,-0.37382359346808125,-0.066387892852464,0.05,0.05,0.4,5.0,12.860543367748258,5.0,12.621650873619211
0.36734693877551017,0.03201071106472486,6.22453744561867e-05,0.05056143307842925,98.88960204472096,49.99648355884646,48.893118646603384,-0.3,-0.0783400989057321,0.05,0.14984422634525724,0.2890339256590582,6.010287518779137,5.185345256765307,10.681130558391844,5.7726893618309285
0.3877551020408163,0.031143197480123397,0.00012064311178485244,0.05079081524673781,98.44299548674805,49.986074570527485,48.45692106967885,-0.3,-0.04959370342488519,0.05,0.05,0.4,6.665857152494757,5.6719110762122575,11.882858398779808,8.635700961004003
0.4081632653061224,0.03050192856174121,0.0002522397569778867,0.05136378290985385,97.34485503268105,49.765640458597616,47.57921452386037,-0.3,-0.03100980810836303,0.05,0.4,0.4,7.585109589502061,5.0,20.0,11.834257045812635
0.42857142857142855,0.02938375175151596,0.00028599635252760265,0.051207068300757226,97.64277015911776,49.98901532712863,47.65375480804391,-0.3,-0.06677720988541057,0.05,0.05,0.4,9.103978095606124,8.486809245852564,8.013357618494782,17.88833148340682
