alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L2,potential_H2
0.0,5.368442346851458e-07,0.0277770120866663,5.368442346851458e-07,93136.8854679609,57544.57866840587,35592.30679953434,-0.3,0.0,0.2
0.02040816326530612,1.3717898892817672e-05,0.0002474741882169425,8.847976198565072e-06,5651.009776404593,2888.365125387354,2762.6446511333415,-0.3,0.0,0.10284017249329303
0.04081632653061224,1.7409255121977196e-05,0.00015430053866690967,1.1584094120065177e-05,4316.263272776152,2196.043632510853,2120.219640469113,-0.3,0.0,0.09566219480577748
0.061224489795918366,1.9915039756656122e-05,0.00012082677565984427,1.3333839589056896e-05,3749.8576209521852,1904.0749724433044,1845.7826485720361,-0.3,0.0,0.0919414165511626
0.08163265306122448,2.1823920858070953e-05,9.863192186197353e-05,1.499654299105739e-05,3334.101734635653,1690.4647046829486,1643.637029949692,-0.3,0.0,0.08884579546800568
0.1020408163265306,2.3356608121464353e-05,8.372287040932558e-05,1.649680558875285e-05,3030.889812510286,1535.054888827217,1495.834923935996,-0.3,0.0,0.08633964385026369
0.12244897959183673,2.461983550410552e-05,7.418474012907191e-05,1.7703802300621836e-05,2824.2520533066127,1429.3267118198419,1394.9253416149295,-0.3,0.0,0.08448568084485046
0.14285714285714285,2.5679818133327052e-05,6.66508974268454e-05,1.8851304917740664e-05,2652.3362821221235,1341.4796005993267,1310.8566816638195,-0.3,0.0,0.08284100031155059
0.16326530612244897,2.6575281494014054e-05,6.075051877455007e-05,1.9906942512446052e-05,2511.6865620286553,1269.6861286993953,1242.000433370682,-0.3,0.0,0.08141495471280442
0.18367346938775508,2.7333665673002882e-05,5.493084447199951e-05,2.1124300443228638e-05,2366.9422868929396,1195.8756875764084,1171.0665993061994,-0.3,0.0,0.07986315392004761
0.2040816326530612,2.797818851031893e-05,5.0313156706040516e-05,2.2251273588339037e-05,2247.0623894979944,1134.8016359649337,1112.2607536421128,-0.3,0.0,0.07850794330009549
0.22448979591836732,2.8517426870319662e-05,4.7842440014548486e-05,2.2923344118042903e-05,2181.182629466144,1101.2593316047642,1079.9232979006338,-0.3,0.0,0.07772998389211933
0.24489795918367346,2.8966415027919475e-05,4.400685612414224e-05,2.408843413184723e-05,2075.684941790707,1047.5790548023724,1028.1058870885827,-0.3,0.0,0.0764376683655268
0.26530612244897955,2.9335261703729162e-05,4.1032004085738905e-05,2.51114380657812e-05,1991.1245173583447,1004.5809762937351,986.5435411520157,-0.3,0.0,0.0753542585041756
0.2857142857142857,2.9638978086091445e-05,4.00345801316259e-05,2.5480737267877662e-05,1962.2666123951494,989.9126216841978,972.3539907133745,-0.3,0.0,0.07497315430128197
0.3061224489795918,2.9857307307248766e-05,3.56662144406756e-05,2.729455416014869e-05,1831.867254723591,923.6694679823704,908.1977868690155,-0.3,0.0,0.07318282966299691
0.32653061224489793,3.0014858760050044e-05,3.458548156305276e-05,2.7798799219200234e-05,1798.6388406796614,906.7989774650414,891.8398632211683,-0.3,0.0,0.07270583763544163
0.3469387755102041,3.0117673043000008e-05,3.2869501227958606e-05,2.865576431974075e-05,1744.8496379903518,879.4984038489492,865.3512341667738,-0.3,0.0,0.07191687318112304
0.36734693877551017,3.0169141715261903e-05,3.165580865916003e-05,2.930591574783719e-05,1706.1401673765795,859.8578427432149,846.2823246921325,-0.3,0.0,0.07133354890736779
0.3877551020408163,3.0149220088573186e-05,2.8950943884729883e-05,3.0908128351007275e-05,1617.6974365016795,815.0035142401757,802.6939222298388,-0.3,0.0,0.0699489580675032
0.4081632653061224,3.0089702492929787e-05,2.7192800445876725e-05,3.2087565973656037e-05,1558.2359858963173,784.8637227596337,773.3722631383644,-0.3,0.0,0.06897826034307979
0.42857142857142855,2.997798838334415e-05,2.561766386435728e-05,3.3248231772584304e-05,1503.839372282353,757.3018413606478,746.537531019072,-0.3,0.0,0.0680544025627839
0.44897959183673464,2.9818696427068735e-05,2.4141462076242898e-05,3.4444591083297194e-05,1451.6067233302165,730.8466727839696,720.7600506116141,-0.3,0.0,0.06713638639581915
0.4693877551020408,2.9618769797637693e-05,2.2548383176826275e-05,3.587334257758625e-05,1393.7926160958887,701.5762543131204,692.2163618207924,-0.3,0.0,0.06608194657058858
0.4897959183673469,2.9350655196431603e-05,2.1833256635010585e-05,3.656735781539577e-05,1367.3396982127451,688.1875834092789,679.1521148176471,-0.3,0.0,0.06558482595663508
0.5102040816326531,2.904402504217836e-05,2.116097559183866e-05,3.725553488628222e-05,1342.0824623464723,675.4067117137529,666.6757508358278,-0.3,0.0,0.06510289735060525
0.5306122448979591,2.8695840167672164e-05,2.036522129227906e-05,3.811306150507306e-05,1311.8862150248315,660.1293630509972,651.7568519266642,-0.3,0.0,0.06451299353793849
0.5510204081632653,2.8312053814242863e-05,1.98356755572202e-05,3.871488167513431e-05,1291.493034109939,649.8137642543734,641.6792698645295,-0.3,0.0,0.06410803035220426
0.5714285714285714,2.78585573547948e-05,1.79617821624031e-05,4.105425761131707e-05,1217.9004787614977,612.6000599619001,605.3004187985789,-0.3,0.0,0.06258708574312598
0.5918367346938775,2.737897473872886e-05,1.6564850839569094e-05,4.305945439251052e-05,1161.1851730021299,583.9343849592115,577.2507881290949,-0.3,0.0,0.061352305951466436
0.6122448979591836,2.6857392599359073e-05,1.7128818691739838e-05,4.2218298769284176e-05,1184.3205779478012,595.6262046186966,588.6943734043525,-0.3,0.0,0.061862157060958906
0.6326530612244897,2.631009839581491e-05,1.3969680154943046e-05,4.75630409217609e-05,1051.2364018043736,528.3964976652642,522.8399042456585,-0.3,0.0,0.058776966762318764
0.6530612244897959,2.561905030283992e-05,1.4584436811666066e-05,4.639008746269658e-05,1077.816463236988,541.8187788563737,535.9976844539851,-0.3,0.0,0.05942443229143964
0.673469387755102,2.4933092333453342e-05,1.36335740144756e-05,4.823834886634493e-05,1036.5197228925826,520.9661084533582,515.553614450022,-0.3,0.0,0.05841197945242992
0.6938775510204082,2.419734623703916e-05,1.2575868384421223e-05,5.053936270297316e-05,989.3278689070721,497.1447486644538,492.18312028796936,-0.3,0.0,0.05720822827682786
0.7142857142857142,2.340436221808407e-05,1.2056048976091331e-05,5.17751453230659e-05,965.7143342506897,485.22819245983555,480.4861419300214,-0.3,0.0,0.056583316948824354
0.7346938775510203,2.255182388769894e-05,1.1213629952000892e-05,5.394989940193968e-05,926.785787394736,465.58740331291483,461.1983841895708,-0.3,0.0,0.05551863633041383
0.7551020408163265,2.1639995400957604e-05,1.0040524837366328e-05,5.7405029638697357e-05,871.0038182063145,437.4534752238542,433.5503429980672,-0.3,0.0,0.053915195288246794
0.7755102040816326,2.06569191809886e-05,9.309848912187174e-06,5.985588920048443e-05,835.3396911168529,419.4721138878813,415.8675773540308,-0.3,0.0,0.05283492857963125
0.7959183673469387,1.9601802130043394e-05,8.51085611839036e-06,6.28564915754902e-05,795.4627875205188,399.37232915997447,396.09045828419767,-0.3,0.0,0.051570936178104126
0.8163265306122448,1.8469044565685058e-05,8.103134791020766e-06,6.45397546753041e-05,774.7163008567004,388.9175385680719,385.79876228086505,-0.3,0.0,0.05088878780633706
0.836734693877551,1.7243446494722496e-05,7.273027686466949e-06,6.834184288703215e-05,731.6162088321289,367.2032706347236,364.41293826730544,-0.3,0.0,0.04941227564726802
0.8571428571428571,1.591007776803194e-05,6.2015122249647215e-06,7.41614710264352e-05,674.2045337363379,338.2894712739435,335.9150626085975,-0.3,0.0,0.04730422908652958
0.8775510204081632,1.4462429195297912e-05,5.5231023460966155e-06,7.852760494790719e-05,636.7187695475004,319.41747867422964,317.3012909256431,-0.3,0.0,0.045828558027136694
0.8979591836734693,1.286374406511526e-05,4.505877229080092e-06,8.641297222222465e-05,578.6168292844377,290.1769065216722,288.43992284914566,-0.3,0.0,0.04336161893716167
0.9183673469387754,1.1090470865859238e-05,3.7441215705926583e-06,9.373690043760817e-05,533.4078657783393,267.43375891027245,265.97410671655234,-0.3,0.0,0.041265311083735934
0.9387755102040816,9.065669821364365e-06,2.499003093573316e-06,0.00010975455964749364,455.5619388894993,228.29020166044938,227.27173732061055,-0.3,0.0,0.03719994875163503
0.9591836734693877,6.703643814765818e-06,1.5353799493202964e-06,0.00012815784465273545,390.14388959491043,195.4137807946463,194.7301088795648,-0.3,0.0,0.033208405448299866
