alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L1,potential_L2,potential_H1,potential_H2
0.0,0.06671228036657635,0.055828667372641735,0.06671228036657635,74.94871971059598,49.99647953229508,24.95224010487434,-0.5,-0.26595904146442206,-0.05,0.4,0.4
0.02040816326530612,0.06649068135157297,0.05582842432598703,0.06671281170627269,74.94812275410447,49.996054081323116,24.952068641807294,-0.5,-0.2631616827523345,-0.05,0.4,0.4
0.04081632653061224,0.06626866502123775,0.055830108358732415,0.0667128589217699,74.94806973642065,49.99620754611597,24.95186210681843,-0.5,-0.2602606014345932,-0.05,0.4,0.4
0.061224489795918366,0.06604604178502596,0.055833903791765276,0.06671205078458643,74.94897764378851,49.997238828571476,24.95173873051713,-0.5,-0.25730482294588713,-0.05,0.4,0.4
0.08163265306122448,0.0658235582778569,0.055829619578207736,0.06671190838449237,74.94913761487133,49.996865099830565,24.95227245328246,-0.5,-0.26083080803850145,-0.05,0.4,0.4
0.1020408163265306,0.06560274615890396,0.05583134007030483,0.0667131332144266,74.94776157049233,49.99614011992058,24.951621397348724,-0.5,-0.25910368969089953,-0.05,0.4,0.4
0.12244897959183673,0.06538001710441345,0.05582842012853337,0.06671279807779207,74.94813808840921,49.996063816265405,24.95207419424208,-0.5,-0.2651911757607998,-0.05,0.4,0.4
0.14285714285714285,0.06515743314109933,0.05582845701439173,0.06671226249555058,74.94873975574508,49.996469344971736,24.952270401900194,-0.5,-0.26303241292531965,-0.05,0.4,0.4
0.16326530612244897,0.06493587167743535,0.05582995174187485,0.06671263654291057,74.94831955005547,49.99635664446026,24.951962856286116,-0.5,-0.2679620507299571,-0.05,0.4,0.4
0.18367346938775508,0.06471381724260868,0.05582965942210357,0.06671275275222233,74.94818899672892,49.99623677098862,24.951952172808706,-0.5,-0.26761032188820044,-0.05,0.4,0.4
0.2040816326530612,0.06449192460860041,0.05582992185012107,0.06671295095692845,74.94796634480151,49.996117655324035,24.951848597073628,-0.5,-0.2604677568349468,-0.05,0.4,0.4
0.22448979591836732,0.06426899625634862,0.05583005925683383,0.06671184644041869,74.94920722359643,49.99696082693881,24.952246302770718,-0.5,-0.268083351423247,-0.05,0.4,0.4
0.24489795918367346,0.06404706805081213,0.05582840483709231,0.066712580444451,74.94838258210795,49.99622520323345,24.952157313208737,-0.5,-0.2632474086800423,-0.05,0.4,0.4
0.26530612244897955,0.06382526697234712,0.055828434477588215,0.06671301203989896,74.94789773656828,49.995905070671455,24.95199254403768,-0.5,-0.2652502920173863,-0.05,0.4,0.4
0.2857142857142857,0.06360145572669579,0.05582832595407851,0.0667107076357427,74.95048668749857,49.99761991785859,24.952866632740133,-0.5,-0.2646323722908817,-0.05,0.4,0.4
0.3061224489795918,0.06337988847008547,0.05582833545484949,0.06671145597680721,74.94964590480214,49.997060137628054,24.95258566957476,-0.5,-0.26365327115709225,-0.05,0.4,0.4
0.32653061224489793,0.06315895986236333,0.055829111538451826,0.06671282571638104,74.94810702807152,49.996120645970834,24.951986324048633,-0.5,-0.2615537278849497,-0.05,0.4,0.4
0.3469387755102041,0.06293717937560286,0.055828426369239695,0.0667137044102333,74.9471198574821,49.995385309667995,24.95173453071456,-0.5,-0.2631531632424787,-0.05,0.4,0.4
0.36734693877551017,0.06266340492757017,0.04953734092133137,0.07028499047957977,71.13894397487078,46.76536556188218,24.373578412955844,-0.45821619250893475,-0.24373137104202114,-0.05,0.4,0.20663146166313523
0.3877551020408163,0.06190834921613152,0.03140389014063952,0.08122783996394312,61.55525000414774,38.4909535236397,23.064296572165727,-0.43068210803367496,-0.33272531609652295,-0.05,0.23877768854794432,0.16851128420398728
0.4081632653061224,0.0608247250068978,0.0315020045150046,0.08104729086337586,61.69237672784675,38.58876652687586,23.103610183332897,-0.432848330813649,-0.33051702848050407,-0.05,0.23557987768810235,0.16728113458381164
0.42857142857142855,0.06022024356335488,0.033486566413494095,0.08027050142575048,62.28938294682649,39.204678421226966,23.084704459763294,-0.48465081750186667,-0.3775566568449984,-0.05,0.30200365141511404,0.2179970328022059
0.44897959183673464,0.0583093382484239,0.024424075157296304,0.08591955261897231,58.19397151146548,35.527890328187,22.66608124411833,-0.4031258660738013,-0.31839603068192507,-0.05,0.2310953927496065,0.14230784330127763
0.4693877551020408,0.057634949203827154,0.01621464944340704,0.09427598360727571,53.035776500179395,31.293265870055883,21.742510716464675,-0.3884639255801409,-0.3084483955902167,-0.05,0.28545332970705456,0.12099840189690599
0.4897959183673469,0.05610575196198736,0.02519414870509456,0.08578089108860446,58.288039861514136,35.68607654193629,22.60196333989055,-0.4027181412245037,-0.30798028501849645,-0.05,0.19124328858617026,0.13214926274992023
0.5102040816326531,0.0547410940003331,0.018940126891678427,0.09203376807184839,54.32788538856339,32.45082012872699,21.87706517975701,-0.4729825839833413,-0.3681845574686233,-0.05,0.2919967550425722,0.1865926142065276
0.5306122448979591,0.052428341206115815,0.013076880859346579,0.0969126007285506,51.592878121409655,29.96827137528723,21.624606791174415,-0.39948143533715447,-0.3368289382361141,-0.05,0.21440026496962544,0.13503633313971192
0.5510204081632653,0.05132946374138033,0.013820969470436694,0.09736261580117478,51.35441313888428,29.946264327749603,21.408148890508222,-0.3953006212625927,-0.30987375595456984,-0.05,0.27863121903889054,0.11904382169895285
0.5714285714285714,0.04904311226659189,0.008745910856433718,0.10277271414680278,48.651045572498745,27.54273496609166,21.10831061486285,-0.376642057428966,-0.32919561119473795,-0.05,0.22648354741103027,0.11575670860908642
