alpha,F,F_eff,F_amnt,abs(fluxD),fluxLR,fluxHR,potential_D1,potential_L2,potential_H2
0.0,0.0053684368406557575,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.02040816326530612,0.006166350620907623,0.03763899747238096,0.0055106704781685955,90733.06088272203,32919.39005258234,57813.6708300344,-0.3,-0.13727750599542823,0.2
0.04081632653061224,0.00628307256498397,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.061224489795918366,0.006740390427148077,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.08163265306122448,0.007197708289312183,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.1020408163265306,0.00765502615147629,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.12244897959183673,0.008112344013640397,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.14285714285714285,0.008569661875804505,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.16326530612244897,0.00902697973796861,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.18367346938775508,0.009484297600132717,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.2040816326530612,0.009902008369575475,0.019833421441260452,0.007355492197348559,67976.41634104645,27218.934261729453,40757.48207923971,-0.3350988785357713,-0.06888166347827172,0.2
0.22448979591836732,0.009992789448954292,0.020111017448007914,0.007063828712386141,70783.14330066828,28293.639097298015,42489.50420331268,-0.3314525528288001,-0.025798244755555776,0.2
0.24489795918367346,0.009987135484147832,0.014617982626734503,0.008485239113579183,58925.85857709829,24425.202136879067,34500.656440306484,-0.318406607755143,-0.029468506371886197,0.18482973473444594
0.26530612244897955,0.011313569048789142,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.2857142857142857,0.011770886910953248,0.02777701208669698,0.0053684368406557575,93136.9809948006,35592.34330517829,57544.63768964367,-0.3,0.0,0.2
0.3061224489795918,0.0111374774092181,0.017103157104856534,0.008505559896436438,58785.07777128319,23956.403780415967,34828.67399079118,-0.34780868807658355,-0.0778414722517026,0.2
0.32653061224489793,0.011124618467423748,0.014792216017219369,0.009346389352371325,53496.59436916915,22147.556475382058,31349.037893759218,-0.3556079702173294,-0.026237250888808662,0.2
0.3469387755102041,0.011156337078053167,0.007066497872216497,0.013329064156153899,37512.01090651858,16526.248820778434,20985.762085840543,-0.3,-0.05415268279044006,0.1583371178408697
0.36734693877551017,0.011371402205769977,0.013500572519053448,0.010135109765798928,49333.456820300664,20613.48539522697,28719.971425064017,-0.36183606986985245,0.0,0.2
0.3877551020408163,0.011869922499137021,0.012861805345835304,0.01124173002956144,44477.13996737392,18671.818740403432,25805.321226928718,-0.3692160689576992,-0.07817187754563379,0.2
0.4081632653061224,0.010905517300406228,0.010296246692715713,0.011325703926399687,44147.36631376951,18906.0909047127,25241.27540904541,-0.3,-0.09302158551855588,0.16434265170881485
0.42857142857142855,0.011748843081914425,0.011444500160775339,0.011977100272768743,41746.33163400792,17715.241366677146,24031.090267202082,-0.3738580064388346,0.0,0.2
0.44897959183673464,0.010570700523451701,0.005817089611899128,0.014444013118050093,34616.41829822495,15441.313646943316,19175.10465135496,-0.3,0.0,0.1555004415370802
0.4693877551020408,0.010335692464531475,0.008016337570711473,0.012387429485987629,40363.49918800566,17626.332416687706,22737.16677145695,-0.30885663999239077,-0.04840411035553129,0.1653314059002192
0.4897959183673469,0.010479370158811448,0.006264732542423997,0.014525422270543402,34422.4071897188,15284.665916808408,19137.74127301301,-0.30327494885240436,-0.05895649431630534,0.15704570837951895
0.5102040816326531,0.011831575851538184,0.015515272642693595,0.007994391694084634,62543.845627442235,25763.220689079753,36780.62493832852,-0.3,-0.04563196471927802,0.17822216220700318
0.5306122448979591,0.01040441101672761,0.009678872905356246,0.01122458453393002,44545.07857179799,19173.713757734928,25371.3648141163,-0.3238877249456133,-0.035367184993496406,0.17649452628945317
0.5510204081632653,0.00985363152038645,0.006349726125730062,0.014153879050192018,35326.004851869744,15672.526069095387,19653.47878279403,-0.3,-0.04859247217669627,0.1562603788221294
0.5714285714285714,0.011905857916027397,0.012858322608945136,0.010635904992137079,47010.57412318766,19735.88280914646,27274.69131403335,-0.3654033642970089,0.0,0.2
0.5918367346938775,0.010109566117802539,0.0046692416444124975,0.017998036604218098,27780.80804002154,12548.093323777415,15232.714716348128,-0.3367173082088543,0.0,0.16690067425200755
0.6122448979591836,0.0120096452160081,0.008020145699683684,0.0183088549786256,27309.190038608533,11925.236845934909,15383.95319260694,-0.4012216628959854,-0.04185516920132231,0.2
0.6326530612244897,0.01004491152736064,0.003037953376968343,0.02211245056414737,22611.69554900442,10424.578388256123,12187.117160846763,-0.30944819170542853,-0.03392719902149061,0.14666997272001195
0.6530612244897959,0.009877505593831219,0.009413657598512044,0.010750631232079073,46508.89693880515,20063.643642107796,26445.253296722403,-0.3,0.0,0.16601146209080134
0.673469387755102,0.011020545626955308,0.011102351440579934,0.01085182113635452,46075.21573728841,19604.718048003277,26470.497689285003,-0.32817872853268526,-0.08094456377137034,0.18005826438422523
0.6938775510204082,0.010384454536899564,0.00874386729748873,0.014103118946230783,35453.15060492937,15382.39173821378,20070.758866722295,-0.37141064991097494,0.0,0.19287327363704665
0.7142857142857142,0.008820099949443187,0.002554720642819857,0.024483548216001506,20421.876583719597,9481.056788304508,10940.819795518764,-0.3117067069318233,-0.028923237952594962,0.14472423589718245
0.7346938775510203,0.010848760959143838,0.008623920012920797,0.01700985896406918,29394.717560939287,12767.139480804974,16627.578080107865,-0.3057889349117747,-0.1319299955514876,0.15368266905674433
0.7551020408163265,0.008732735334525187,0.0054157081838078725,0.01896023571590357,26370.98016561367,11813.22219123655,14557.757974434826,-0.3592481278934055,-0.07728038290233595,0.17688795044640213
0.7755102040816326,0.007398182491951488,0.003638148676368031,0.02038739021851252,24524.9634523509,11216.477130929685,13308.486321633529,-0.3229307904235639,-0.03163937556699727,0.15598653765066767
0.7959183673469387,0.007013147204680654,0.0033892020529624135,0.021146533296381782,23644.537522601313,10848.928794854422,12795.608727819046,-0.3085448085694979,-0.05222746042474057,0.14761342173195924
0.8163265306122448,0.007348650665211523,0.0013382156984094058,0.034061694962109805,14679.24601391962,6959.913202399657,7719.332811526052,-0.3,0.0,0.12914163303133727
0.836734693877551,0.00740280728169894,0.006078164386669579,0.014191602118724412,35232.10387500812,15673.781049711397,19558.32282534129,-0.3,-0.019152635523825717,0.15611838691453842
0.8571428571428571,0.007292900923165591,0.0016004288554669565,0.04144773332935738,12063.385855808883,5690.443125981925,6372.942729792783,-0.3731429008724589,-0.05536988241976411,0.16077924626514556
0.8775510204081632,0.007242290515698389,0.001537694930062754,0.04812522554608709,10389.561697193072,4906.6980549492655,5482.8636421439005,-0.3740730195535525,-0.09236146105974208,0.15714697758363336
0.8979591836734693,0.0051362321069472645,0.003062700249941638,0.02338331244859676,21382.7703452883,9854.624576336973,11528.145768911505,-0.3,-0.07294085464743741,0.14032017218024362
0.9183673469387754,0.008932487578057627,0.0006016850920393768,0.10265401554576283,4870.730066818185,2350.8831301172104,2519.8469367327634,-0.4165789818643352,-0.04181914028033082,0.15817822532890202
