slopeL,slopeH,F_slip,F_yield,fluxD,fluxHR,fluxLR
0.1333333333333333,-0.2,0.1001478244840299,0.0865197500602148,-5.779027284779815,3.298756692072736,2.480270678922963
0.2,-0.2,0.0777821506826545,0.0343165600302732,-14.570225003688549,8.086479018133044,6.483745927643707
0.1333333333333333,-0.1333333333333333,0.240230147200837,0.00766367912746,-65.24281503970886,43.7040979337747,21.5387171485898
0.2,-0.1333333333333333,0.2272244118287181,0.0069215771032172,-72.23787194372711,47.72553366888925,24.51233815034523
0.0666666666666666,-0.0666666666666666,0.6627163245200914,0.0097140043007869,-51.47207932598346,49.85643289226724,1.6156464454418291
0.1333333333333333,-0.0666666666666666,0.2627900306387915,0.0068668717673645,-72.81335913931413,49.93690255374649,22.876456538753978
0.2,-0.0666666666666666,0.2363392859800245,0.0066757086798692,-74.89841517626398,49.96601436404968,24.932400722146703
0.0666666666666666,0.0,0.6181561964010694,0.0093712217436466,-53.35483608476578,49.99894698560447,3.355889089289093
0.1333333333333333,0.0,0.2596330781667531,0.0068361286981306,-73.14081144281508,49.99820368435552,23.142607726632257
0.2,0.0,0.236449291315244,0.0066719826467745,-74.94024294212825,49.99974762490476,24.940495180847503
0.0666666666666666,0.0666666666666666,0.6017815521272415,0.0092555495153284,-54.021643931833296,49.99831802115566,4.023325843577748
0.1333333333333333,0.0666666666666666,0.258721026852067,0.0068296052413315,-73.21067359776022,49.99874577746727,23.21192778378292
0.2,0.0666666666666666,0.2364442751405705,0.0066718144102189,-74.94213259400065,50.00074261564053,24.941389926442877
0.0666666666666666,0.1333333333333333,0.5986577133842425,0.0092331056902454,-54.15295965251036,50.00023609242888,4.152723579310646
0.1333333333333333,0.1333333333333333,0.2585178590254949,0.0068280170587404,-73.22770224905095,49.999855391320736,23.22784681997765
0.2,0.1333333333333333,0.236442308092745,0.0066720189733938,-74.93983491021177,49.999105354525206,24.94072944059777
0.0666666666666666,0.2,0.5982916132620402,0.0092307077275252,-54.167027567027006,49.999202884594425,4.1678246954263365
0.1333333333333333,0.2,0.2584850429097685,0.0068279691198497,-73.22821637779222,49.99850721423768,23.22970912569865
0.2,0.2,0.2364418390323162,0.0066718719042274,-74.94148677288139,50.00018265283267,24.941304101756515
