alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L1,potential_L2,potential_L3,potential_H1,potential_H2,potential_H3
0.0,0.06024609727514047,0.02096247234823505,0.06024609727514047,82.99292779852011,49.99310625626117,32.99982149915732,-0.5,-0.31169576028849866,-0.17644000341205804,-0.05,0.4,0.4,0.4
0.02040816326530612,0.05943583373983503,0.020924176975042126,0.060238159922434885,83.00386345863102,49.99192802511041,33.011935393646766,-0.5,-0.3149290680217284,-0.1633440637830637,-0.05,0.4,0.33406717167526107,0.4
0.04081632653061224,0.05863138287328702,0.020922826924295826,0.06023600227537176,83.00683669364302,49.99344480625142,33.013391756251,-0.5,-0.3126298375109599,-0.17108560263827377,-0.05,0.4,0.4,0.4
0.061224489795918366,0.057900694475854095,0.021004180779983415,0.060306988847323925,82.90913042970865,49.95106855730899,32.9580617342477,-0.5,-0.311108878298525,-0.15168484419125042,-0.05,0.3861590020494133,0.3254944751532902,0.34019745263449586
0.08163265306122448,0.05706769649194379,0.02105535581789754,0.060268793440747905,82.96167414654704,49.993075896387694,32.9685981626554,-0.5,-0.28801380408241867,-0.1576423617015548,-0.05,0.4,0.4,0.4
0.1020408163265306,0.05624977219462146,0.020996829815250532,0.060255788374095426,82.97957982385334,49.99202475537346,32.98755502740613,-0.5,-0.3218072339520636,-0.18155410808483863,-0.05,0.4,0.4,0.4
0.12244897959183673,0.05544189651894433,0.020978292133774907,0.06025077154943309,82.98648917312636,49.992433012462065,32.99405613213226,-0.5,-0.3276785714313004,-0.17806139078821664,-0.05,0.4,0.4,0.4
0.14285714285714285,0.054644447797606494,0.020991776323149212,0.060253226376682706,82.9831081316577,49.993127192525776,32.98998094917252,-0.5,-0.3225987622049722,-0.17975500323528476,-0.05,0.4,0.3084397437664985,0.4
0.16326530612244897,0.05381703264391986,0.0209201218555944,0.060235942066032146,83.00691960057947,49.99294595556049,33.01397364036086,-0.5,-0.3122096289223685,-0.16279157004669542,-0.05,0.4,0.4,0.4
0.18367346938775508,0.05307066181379229,0.02106901585260254,0.06027103215505998,82.95859255882846,49.99397964992574,32.96461292046152,-0.5,-0.30615102914155595,-0.18166072558465485,-0.05,0.4,0.4,0.4
0.2040816326530612,0.05225177988227986,0.02101895056617211,0.060260197655640814,82.97350819731035,49.99284394933334,32.98066411017942,-0.5,-0.29502416643143786,-0.15456197957578532,-0.05,0.4,0.4,0.4
0.22448979591836732,0.051422160930491664,0.020953562490635506,0.060242018373607924,82.99854714826162,49.99468519775825,33.00386187453181,-0.5,-0.30217568972444636,-0.1630731176797139,-0.05,0.4,0.31641081211437705,0.4
0.24489795918367346,0.05061598760729718,0.020937527004486447,0.06024143428928985,82.99935188939264,49.99191856122476,33.007433231938684,-0.5,-0.3074706505888531,-0.17073484558310106,-0.05,0.4,0.4,0.4
0.26530612244897955,0.04982223740272254,0.020958237506766286,0.0602453484762623,82.99395933824555,49.99286932495147,33.00108995495444,-0.5,-0.327153636413785,-0.16355391134610783,-0.05,0.4,0.4,0.4
0.2857142857142857,0.04913879466198329,0.021215605980991384,0.06030807013438005,82.90764393443469,49.99282744115667,32.9148163250055,-0.5,-0.29116354904228786,-0.14303371930120068,-0.05,0.4,0.37662560738020934,0.4
0.3061224489795918,0.04830357925339558,0.021140595298506586,0.06028724864525837,82.9362778133231,49.99497955370753,32.941298185170815,-0.5,-0.2926073114003863,-0.14636480895787823,-0.05,0.4,0.3779296042362418,0.4
0.32653061224489793,0.04748786681848339,0.021105304043479833,0.0602794124063639,82.94705940504866,49.99435775398095,32.95270159227174,-0.5,-0.2975914407719122,-0.14798822372169806,-0.05,0.4,0.30800810414279967,0.4
0.3469387755102041,0.046717728504776915,0.020126695211072413,0.06084421494205742,82.17708138055114,49.332236297309706,32.84484499024334,-0.5,-0.30018024113841657,-0.16444579288289757,-0.05,0.4,0.38282126559511115,0.2767848301013342
0.36734693877551017,0.04585036593643609,0.021032172623245048,0.060260929795708316,82.97250012284803,49.99491149884139,32.97758846213243,-0.5,-0.2972977221293732,-0.15227068265631566,-0.05,0.4,0.3833349961260595,0.4
0.3877551020408163,0.04501775788797677,0.02072686398386129,0.06040199069391656,82.77872869206686,49.81631698383688,32.96241170450604,-0.5,-0.3087693633467276,-0.15918046236723665,-0.05,0.4,0.3094588342190478,0.31007247220113104
0.4081632653061224,0.04421289031414366,0.020726117742920915,0.06041066450119384,82.7668432530507,49.809012644453304,32.95783062240474,-0.5,-0.30622657912879897,-0.158733187182331,-0.05,0.4,0.30734847595893755,0.30867945913996886
0.42857142857142855,0.04341455829038304,0.02096945348664104,0.06024838689318956,82.98977381909559,49.9926210179801,32.99715276024588,-0.5,-0.29991947846559625,-0.1583526757944204,-0.05,0.4,0.3853064588880156,0.4
0.44897959183673464,0.04213442598429609,0.009482740915469532,0.06873950270704365,72.73837902990475,41.37778041924469,31.360598545716215,-0.5,-0.4,-0.17958452701590222,-0.05,0.3617709120255304,0.4,0.2367195094800851
0.4693877551020408,0.04135328064054502,0.011083022186175837,0.06813081696556392,73.3882289763708,42.157231665073205,31.230997434119743,-0.5,-0.4,-0.20969888886754823,-0.06301351671142617,0.4,0.28625257871711995,0.24140711199594705
0.4897959183673469,0.039890200426131846,0.011032554910393663,0.0675935401212405,73.97156582905126,42.479772853658304,31.49179289559364,-0.5,-0.4,-0.15973412433685588,-0.05,0.32871097453601733,0.22399084117992063,0.23212395330015476
