alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L2,potential_H2
0.0,0.0005368442346851459,0.0277770120866663,0.0005368442346851459,93136.8854679609,57544.57866840587,35592.30679953434,-0.3,0.0,0.2
0.02040816326530612,0.0010592305960032524,0.020365706068679816,0.0006570123569891574,76102.0694178754,45730.503936117944,30371.565481785474,-0.3,0.0,0.18770762935574795
0.04081632653061224,0.0013720949907508224,0.012937174944091391,0.0008799639289065429,56820.51088398913,32980.188746981104,23840.32213711698,-0.3,0.0,0.17397011814077742
0.061224489795918366,0.0015841025578905612,0.00995501983909424,0.0010381731699859735,48161.52203263334,27478.62719331873,20682.89483937574,-0.3,0.0,0.16734020954915776
0.08163265306122448,0.0017449070229642286,0.008199435362178242,0.0011711711705896498,42692.30771351134,24079.701240939416,18612.60647256064,-0.3,0.0,0.16283788375937813
0.1020408163265306,0.0018732441809902745,0.0069351792313792834,0.0012980242889006144,38520.08042338595,21528.343028253206,16991.737395194337,-0.3,0.0,0.15917043922742616
0.12244897959183673,0.0019785890841245127,0.006065716829312649,0.0014082921894470986,35503.99581472308,19707.252442186582,15796.743372483958,-0.3,0.0,0.1563590241824122
0.14285714285714285,0.002066299112726516,0.0054664680404472015,0.0014996042914397346,33342.12917726941,18414.202460593842,14927.926716713977,-0.3,0.0,0.15424121706019994
0.16326530612244897,0.002141301611950521,0.005139877791553685,0.0015562135769060014,32129.2660223548,17693.412168094495,14435.853854243316,-0.3,0.0,0.1530114209225505
0.18367346938775508,0.002201901337723579,0.00449871246805267,0.0016851188333995343,29671.497943629685,16242.990336284776,13428.5076073616,-0.3,0.0,0.1504081397205067
0.2040816326530612,0.0022539915007173134,0.004143488244122603,0.0017695051562544187,28256.487314166123,15414.377687279826,12842.10962682467,-0.3,0.0,0.14883649145577738
0.22448979591836732,0.002297491574403108,0.003840857312523006,0.0018507278081052432,27016.398511477048,14692.130665929573,12324.267845500282,-0.3,0.0,0.14740929350910267
0.24489795918367346,0.00233342931100688,0.00348853572021303,0.0019588002053183996,25525.829466529656,13828.986526676956,11696.842939892776,-0.3,0.0,0.14562686209872897
0.26530612244897955,0.0023624532276157457,0.0033432020214085086,0.002008293940968359,24896.75389647801,13466.286146509687,11430.467749891468,-0.3,0.0,0.1448479466966667
0.2857142857142857,0.002385087105626904,0.0030666072912464747,0.002112479031379076,23668.873989955755,12761.249066268618,10907.62492355919,-0.3,0.0,0.14328383906375353
0.3061224489795918,0.0024023288411110085,0.0028375585483724547,0.002210315734966253,22621.202577060292,12162.667034972175,10458.53554214647,-0.3,0.0,0.14189575645890024
0.32653061224489793,0.0024140216356117704,0.002710033134400303,0.0022705009089264215,22021.57233388076,11821.412349177095,10200.159984646234,-0.3,0.0,0.14108105441925817
0.3469387755102041,0.00242077671179411,0.002569089299095085,0.0023419856497904666,21349.40493958164,11439.87677335347,9909.528166171891,-0.3,0.0,0.1401414707926968
0.36734693877551017,0.002422989915757891,0.0024519830981765776,0.002406155164676073,20780.0397638382,11117.615563134234,9662.424200759291,-0.3,0.0,0.13932636997898545
0.3877551020408163,0.002420588503045027,0.0023080081900576513,0.0024918893679370317,20065.09624515986,10714.172198956803,9350.924046245505,-0.3,0.0,0.13827665657905647
0.4081632653061224,0.002414737184965772,0.002233497871822407,0.0025397298147198173,19687.133532938722,10501.467333467292,9185.666199491301,-0.3,0.0,0.1377107986725443
0.42857142857142855,0.0024032884184174833,0.0020472365356969465,0.002670327330457886,18724.296242494893,9961.213908345882,8763.082334205923,-0.3,0.0,0.1362203182168811
0.44897959183673464,0.0023887845826264325,0.0019613648553861215,0.002737052508525945,18267.826373077405,9705.985687376582,8561.840685885014,-0.3,0.0,0.13549249203607022
0.4693877551020408,0.0023703475258792816,0.001818746346778946,0.0028583024150834247,17492.900588900113,9273.962966970335,8218.937621882578,-0.3,0.0,0.1342187380615098
0.4897959183673469,0.0023493452275689408,0.001825157235089844,0.0028525657003488736,17528.080069724703,9293.544336756924,8234.535733062163,-0.3,0.0,0.1342778731409951
0.5102040816326531,0.002322335905466391,0.001629173320520832,0.003044380264784682,16423.703890846897,8680.600296774632,7743.1035940974325,-0.3,0.0,0.1323797930002192
0.5306122448979591,0.0022926320131194276,0.0015572242970958664,0.0031239624747112786,16005.313893736107,8449.263183729352,7556.0507100024915,-0.3,0.0,0.13163108767586781
0.5510204081632653,0.002259494517621819,0.0014999766645331539,0.0031916300645942713,15665.976002262789,8262.015085987972,7403.960916253331,-0.3,0.0,0.1310126821783014
0.5714285714285714,0.0022227287140898786,0.0013976574514930665,0.003322823730885628,15047.442792535527,7921.506096544079,7125.936695882534,-0.3,0.0,0.12985199664292532
0.5918367346938775,0.0021821758796663365,0.0013404565392696943,0.003402668923241468,14694.347621804889,7727.592356341789,6966.755265449778,-0.3,0.0,0.1291689306236599
0.6122448979591836,0.002138265526619916,0.0012485446708105277,0.003543087930529476,14111.983947379864,7408.58613680015,6703.397810699775,-0.3,0.0,0.12801337230328944
0.6326530612244897,0.0020905275485949256,0.0011777921172760049,0.0036624607914219555,13652.023283626331,7157.307757658076,6494.715526044129,-0.3,0.0,0.1270693010822538
0.6530612244897959,0.002038989343813016,0.0011450260831875336,0.003721743716755101,13434.562883708539,7038.73351621256,6395.8293676069225,-0.3,0.0,0.12661424439637176
0.673469387755102,0.0019835374825253977,0.001066492857742803,0.0038749420211395,12903.418871049595,6749.676850678057,6153.742020477614,-0.3,0.0,0.12547250634697377
0.6938775510204082,0.0019243490220694189,0.0009816715813593078,0.004061084554345671,12311.982016318652,6428.760681768123,5883.221334622751,-0.3,0.0,0.12414804801940231
0.7142857142857142,0.0018607175286915766,0.0009578988664450571,0.004117764184307875,12142.511751986109,6336.99369381486,5805.518058236397,-0.3,0.0,0.12375768321971045
0.7346938775510203,0.0017926584798644727,0.0008804535140988874,0.0043187645389076304,11577.385048337019,6031.604370676076,5545.780677643663,-0.3,0.0,0.1224198857504629
0.7551020408163265,0.001720318360194032,0.0008192433898231676,0.004498632852170863,11114.487810586696,5782.19128005112,5332.296530643202,-0.3,0.0,0.12128186803791428
0.7755102040816326,0.0016433600719736592,0.0007878679178665224,0.004598696604343768,10872.645947720797,5652.120745799417,5220.52520191457,-0.3,0.0,0.12066707259276283
0.7959183673469387,0.001560447277045329,0.0007140037086693298,0.004861577193711723,10284.728187560686,5336.688815391746,4948.03937209936,-0.3,0.0,0.11912293693260309
0.8163265306122448,0.0014721941068905069,0.0006533889148404267,0.005111328293779751,9782.193028145004,5067.906631087739,4714.286397067997,-0.3,0.0,0.1177378364404796
0.836734693877551,0.0013780093896876657,0.0006130356811476128,0.005298499645955436,9436.633639940352,4883.530107509941,4553.103532341665,-0.3,0.0,0.11674599277888928
0.8571428571428571,0.001275891856980402,0.0005363315442617712,0.005713253733292185,8751.580506315076,4519.104103719037,4232.47640262694,-0.3,0.0,0.11467474173202621
0.8775510204081632,0.0011661203463304384,0.00048686354349567054,0.0060341274333129405,8286.202197856095,4272.384913184316,4013.8172846514135,-0.3,0.0,0.1131816632044297
0.8979591836734693,0.001046391704145749,0.00041742176376622004,0.006581327179485596,7597.251836395095,3908.382119917369,3688.8697163975303,-0.3,0.0,0.11081663977516451
0.9183673469387754,0.0009148403660197518,0.0003525990067907345,0.007240055657346188,6906.024258170481,3544.708815878017,3361.315442254563,-0.3,0.0,0.10823374693524775
0.9387755102040816,0.000767309196151129,0.00029202328946557746,0.008055026431996242,6207.304274215887,3178.658271001412,3028.646003151851,-0.3,0.0,0.10535883960586835
0.9591836734693877,0.0005970442266299746,0.00022248763378494938,0.009399124158488056,5319.644592129771,2715.929749570598,2603.7148424618717,-0.3,0.0,0.10122244457886348
0.9795918367346939,0.0003870385908582008,0.00014471145778936214,0.012018740978162442,4160.169529443723,2115.4720698311503,2044.6974596744694,-0.3,0.0,0.0946867096283836
1.0,1.2036549670944803e-11,1.2036549670944803e-11,1.6846556311857648,29.67965624728822,14.83975529599411,14.83990091727901,-0.39018558635161904,0.0,0.012941319461884683
