alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,slopeL,slopeH
0.0,0.00034231687413811937,0.06817267689605785,0.00034231687413811937,1460.6349781583704,999.9870155846774,460.6479626906979,0.099,0.09788096384749122
0.02040816326530612,0.0016313463658563035,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.04081632653061224,0.0028708942539214686,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.061224489795918366,0.004110442141986634,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.08163265306122448,0.0053499900300517985,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.1020408163265306,0.006589537918116964,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.12244897959183673,0.00782908580618213,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.14285714285714285,0.009068633694247295,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.16326530612244897,0.010308181582312458,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.18367346938775508,0.011547729470377625,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.2040816326530612,0.012787277358442789,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.22448979591836732,0.014026825246507953,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.24489795918367346,0.015266373134573121,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.26530612244897955,0.016505921022638287,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.2857142857142857,0.01774546891070345,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.3061224489795918,0.018985016798768614,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.32653061224489793,0.020224564686833778,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.3469387755102041,0.021464112574898945,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.36734693877551017,0.022703660462964112,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.3877551020408163,0.023943208351029276,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.4081632653061224,0.02518275623909444,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.42857142857142855,0.026422304127159606,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.44897959183673464,0.027661852015224767,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.4693877551020408,0.028901399903289937,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.4897959183673469,0.030140947791355104,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.5102040816326531,0.03138049567942027,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.5306122448979591,0.032620043567485435,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.5510204081632653,0.0338595914555506,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.5714285714285714,0.03509913934361576,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.5918367346938775,0.036338687231680926,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.6122448979591836,0.03757823511974609,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.6326530612244897,0.03881778300781125,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.6530612244897959,0.04005733089587642,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.673469387755102,0.04129687878394159,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.6938775510204082,0.04253642667196516,0.061129644992984,0.0003917984776557822,1276.166265324731,861.192702654528,414.9735627217877,0.099,-0.09899999999999999
0.7142857142857142,0.043775974560071915,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.7346938775510203,0.045015522448137085,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.7551020408163265,0.04625507033620225,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
0.7755102040816326,0.04749461822426741,0.06112964499298423,0.0003917984777911384,1276.1662648838471,861.192702357009,414.97356257842546,0.099,-0.099
